window,kpca1,kpca2
1,-2.045807760031506,-0.786623352910015
2,-1.2604891229819897,-2.420393891246716
3,-2.3866083660227266,-1.376761756643177
4,-2.329262764936896,-0.01823705570326166
5,-2.387191405409135,-0.4204452957321038
6,-2.3276177804776976,-0.5446505472603871
7,-2.1866688315910916,0.149336277862433
8,-1.9903883115693997,0.7513721796796802
9,-1.1302100159936432,2.024615602615855
10,2.9162853213738154,-1.0147952319034608
11,0.16887782729823053,2.6997335485225205
12,0.4559811353040732,2.626943891441805
13,2.9014137485465463,-0.33872608664347875
14,2.8836832968503012,-0.34671111916666175
15,2.899150297739523,-0.35446314746736485
16,2.911950836735738,-0.3417898913080871
17,2.9069018951658565,-0.2884041241375795
