window,species_i,species_j,strength,strength_ji,pair_directional,interaction_type,group,mouse,lag_strength,delta_strength
5,C1,C1,-0.14724472886256618,-0.14724472886256618,C1→C1,competition,C-C,m2,0.13667450837420098,-0.28391923723676715
4,C1,C2,0.26833533401126464,-0.20890917827644323,C1→C2,antagonism,C-C,m2,-0.05896423121832498,0.32729956522958964
5,C1,C2,-0.08777539131580925,-0.2984856741129742,C1→C2,competition,C-C,m2,0.26833533401126464,-0.3561107253270739
5,C1,C3,-0.3161262347583734,0.01419334714254451,C1→C3,antagonism,C-C,m2,-0.04068786277199928,-0.27543837198637416
3,C1,C4,-0.254098192161773,-0.06235375573106307,C1→C4,competition,C-C,m2,-0.6177533141836828,0.36365512202190986
4,C1,C5,0.05936530861713558,-0.11916742639900904,C1→C5,antagonism,C-C,m2,-0.1875661681682548,0.24693147678539037
5,C1,C5,-0.18763861724070344,-0.21955832666215705,C1→C5,competition,C-C,m2,0.05936530861713558,-0.247003925857839
5,C1,Muribaculaceae,0.01891801034085165,0.04048588751247822,C1→Muribaculaceae,mutualism,other,m2,-0.1642292576048134,0.18314726794566505
2,C2,C4,-0.869950838393366,-0.5998009903230662,C2→C4,competition,C-C,m2,-0.40223749909827833,-0.4677133392950876
3,C2,C4,-0.402079593927272,-0.6182431556119925,C2→C4,competition,C-C,m2,-0.869950838393366,0.46787124446609396
6,C2,Muribaculaceae,0.28429498063240294,-0.2405654141644727,C2→Muribaculaceae,antagonism,other,m2,0.12337931371170884,0.1609156669206941
7,C2,Muribaculaceae,0.40441269833790794,-0.1653846888740454,C2→Muribaculaceae,antagonism,other,m2,0.28429498063240294,0.120117717705505
15,C2,Muribaculaceae,0.3635664497629242,-0.04642287278798642,C2→Muribaculaceae,antagonism,other,m2,0.38989087170527315,-0.026324421942348963
16,C2,Muribaculaceae,0.3353846799755659,-0.03763059979270031,C2→Muribaculaceae,antagonism,other,m2,0.3635664497629242,-0.028181769787358257
