Time	Bacillaceae	Enterobacteriaceae	Erysipelotrichaceae	Lachnospiraceae	Muribaculaceae	Paenibacillaceae	Ruminococcaceae
1	0	0.9983444444444445	0	0	1.6666666666666666e-4	0.001488888888888889	0
2	0	0.9997111111111111	0	0	2.2222222222222223e-5	2.666666666666667e-4	0
3	0	0.9996222222222222	0	0	1.1111111111111112e-5	3.6666666666666667e-4	0
4	0	0.9997444444444444	0	0	4.4444444444444447e-5	2.111111111111111e-4	0
5	0	0.9995444444444445	0	0	0	3.5555555555555557e-4	1e-4
6	0	0.9997555555555555	0	0	0	2.2222222222222223e-4	2.2222222222222223e-5
7	0	0.9997333333333334	0	0	0	2.666666666666667e-4	1e-4
8	0	0.9992	0	0	0	8e-4	1.7777777777777779e-4
9	0	0.6977555555555556	0	0	0	0.30198888888888886	2.555555555555556e-4
10	1.229256299938537e-4	0.4593619042297592	0	0	0	0.5347600156450801	0.005755154495166788
11	0	0.5265333333333333	6.888888888888888e-4	0	0	0.4604333333333333	0.012344444444444444
12	0	0.4775692987925855	0.0018706422538404851	1.8139561249362282e-4	0	0.497749560682501	0.022629102658579446
13	0	0.45416666666666666	0.001911111111111111	7.111111111111111e-4	0	0.5065222222222222	0.03668888888888889
14	0	0.44105773321689284	0.0020855121142908323	8.216355412244167e-4	0	0.5089167013748936	0.04711841775269828
15	0	0.42794879976711897	0.002259913117470554	9.321599713377223e-4	0	0.511311180527565	0.05754794661650768
16	0	0.41483986631734515	0.0024343141206502753	0.001042684401451028	0	0.5137056596802364	0.06797747548031707
17	0	0.40173093286757133	0.0026087151238299968	0.0011532088315643334	0	0.5161001388329078	0.07840700434412647
18	0	0.435348799767119	0.009559913117470554	0.0016266044157821668	0	0.4891945138608984	0.06427016883872991
19	0	0.46896666666666664	0.016511111111111112	0.0021	0	0.4622888888888889	0.050133333333333335
