Time	A4b	Alcaligenaceae	Armatimonadaceae	Bacillaceae	Bacteroidetes BD2-2	Beijerinckiaceae	Caulobacteraceae	Chitinophagaceae	Chthoniobacteraceae	Comamonadaceae	Corynebacteriaceae	Devosiaceae	Dietziaceae	Enterobacteriaceae	Enterococcaceae	Erwiniaceae	Finegoldia	Flavobacteriaceae	Gemmataceae	Hymenobacteraceae	Isosphaeraceae	Lachnospiraceae	Lactobacillaceae	Microbacteriaceae	Micrococcaceae	Moraxellaceae	Myxococcaceae	Nitrosopumilaceae	Nocardiaceae	Oxalobacteraceae	Paenibacillaceae	Pedosphaeraceae	Pirellulaceae	Planococcaceae	Propionibacteriaceae	Pseudomonadaceae	Rhizobiaceae	Rhodobacteraceae	Roseiflexaceae	Rubritaleaceae	Saccharimonadaceae	Sandaracinaceae	Saprospiraceae	Schlesneriaceae	Selenomonadaceae	Silvanigrellaceae	Sphingomonadaceae	Staphylococcaceae	Terrimicrobiaceae	Vagococcaceae	Veillonellaceae	Verrucomicrobiaceae	Vicinamibacteraceae	Weeksellaceae	Xanthomonadaceae	Yersiniaceae	NA
3	0	0	0	0.05366581192108431	0.0011512899680778692	0.0012559526924485844	0	7.326390705950076e-4	0.0019362604008582344	0.004919148045423622	4.186508974828615e-4	0.0018839290386728766	0	0.057956983620283634	0.008006698414359725	0.0019624260819509133	0	0	0.0012559526924485844	0	0	0.004814485321052907	0.8402585169291956	4.7098225966821916e-4	4.97147940760898e-4	0.0034538699042336073	0	0	0	5.233136218535768e-4	0	0	0.0010204615626144748	0	3.40153854204825e-4	0.002982887644565388	0.001334449735726621	0	0	0	0	0	0.0011512899680778692	0.0040033492071798625	0	0	0.0015961065466534093	0.0020670888063216287	0	0	0	3.40153854204825e-4	0	0	0	0	0
4	0	0	0	0.07761666666666667	0	0.0024	7.5e-4	0	0	0.061816666666666666	7.833333333333334e-4	0	0	0.00685	0.03696666666666667	5e-5	0	0.0017	9.666666666666667e-4	0	0	0	0.77795	5.333333333333334e-4	0	0	0	2.1666666666666666e-4	0	0.0036	0.0033	0	0	0	6.666666666666666e-4	0	2.8333333333333335e-4	0	3e-4	0	0	0	0.0018	0	1.1666666666666667e-4	0	0.007066666666666666	2.8333333333333335e-4	0	0	0	1.3333333333333334e-4	0	0.01385	0	0	0
5	0	5.158184319119669e-4	0	0.025490027510316367	0	0	4.2984869325997247e-4	0	0	0.07758768913342504	0	0	0	0.005716987620357634	0.005674002751031637	0	0	0	0	0	0	0	0.8635230398899587	0	0	0	0	0	0	0.002364167812929849	0.001203576341127923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008682943603851445	0	0	0	0	0	0	0.00795220082530949	8.596973865199449e-4	0	0
6	0	2.5790921595598347e-4	1.4166666666666668e-4	0.07296168042182485	0	0	2.315910132966529e-4	0	1.75e-4	0.04003551123337919	0	0	0	0.010833493810178816	0.017503668042182487	0.002533333333333333	0	0	0	0	0	0	0.8302365199449794	0	5.583333333333333e-4	0	1.1666666666666667e-4	0	0	0.007873750573131591	6.017881705639615e-4	1.9166666666666667e-4	3.8333333333333334e-4	0	0	0	0	0.0023666666666666667	0	5e-5	0	9.583333333333333e-4	0	0	0	0	0.004699805135259055	0	5.083333333333333e-4	0	0	6.833333333333333e-4	0	0.005034433745988078	4.2984869325997247e-4	0	6.333333333333333e-4
7	0	0	2.8333333333333335e-4	0.12043333333333334	0	0	3.3333333333333335e-5	0	3.5e-4	0.0024833333333333335	0	0	0	0.01595	0.029333333333333333	0.005066666666666666	0	0	0	0	0	0	0.79695	0	0.0011166666666666666	0	2.3333333333333333e-4	0	0	0.013383333333333334	0	3.8333333333333334e-4	7.666666666666667e-4	0	0	0	0	0.004733333333333333	0	1e-4	0	0.0019166666666666666	0	0	0	0	7.166666666666667e-4	0	0.0010166666666666666	0	0	0.0013666666666666666	0	0.002116666666666667	0	0	0.0012666666666666666
8	4.737305150127456e-4	0	0	0.07013467481783933	0	0	0.004737305150127456	0	2.0302736357689097e-4	0.06532969387985292	0	0	3.158203433418304e-4	0.01015136817884455	0.02370908434659027	5.188477069187214e-4	0	2.7070315143585465e-4	0.001376074353132261	2.7070315143585465e-4	4.2861332310676985e-4	0.0017144532924270794	0.7665636490784814	0.003428906584854159	0.002007715039815922	0	0	0	5.639648988246972e-4	0.0038800785039139166	0	2.932617473888425e-4	0	0.0012632813733673216	3.158203433418304e-4	3.609375352478062e-4	5.639648988246972e-4	0	0	0	3.834961312007941e-4	0	4.2861332310676985e-4	0	0	9.474610300254912e-4	0.020866701256513794	3.158203433418304e-4	0	5.188477069187214e-4	0	9.700196259784791e-4	0.001195605585508358	0.013061427056779986	0.0024363283629226917	0	0
9	0	0	0	0.07213333333333333	0	0	0	0	0	0.020766666666666666	4.8333333333333334e-4	0	0	0.04566666666666667	0.0236	3.5e-4	2.666666666666667e-4	0	0	0	0	0	0.8132333333333334	0.0029333333333333334	0	0	0	0	0	0	0.0022333333333333333	0	0	0	0.0011333333333333334	4.6666666666666666e-4	6.333333333333333e-4	1.8333333333333334e-4	0.0036	0.0015666666666666667	0	0	0	0	0	0	0.0020666666666666667	0	0	0	0	0	0	0.007483333333333333	3e-4	9e-4	0
10	0	0	0	0.1220203032961524	0	0	0	0	0	0.012207043489159042	0	0	0	0.03429001127960897	0.0400050131595438	0.0012783556836696327	0	0	0	0	0	0	0.7645569620253164	4.2611856122321093e-4	0	0	0	0	0	0	0	0	0	0	5.51447549818273e-4	0.012332372477754105	0	0	0	0.0011279608973555583	0	0	0	0	0	0	0.005213685925554581	3.258553703471613e-4	0	0.0026319087604963027	8.02105527008397e-4	0	0	0.0022308559969921042	0	0	0
