window,species_i,species_j,strength,strength_ji,pair_directional,interaction_type,group,mouse,lag_strength,delta_strength
3,C1,C1,0.152091235523098,0.152091235523098,C1→C1,mutualism,C-C,m7,-0.0257237430169479,0.1778149785400459
6,C1,C1,0.01438105753878298,0.01438105753878298,C1→C1,mutualism,C-C,m7,0.08749768034945907,-0.07311662281067609
2,C1,C3,0.05737386184790098,-0.04904617680223578,C1→C3,antagonism,C-C,m7,9.834209304222072e-4,0.05639044091747877
3,C1,C3,0.47028939844988393,0.05328161025383335,C1→C3,mutualism,C-C,m7,0.05737386184790098,0.41291553660198294
5,C1,C3,0.30823860469211106,-0.3199221210920632,C1→C3,antagonism,C-C,m7,0.4411004747392599,-0.13286187004714883
6,C1,C3,0.22272686528240143,-0.3631601627928104,C1→C3,antagonism,C-C,m7,0.30823860469211106,-0.08551173940970963
7,C1,C3,0.17113359502148048,-0.36885709362704433,C1→C3,antagonism,C-C,m7,0.22272686528240143,-0.05159327026092095
2,C1,C5,-0.1070711655776735,0.0683924846582595,C1→C5,antagonism,C-C,m7,0.00179740619392304,-0.10886857177159655
3,C1,C6,0.15068102873978503,0.0147571850567848,C1→C6,mutualism,C-C,m7,0.0203731294502871,0.13030789928949793
3,C1,C7,-0.10237439162353548,-0.06334724269491548,C1→C7,competition,C-C,m7,0.00178919757825873,-0.10416358920179421
2,C1,Lactobacillaceae,0.07804183946514241,0.05144196573711205,C1→Lactobacillaceae,mutualism,other,m7,0.02701727368457317,0.05102456578056924
7,C1,Lactobacillaceae,-0.06615101884463744,0.11294774402787278,C1→Lactobacillaceae,antagonism,other,m7,-0.01271390872728111,-0.05343711011735633
7,C1,Paenibacillaceae,-0.04594058725690501,0.19760908543646372,C1→Paenibacillaceae,antagonism,C-focal,m7,0.00690701869197351,-0.052847605948878516
8,C1,Paenibacillaceae,-0.08815910509150542,0.23737617153628288,C1→Paenibacillaceae,antagonism,C-focal,m7,-0.04594058725690501,-0.04221851783460041
9,C1,Paenibacillaceae,-0.12535251491459243,0.2012077775463813,C1→Paenibacillaceae,antagonism,C-focal,m7,-0.08815910509150542,-0.03719340982308701
10,C1,Paenibacillaceae,-0.15755109896708666,0.16885856355835202,C1→Paenibacillaceae,antagonism,C-focal,m7,-0.12535251491459243,-0.032198584052494233
4,C2,C1,0.1758543954085072,-0.03171437213242496,C2→C1,antagonism,C-C,m7,0.03169587278001567,0.14415852262849152
4,C2,C3,0.20825318913674773,-0.06078460625291143,C2→C3,antagonism,C-C,m7,0.03585005103340873,0.17240313810333902
4,C2,C5,0.1828572832406872,-0.06761701351142627,C2→C5,antagonism,C-C,m7,0.03902676594869637,0.14383051729199084
14,C2,Paenibacillaceae,-0.02484246440261055,-5.907075654360097e-4,C2→Paenibacillaceae,competition,C-focal,m7,-0.00898958686105772,-0.01585287754155283
4,C3,C1,-0.17492338140982625,0.4411004747392599,C3→C1,antagonism,C-C,m7,0.05328161025383335,-0.2282049916636596
5,C3,C1,-0.3199221210920632,0.30823860469211106,C3→C1,antagonism,C-C,m7,-0.17492338140982625,-0.14499873968223695
15,C3,C1,-0.26787154296388993,0.09650574957547298,C3→C1,antagonism,C-C,m7,-0.2960520142031865,0.028180471239296567
2,C3,C3,0.07801231914780853,0.07801231914780853,C3→C3,mutualism,C-C,m7,0.00259645871500426,0.07541586043280427
3,C3,C3,0.31094427761303955,0.31094427761303955,C3→C3,mutualism,C-C,m7,0.07801231914780853,0.23293195846523101
4,C3,C3,-0.01195578598256336,-0.01195578598256336,C3→C3,competition,C-C,m7,0.31094427761303955,-0.3229000635956029
5,C3,C3,-0.1470674700095194,-0.1470674700095194,C3→C3,competition,C-C,m7,-0.01195578598256336,-0.13511168402695603
4,C3,C4,-0.10905267931861556,0.17747365008470858,C3→C4,antagonism,C-C,m7,0.02554967209038878,-0.13460235140900434
2,C3,C5,-0.14505261158648733,-0.03607227251945373,C3→C5,competition,C-C,m7,0.00392108374089718,-0.1489736953273845
4,C3,C5,-0.30597668420209395,0.5015479214957788,C3→C5,antagonism,C-C,m7,-0.12957776575069638,-0.17639891845139757
9,C3,C5,-0.28756856982381074,0.12819964089944846,C3→C5,antagonism,C-C,m7,-0.3159301133669807,0.028361543543169943
10,C3,C5,-0.25825568098806007,0.11625685119085864,C3→C5,antagonism,C-C,m7,-0.28756856982381074,0.029312888835750672
12,C3,C5,-0.2031249287855548,0.10391021791478844,C3→C5,antagonism,C-C,m7,-0.2291147774232458,0.025989848637690993
13,C3,C5,-0.18161274814283648,0.09958523834417891,C3→C5,antagonism,C-C,m7,-0.2031249287855548,0.021512180642718315
14,C3,C5,-0.16334953801444,0.098891985222601,C3→C5,antagonism,C-C,m7,-0.18161274814283648,0.01826321012839649
15,C3,C5,-0.13381596892660252,0.09663283628028678,C3→C5,antagonism,C-C,m7,-0.16334953801444,0.02953356908783747
4,C3,C7,0.05661466830374113,-0.1229809676788012,C3→C7,antagonism,C-C,m7,-0.05389595986760848,0.1105106281713496
5,C3,C7,0.1264669433895485,-0.098869202234184,C3→C7,antagonism,C-C,m7,0.05661466830374113,0.06985227508580738
2,C3,Lactobacillaceae,0.14385426560757947,-0.07597301843161235,C3→Lactobacillaceae,antagonism,other,m7,0.06481529044188476,0.0790389751656947
6,C3,Lactobacillaceae,-0.04927077131789411,-0.02648162899963233,C3→Lactobacillaceae,competition,other,m7,0.02952643098644915,-0.07879720230434326
7,C3,Lactobacillaceae,-0.1206249661539748,-0.04111086882535215,C3→Lactobacillaceae,competition,other,m7,-0.04927077131789411,-0.07135419483608069
8,C3,Lactobacillaceae,-0.16389706114313654,-0.06722439404710852,C3→Lactobacillaceae,competition,other,m7,-0.1206249661539748,-0.043272094989161736
6,C3,Paenibacillaceae,-0.0638059175647207,0.12591481240131822,C3→Paenibacillaceae,antagonism,C-focal,m7,0.00546506535734676,-0.06927098292206746
7,C3,Paenibacillaceae,-0.12835469895223067,0.1209829281301316,C3→Paenibacillaceae,antagonism,C-focal,m7,-0.0638059175647207,-0.06454878138750997
8,C3,Paenibacillaceae,-0.20198902407581565,0.12842035546598426,C3→Paenibacillaceae,antagonism,C-focal,m7,-0.12835469895223067,-0.07363432512358498
9,C3,Paenibacillaceae,-0.2656873466949564,0.112920466583563,C3→Paenibacillaceae,antagonism,C-focal,m7,-0.20198902407581565,-0.06369832261914077
10,C3,Paenibacillaceae,-0.298752102237749,0.1022180694205895,C3→Paenibacillaceae,antagonism,C-focal,m7,-0.2656873466949564,-0.03306475554279259
11,C3,Paenibacillaceae,-0.32957114600500026,0.0982358223605139,C3→Paenibacillaceae,antagonism,C-focal,m7,-0.298752102237749,-0.030819043767251253
5,C4,C1,-0.03904549415031483,0.05017854366188671,C4→C1,antagonism,C-C,m7,0.07263152025594403,-0.11167701440625886
3,C4,C3,0.2671784266537279,0.02554967209038878,C4→C3,mutualism,C-C,m7,-0.02322197276916483,0.2904003994228927
5,C4,C3,0.06800864025922819,-0.17287258599115343,C4→C3,antagonism,C-C,m7,0.17747365008470858,-0.1094650098254804
2,C4,C5,0.04267170096331542,-0.0233018153246656,C4→C5,antagonism,C-C,m7,-0.00315566941487694,0.04582737037819236
2,C4,Lactobacillaceae,-0.09325397340232282,0.00790048796425648,C4→Lactobacillaceae,antagonism,other,m7,-0.05696266119776979,-0.036291312204553026
8,C4,Paenibacillaceae,-0.08964995973044874,0.0761985572746214,C4→Paenibacillaceae,antagonism,C-focal,m7,-0.0507885545929309,-0.038861405137517846
9,C4,Paenibacillaceae,-0.14386160428801165,0.06722112222433278,C4→Paenibacillaceae,antagonism,C-focal,m7,-0.08964995973044874,-0.0542116445575629
11,C4,Paenibacillaceae,-0.1974846481462692,0.06324426193086358,C4→Paenibacillaceae,antagonism,C-focal,m7,-0.17082523481070902,-0.026659413335560184
2,C5,C1,0.0683924846582595,-0.1070711655776735,C5→C1,antagonism,C-C,m7,0.03283635300994949,0.035556131648310015
3,C5,C1,0.3370094183489436,-0.05397253699263345,C5→C1,antagonism,C-C,m7,0.0683924846582595,0.26861693369068407
4,C5,C1,0.19895484369414357,0.03456670120888264,C5→C1,mutualism,C-C,m7,0.3370094183489436,-0.13805457465480003
5,C5,C1,0.04689258668953556,-0.01274789880219518,C5→C1,antagonism,C-C,m7,0.19895484369414357,-0.15206225700460801
3,C5,C3,0.7366310062926705,-0.12957776575069638,C5→C3,antagonism,C-C,m7,-0.03607227251945373,0.7727032788121243
4,C5,C3,0.5015479214957788,-0.30597668420209395,C5→C3,antagonism,C-C,m7,0.7366310062926705,-0.23508308479689177
5,C5,C3,0.3147199031138896,-0.3724557717759675,C5→C3,antagonism,C-C,m7,0.5015479214957788,-0.18682801838188917
6,C5,C3,0.23334512582253483,-0.3646088008084211,C5→C3,antagonism,C-C,m7,0.3147199031138896,-0.08137477729135476
7,C5,C3,0.18200780692768193,-0.3407563498594215,C5→C3,antagonism,C-C,m7,0.23334512582253483,-0.05133731889485291
3,C5,C4,0.12678539711649928,0.03505583571237402,C5→C4,mutualism,C-C,m7,-0.0233018153246656,0.15008721244116488
2,C5,C5,0.06582108802662144,0.06582108802662144,C5→C5,mutualism,C-C,m7,-0.00663460021161763,0.07245568823823907
3,C5,C6,0.2279508149722747,-0.03550284771071697,C5→C6,antagonism,C-C,m7,-0.02051625273741985,0.24846706770969457
3,C5,C7,-0.18290113285901088,0.01952474173157921,C5→C7,antagonism,C-C,m7,-0.00417691241607713,-0.17872422044293376
5,C5,C7,-0.0411884469993863,0.02152575706111249,C5→C7,antagonism,C-C,m7,-0.11495779917341836,0.07376935217403206
2,C5,Lactobacillaceae,-0.1888425776570653,0.133260309478221,C5→Lactobacillaceae,antagonism,other,m7,-0.12132134445675516,-0.06752123320031014
3,C5,Lactobacillaceae,-0.01953116525985732,0.10409029104213326,C5→Lactobacillaceae,antagonism,other,m7,-0.1888425776570653,0.16931141239720798
3,C5,Paenibacillaceae,0.1875434362215254,-0.06493019002619116,C5→Paenibacillaceae,antagonism,C-focal,m7,0.0370557293850399,0.1504877068364855
7,C5,Paenibacillaceae,-0.00602463214680843,0.07459459910703364,C5→Paenibacillaceae,antagonism,C-focal,m7,0.0484586957918507,-0.05448332793865913
8,C5,Paenibacillaceae,-0.06367871977041656,0.0901181118635508,C5→Paenibacillaceae,antagonism,C-focal,m7,-0.00602463214680843,-0.05765408762360813
9,C5,Paenibacillaceae,-0.11712377313401004,0.0783587992815882,C5→Paenibacillaceae,antagonism,C-focal,m7,-0.06367871977041656,-0.05344505336359348
10,C5,Paenibacillaceae,-0.15456172224319625,0.07069273875215988,C5→Paenibacillaceae,antagonism,C-focal,m7,-0.11712377313401004,-0.037437949109186214
11,C5,Paenibacillaceae,-0.182638731718993,0.06937485059218093,C5→Paenibacillaceae,antagonism,C-focal,m7,-0.15456172224319625,-0.02807700947579675
2,C6,C5,-0.03561827583824552,-0.02051625273741985,C6→C5,competition,C-C,m7,9.033753215939088e-4,-0.03652165115983943
