window,kpca1,kpca2
1,0.5129634127878314,0.13433846857352938
2,0.3526797915440532,0.023065975229557112
3,0.19695047854519607,-0.3594897677733346
4,-0.12130530542018625,-0.26694912235254253
5,-0.13025672963537088,-0.0794400826419601
6,-0.06986639383707977,-0.04993338106887742
7,-0.06175489327498591,0.003168038968494465
8,-0.06075117602050876,0.04604226589633178
9,-0.10996920764448609,0.10407529470932174
10,-0.09738212710567377,0.08810424607672296
11,-0.07286012065078748,0.06938950875747564
12,-0.0916002464123824,0.0702006183891311
13,-0.08656757073427578,0.07401499373717735
14,-0.09141839116464823,0.07429587746210851
15,-0.06886152097669597,0.06911706603684843
