window,lambda_full,lambda_without,delta_lambda,role
1,2.3551593120499935e-05,2.370440928596476e-5,-1.5281616546482683e-7,Stabilizing
2,2.4584238886181517e-5,2.4252985785719212e-5,3.312531004623049e-7,Destabilizing
3,0.2612879240811069,0.2571925760738723,0.0040953480072346005,Destabilizing
4,0.07821923663811992,0.08143220799894035,-0.003212971360820438,Stabilizing
5,1.0073162354835923e-7,9.669975528745479e-8,4.031868260904442e-9,Destabilizing
6,0.1265369597333439,0.01852388246641753,0.10801307726692636,Destabilizing
7,0.0038331721573446045,-0.12972215467051496,0.13355532682785956,Destabilizing
8,8.967258654197949e-4,5.94211809109169e-4,3.025140563106259e-4,Destabilizing
9,5.664563874580486e-4,0.004881906861683988,-0.00431545047422594,Stabilizing
10,7.33962100698879e-4,0.00851124587633967,-0.007777283775640791,Stabilizing
11,0.005088693977470608,0.009421164242863406,-0.004332470265392798,Stabilizing
12,0.0013996897407507001,0.003491549958559199,-0.0020918602178084987,Stabilizing
13,-0.13324483737123766,-0.11268360026628571,-0.020561237104951946,Stabilizing
14,-0.14062940053567052,-0.11140706033117823,-0.029222340204492298,Stabilizing
15,-0.1373953263314916,-0.09565072608438527,-0.04174460024710633,Stabilizing
