window,lambda_full,lambda_without,delta_lambda,role
1,-0.17977536501038624,-0.12675073896671185,-0.05302462604367439,Stabilizing
2,-0.11398338082051003,-0.01718292710745208,-0.09680045371305795,Stabilizing
3,0.22669771430855057,0.23684502445276134,-0.010147310144210775,Stabilizing
4,0.3979536168738462,0.4008208325413237,-0.0028672156674774962,Stabilizing
5,-0.07395166253302592,-0.07005024329664042,-0.0039014192363854977,Stabilizing
6,-0.12420021415678588,-0.12294072691924118,-0.0012594872375446958,Stabilizing
7,-0.22741788623300704,-0.22915031035139677,0.0017324241183897249,Destabilizing
8,0.2827782079636195,0.0590941883166126,0.2236840196470069,Destabilizing
9,0.2308256703467909,0.13137144243124105,0.09945422791554986,Destabilizing
10,0.11968710820984213,0.11516783402683131,0.0045192741830108185,Destabilizing
11,0.08785005957485509,0.02714953624777596,0.06070052332707913,Destabilizing
12,0.0027745865454385414,0.004066907299069434,-0.0012923207536308925,Stabilizing
13,4.3208481680115184e-5,6.959452428904082e-5,-2.638604260892564e-5,Stabilizing
14,1.585200436959133e-4,1.789899911339685e-4,-2.0469947438055185e-5,Stabilizing
15,-0.14939699471763512,-0.18221544849084848,0.03281845377321335,Destabilizing
16,-0.16249406604690053,-0.17879527038617407,0.01630120433927354,Destabilizing
17,7.964269328150713e-5,8.077225395124583e-5,-1.1295606697386997e-6,Stabilizing
