window,rank,R,I,C
1,1,-0.17977536501038624,0,0.17977536501038624
1,2,2.7755575615628914e-17,0,2.7755575615628914e-17
1,3,2.019514242530103e-18,1.084490947000058e-17,1.1031341676708694e-17
1,4,2.019514242530103e-18,-1.084490947000058e-17,1.1031341676708694e-17
1,5,4.514988071240548e-18,0,4.514988071240548e-18
1,6,-3.311571928073264e-18,8.150079940277905e-19,3.410388051986471e-18
1,7,-3.311571928073264e-18,-8.150079940277905e-19,3.410388051986471e-18
1,8,-2.1818140646140413e-18,0,2.1818140646140413e-18
1,9,-1.8150396533402738e-18,0,1.8150396533402738e-18
1,10,3.8892488036995567e-19,1.658959696408492e-18,1.7039395050524945e-18
1,11,3.8892488036995567e-19,-1.658959696408492e-18,1.7039395050524945e-18
1,12,1.0231317560985666e-18,0,1.0231317560985666e-18
1,13,5.899637434866387e-22,4.148278234743756e-20,4.148697733631008e-20
1,14,5.899637434866387e-22,-4.148278234743756e-20,4.148697733631008e-20
1,15,-1.9403466351721363e-23,0,1.9403466351721363e-23
1,16,-5.362330500727809e-31,0,5.362330500727809e-31
2,1,-0.11398338082051003,0,0.11398338082051003
2,2,-0.017252040862387658,0,0.017252040862387658
2,3,1.7117989908429156e-16,0,1.7117989908429156e-16
2,4,-6.236908973330365e-19,1.8295140711498012e-17,1.8305768598693914e-17
2,5,-6.236908973330365e-19,-1.8295140711498012e-17,1.8305768598693914e-17
2,6,1.0377880595754207e-17,1.1187033938144564e-17,1.5259427708565285e-17
2,7,1.0377880595754207e-17,-1.1187033938144564e-17,1.5259427708565285e-17
2,8,-1.3274648004844533e-17,6.2086220637321676e-18,1.4654803566844043e-17
2,9,-1.3274648004844533e-17,-6.2086220637321676e-18,1.4654803566844043e-17
2,10,-7.203749624299981e-19,2.5967317295688266e-18,2.694801618272768e-18
2,11,-7.203749624299981e-19,-2.5967317295688266e-18,2.694801618272768e-18
2,12,-1.9157343042607716e-18,0,1.9157343042607716e-18
2,13,-2.7980163664743653e-19,0,2.7980163664743653e-19
2,14,1.0576592686779617e-19,6.166733577078847e-20,1.2243076242215914e-19
2,15,1.0576592686779617e-19,-6.166733577078847e-20,1.2243076242215914e-19
2,16,7.855824294839509e-24,0,7.855824294839509e-24
3,1,0.22669771430855057,0.09820788938201709,0.2470559515769489
3,2,0.22669771430855057,-0.09820788938201709,0.2470559515769489
3,3,-0.10452072848551576,0,0.10452072848551576
3,4,6.472772600149482e-17,7.010474882307672e-16,7.040293028475393e-16
3,5,6.472772600149482e-17,-7.010474882307672e-16,7.040293028475393e-16
3,6,-7.601455946408683e-17,0,7.601455946408683e-17
3,7,2.8768288810937367e-18,2.3323813719467588e-17,2.3500562351388944e-17
3,8,2.8768288810937367e-18,-2.3323813719467588e-17,2.3500562351388944e-17
3,9,-1.2078981886177959e-17,5.6628629117635925e-18,1.33405329640177e-17
3,10,-1.2078981886177959e-17,-5.6628629117635925e-18,1.33405329640177e-17
3,11,7.979706649976372e-18,0,7.979706649976372e-18
3,12,-1.2574071649239624e-18,3.5268580349418925e-18,3.7443023885680366e-18
3,13,-1.2574071649239624e-18,-3.5268580349418925e-18,3.7443023885680366e-18
3,14,3.1788199283505165e-19,1.826836095468273e-18,1.854286677155005e-18
3,15,3.1788199283505165e-19,-1.826836095468273e-18,1.854286677155005e-18
3,16,1.6940942082888758e-23,0,1.6940942082888758e-23
4,1,0.3979536168738462,0.6542738322910664,0.765794573501154
4,2,0.3979536168738462,-0.6542738322910664,0.765794573501154
4,3,-0.039762691419973926,0.058520805234313425,0.07075136941595205
4,4,-0.039762691419973926,-0.058520805234313425,0.07075136941595205
4,5,1.315533264954996e-16,0,1.315533264954996e-16
4,6,8.46044705765621e-17,0,8.46044705765621e-17
4,7,-5.4715907454930486e-17,6.2573436313047184e-18,5.5072541960007145e-17
4,8,-5.4715907454930486e-17,-6.2573436313047184e-18,5.5072541960007145e-17
4,9,1.6637666098681326e-17,2.1553877310701833e-17,2.7228322760243556e-17
4,10,1.6637666098681326e-17,-2.1553877310701833e-17,2.7228322760243556e-17
4,11,-1.958628415102955e-17,0,1.958628415102955e-17
4,12,1.4298366714744646e-17,0,1.4298366714744646e-17
4,13,-6.574382563956088e-18,0,6.574382563956088e-18
4,14,-1.095327509826115e-18,2.6968857881465284e-18,2.910830690385238e-18
4,15,-1.095327509826115e-18,-2.6968857881465284e-18,2.910830690385238e-18
4,16,-3.737717235954591e-24,0,3.737717235954591e-24
5,1,-0.07395166253302592,1.0837079278147714,1.0862282086191577
5,2,-0.07395166253302592,-1.0837079278147714,1.0862282086191577
5,3,-0.08864702391139355,0.05826378781081766,0.10607998783187696
5,4,-0.08864702391139355,-0.05826378781081766,0.10607998783187696
5,5,-0.034166327443404816,0,0.034166327443404816
5,6,8.026239766453255e-18,5.112120565004402e-17,5.174744623556498e-17
5,7,8.026239766453255e-18,-5.112120565004402e-17,5.174744623556498e-17
5,8,-1.9950467933353397e-17,0,1.9950467933353397e-17
5,9,1.9054208320217778e-17,6.14276117302523e-19,1.9064107371144987e-17
5,10,1.9054208320217778e-17,-6.14276117302523e-19,1.9064107371144987e-17
5,11,-1.2596874010544282e-17,1.0050431293541357e-17,1.611497452755422e-17
5,12,-1.2596874010544282e-17,-1.0050431293541357e-17,1.611497452755422e-17
5,13,1.0965606830664999e-18,1.3443686297174692e-17,1.3488333721720035e-17
5,14,1.0965606830664999e-18,-1.3443686297174692e-17,1.3488333721720035e-17
5,15,4.948311460217609e-18,0,4.948311460217609e-18
5,16,7.181874558743309e-22,0,7.181874558743309e-22
6,1,-0.12420021415678588,1.0252894038709222,1.0327846120496675
6,2,-0.12420021415678588,-1.0252894038709222,1.0327846120496675
6,3,-0.1336584187704559,0,0.1336584187704559
6,4,-0.06576337700833632,0.09524044962339279,0.11573921116029173
6,5,-0.06576337700833632,-0.09524044962339279,0.11573921116029173
6,6,-0.0026448180142281978,0,0.0026448180142281978
6,7,-6.031191971120802e-17,5.171433853897384e-17,7.944746987648378e-17
6,8,-6.031191971120802e-17,-5.171433853897384e-17,7.944746987648378e-17
6,9,3.402429313062906e-17,0,3.402429313062906e-17
6,10,-1.0803322481159617e-17,0,1.0803322481159617e-17
6,11,1.059348550178118e-17,0,1.059348550178118e-17
6,12,-2.020165983796182e-18,1.0289727260701454e-17,1.048616029353499e-17
6,13,-2.020165983796182e-18,-1.0289727260701454e-17,1.048616029353499e-17
6,14,-3.498432330269439e-18,3.759702763098752e-18,5.135600611060682e-18
6,15,-3.498432330269439e-18,-3.759702763098752e-18,5.135600611060682e-18
6,16,-1.9763132281777325e-21,0,1.9763132281777325e-21
7,1,-0.22741788623300704,0.9341635783616041,0.9614470792071947
7,2,-0.22741788623300704,-0.9341635783616041,0.9614470792071947
7,3,-0.06455870044379503,0.1121863155793614,0.12943567980376866
7,4,-0.06455870044379503,-0.1121863155793614,0.12943567980376866
7,5,-0.12270050764332882,0,0.12270050764332882
7,6,-0.01991069321651977,0,0.01991069321651977
7,7,-3.3429909647553045e-4,0,3.3429909647553045e-4
7,8,6.459714621946455e-17,0,6.459714621946455e-17
7,9,-5.244475505557826e-17,0,5.244475505557826e-17
7,10,-2.2059827141015726e-17,0,2.2059827141015726e-17
7,11,1.7458855300481082e-17,0,1.7458855300481082e-17
7,12,7.350395292207177e-18,6.656925531252445e-18,9.916802331414197e-18
7,13,7.350395292207177e-18,-6.656925531252445e-18,9.916802331414197e-18
7,14,-6.213487974431826e-18,0,6.213487974431826e-18
7,15,-3.756472443949397e-18,0,3.756472443949397e-18
7,16,-5.768932688665267e-21,0,5.768932688665267e-21
8,1,-0.20033308288495388,0.9340773131381538,0.9553186751119138
8,2,-0.20033308288495388,-0.9340773131381538,0.9553186751119138
8,3,0.2827782079636195,0,0.2827782079636195
8,4,-0.02868193072470239,0.08195210855779611,0.08682627048978567
8,5,-0.02868193072470239,-0.08195210855779611,0.08682627048978567
8,6,-0.08435125256617582,0,0.08435125256617582
8,7,-0.016294875411222275,0,0.016294875411222275
8,8,1.497557859302404e-4,0,1.497557859302404e-4
8,9,8.029538550321251e-17,0,8.029538550321251e-17
8,10,6.20847274660603e-17,0,6.20847274660603e-17
8,11,-5.163480042749637e-17,0,5.163480042749637e-17
8,12,8.165111356960144e-19,3.7965440504872704e-17,3.797421971764192e-17
8,13,8.165111356960144e-19,-3.7965440504872704e-17,3.797421971764192e-17
8,14,-1.3709879160981074e-17,0,1.3709879160981074e-17
8,15,3.1654626680893967e-18,0,3.1654626680893967e-18
8,16,-5.018594322027183e-19,0,5.018594322027183e-19
9,1,-0.2061398863533558,0.8934353424202958,0.9169080454611823
9,2,-0.2061398863533558,-0.8934353424202958,0.9169080454611823
9,3,0.2308256703467909,0.04307264526154134,0.23481001439647323
9,4,0.2308256703467909,-0.04307264526154134,0.23481001439647323
9,5,-0.0952606037498674,0,0.0952606037498674
9,6,-0.02628131639771799,0.04498716066795407,0.05210136482436208
9,7,-0.02628131639771799,-0.04498716066795407,0.05210136482436208
9,8,-0.013804985736846187,0,0.013804985736846187
9,9,-3.26725921817598e-4,0,3.26725921817598e-4
9,10,8.256584102998754e-17,0,8.256584102998754e-17
9,11,-2.4583172886666335e-17,1.4023040526473734e-17,2.830155569545341e-17
9,12,-2.4583172886666335e-17,-1.4023040526473734e-17,2.830155569545341e-17
9,13,1.4576978046281313e-18,1.7782645877293566e-17,1.7842291817108124e-17
9,14,1.4576978046281313e-18,-1.7782645877293566e-17,1.7842291817108124e-17
9,15,-1.1668634629857021e-17,0,1.1668634629857021e-17
9,16,1.0020428692701724e-18,0,1.0020428692701724e-18
10,1,-0.1563268362568842,0.8977497659571775,0.9112588666291559
10,2,-0.1563268362568842,-0.8977497659571775,0.9112588666291559
10,3,0.11968710820984213,0.3321490483223508,0.3530552282194357
10,4,0.11968710820984213,-0.3321490483223508,0.3530552282194357
10,5,-0.07749073487436528,0,0.07749073487436528
10,6,-0.023522270845985842,0.04286015164445768,0.04889059034965546
10,7,-0.023522270845985842,-0.04286015164445768,0.04889059034965546
10,8,0.036096633262487625,0,0.036096633262487625
10,9,-0.009391003068385955,0,0.009391003068385955
10,10,-1.3580415918020274e-4,0,1.3580415918020274e-4
10,11,3.674388161014677e-17,4.444832559744083e-17,5.766945885125501e-17
10,12,3.674388161014677e-17,-4.444832559744083e-17,5.766945885125501e-17
10,13,-4.977987433304731e-17,0,4.977987433304731e-17
10,14,-1.1279919170826168e-17,1.5954408436808126e-17,1.953918435014282e-17
10,15,-1.1279919170826168e-17,-1.5954408436808126e-17,1.953918435014282e-17
10,16,-6.464692725477255e-18,0,6.464692725477255e-18
11,1,-0.17117515670754999,0.8519131043061953,0.868940085139633
11,2,-0.17117515670754999,-0.8519131043061953,0.868940085139633
11,3,-0.08858564942477018,0.31120759623604216,0.32357006233430147
11,4,-0.08858564942477018,-0.31120759623604216,0.32357006233430147
11,5,0.08785005957485509,0,0.08785005957485509
11,6,-0.05839486503955729,0.024141532905367573,0.06318839983738357
11,7,-0.05839486503955729,-0.024141532905367573,0.06318839983738357
11,8,-0.04576769822649228,0,0.04576769822649228
11,9,0.032098600755527236,0,0.032098600755527236
11,10,-0.003973732979099867,0,0.003973732979099867
11,11,-3.7830108762574254e-4,0,3.7830108762574254e-4
11,12,-8.956907580813884e-17,0,8.956907580813884e-17
11,13,5.026824838008141e-17,0,5.026824838008141e-17
11,14,7.984314315722425e-19,1.3553906812838809e-17,1.3577403383638595e-17
11,15,7.984314315722425e-19,-1.3553906812838809e-17,1.3577403383638595e-17
11,16,-8.254896781516719e-18,0,8.254896781516719e-18
12,1,-0.11067115350760247,0.8253012846911958,0.8326886061017297
