series,sbd_cluster
C1,1
C2,2
C3,3
C4,3
C5,3
C6,3
C7,4
C8,5
C9,6
Enterobacteriaceae,7
Lachnospiraceae,7
Muribaculaceae,7
Paenibacillaceae,2
Ruminococcaceae,8
