Gene_name,Product,Label,I6,M5,M6,M8,Delta_M5,Category,Classification
,Methionine aminopeptidase,Methionine aminopeptidase,3,0,0,0,-3,Other,I6_only_multicopy
,Methylated-DNA--protein-cysteine methyltransferase,Methylated-DNA--protein-cysteine methyltransferase,3,0,0,0,-3,Metabolism,I6_only_multicopy
,Methyltransferase,Methyltransferase,2,5,5,5,3,Metabolism,isolate_only_multicopy
,Multidrug ABC transporter permease,Multidrug ABC transporter permease,3,0,0,0,-3,ABC transporter,I6_only_multicopy
,N-acetylmuramoyl-L-alanine amidase,N-acetylmuramoyl-L-alanine amidase,5,2,2,2,-3,Other,I6_only_multicopy
,NAD-dependent epimerase/dehydratase family protein,NAD-dependent epimerase/dehydratase,2,5,5,5,3,Other,isolate_only_multicopy
,NADP-dependent oxidoreductase domain-containing protein,NADP-dependent oxidoreductase,4,1,1,1,-3,Metabolism,I6_only_multicopy
,Nitroreductase,Nitroreductase,0,3,3,3,3,Metabolism,isolate_only_multicopy
,Nucleotide sugar dehydrogenase family protein,Nucleotide sugar dehydrogenase,0,3,3,3,3,Metabolism,isolate_only_multicopy
,Oxidoreductase,Oxidoreductase,3,6,6,6,3,Metabolism,isolate_expanded
,"Oxidoreductase, NAD-binding Rossmann fold family protein","Oxidoreductase, NAD-binding Rossmann fold",0,3,3,3,3,Metabolism,isolate_only_multicopy
,PAP2 superfamily protein,PAP2 superfamily protein,0,3,3,3,3,Other,isolate_only_multicopy
,PD-(D/E)XK endonuclease-like domain-containing protein,PD-(D/E)XK endonuclease-like,0,3,3,3,3,Other,isolate_only_multicopy
,PNPLA domain-containing protein,PNPLA,3,0,0,0,-3,Other,I6_only_multicopy
,PTS EIIA type-1 domain-containing protein,PTS EIIA type-1,3,0,0,0,-3,Other,I6_only_multicopy
,PTS beta-glucoside transporter subunit EIIBCA,PTS beta-glucoside transporter subunit EIIBCA,0,3,3,3,3,Other,isolate_only_multicopy
,PTS system EIIA component,PTS system EIIA component,3,0,0,0,-3,Other,I6_only_multicopy
,PTS system glucose-specific EIICBA component,PTS system glucose-specific EIICBA component,3,0,0,0,-3,Other,I6_only_multicopy
,Penicillinase repressor,Penicillinase repressor,3,0,0,0,-3,Other,I6_only_multicopy
,PepSY domain-containing protein,PepSY,1,4,4,4,3,Other,isolate_only_multicopy
,Peptidase M23 domain-containing protein,Peptidase M23,4,1,1,1,-3,Other,I6_only_multicopy
,Peptidase propeptide and YPEB domain protein,Peptidase propeptide and YPEB,2,5,5,5,3,Other,isolate_only_multicopy
pfkB,PfkB carbohydrate kinase family protein,pfkB,0,3,3,3,3,Metabolism,isolate_only_multicopy
,Phage tail fiber repeat family protein,Phage tail fiber repeat,0,3,3,3,3,Phage,isolate_only_multicopy
,Phosphatidic acid phosphatase type 2/haloperoxidase domain-containing protein,Phosphatidic acid phosphatase type 2/haloperoxidas,3,0,0,0,-3,Other,I6_only_multicopy
,Phosphocarrier protein HPr,Phosphocarrier protein HPr,3,0,0,0,-3,Other,I6_only_multicopy
,Polyketide cyclase,Polyketide cyclase,0,3,3,3,3,Other,isolate_only_multicopy
,Polyprenyl synthetase family protein,Polyprenyl synthetase,0,3,3,3,3,Other,isolate_only_multicopy
,Prenyltransferase-like family protein,Prenyltransferase-like,0,3,3,3,3,Metabolism,isolate_only_multicopy
,Protein kinase domain-containing protein,Protein kinase,3,0,0,0,-3,Metabolism,I6_only_multicopy
lplB,Protein lplB,lplB,3,0,0,0,-3,Other,I6_only_multicopy
ytcP,Putative ABC transporter permease protein YtcP,ytcP,3,0,0,0,-3,ABC transporter,I6_only_multicopy
,Putative permease family protein,Putative permease,0,3,3,3,3,ABC transporter,isolate_only_multicopy
,RDD family protein,RDD,2,5,5,5,3,Other,isolate_only_multicopy
,Radical SAM superfamily protein,Radical SAM superfamily protein,0,3,3,3,3,Other,isolate_only_multicopy
,Response regulatory protein,Response regulatory protein,3,0,0,0,-3,Other,I6_only_multicopy
,Rpn family recombination-promoting nuclease/putative transposase,Rpn family recombination-promoting nuclease/putati,0,3,3,3,3,IS transposase,isolate_only_multicopy
,Rrf2 family transcriptional regulator,Rrf2 family transcriptional regulator,4,1,1,1,-3,Regulator,I6_only_multicopy
,S-layer-like y domain-containing protein,S-layer-like y,0,3,3,3,3,Other,isolate_only_multicopy
,SGNH hydrolase-type esterase domain-containing protein,SGNH hydrolase-type esterase,4,1,1,1,-3,Metabolism,I6_only_multicopy
,SPFH domain / Band 7 family protein,SPFH domain / Band 7,0,3,3,3,3,Other,isolate_only_multicopy
,Signal peptidase I,Signal peptidase I,3,0,0,0,-3,Other,I6_only_multicopy
,Solute-binding protein family 3/N-terminal domain-containing protein,Solute-binding protein family 3/N-terminal,3,0,0,0,-3,ABC transporter,I6_only_multicopy
potA,Spermidine/putrescine import ATP-binding protein PotA,potA,4,1,1,1,-3,ABC transporter,I6_only_multicopy
,Spore germination GerAC-like C-terminal domain-containing protein,Spore germination GerAC-like C-terminal,5,2,2,2,-3,Sporulation,I6_only_multicopy
,Spore germination gerPA/gerPF family protein,Spore germination gerPA/gerPF,0,3,3,3,3,Sporulation,isolate_only_multicopy
,Stress-response A/B barrel domain-containing protein,Stress-response A/B barrel,3,0,0,0,-3,Other,I6_only_multicopy
,Thioredoxin domain-containing protein,Thioredoxin,5,2,2,2,-3,Other,I6_only_multicopy
padR,Transcription regulator PadR N-terminal domain-containing protein,padR,4,1,1,1,-3,Other,I6_only_multicopy
,Transcriptional regulator PadR-like family protein,Transcriptional regulator PadR-like,1,4,4,4,3,Regulator,isolate_only_multicopy
gntR,"Transcriptional regulator, GntR family",gntR,3,0,0,0,-3,Regulator,I6_only_multicopy
,Transglutaminase-like domain-containing protein,Transglutaminase-like,3,0,0,0,-3,Other,I6_only_multicopy
,Transglutaminase-like superfamily protein,Transglutaminase-like superfamily protein,0,3,3,3,3,Other,isolate_only_multicopy
,Type I phosphodiesterase / nucleotide pyrophosphatase family protein,Type I phosphodiesterase / nucleotide pyrophosphat,0,3,3,3,3,Other,isolate_only_multicopy
,UTRA domain protein,UTRA,1,4,4,4,3,Other,isolate_only_multicopy
vanZ,VanZ like family protein,vanZ,0,3,3,3,3,Other,isolate_only_multicopy
,VanZ-like domain-containing protein,VanZ-like,4,1,1,1,-3,Other,I6_only_multicopy
,"VirD4-like conjugal transfer protein, CD1115 family","VirD4-like conjugal transfer protein, CD1115 famil",0,3,3,3,3,Conjugation,isolate_only_multicopy
,WYL domain protein,WYL,0,3,3,3,3,Other,isolate_only_multicopy
,"Xylan beta-1,4-xylosidase","Xylan beta-1,4-xylosidase",0,3,3,3,3,Other,isolate_only_multicopy
,Xylose isomerase-like TIM barrel family protein,Xylose isomerase-like TIM barrel,2,5,5,5,3,Other,isolate_only_multicopy
yfhD,YfhD family protein,yfhD,1,4,4,4,3,Other,isolate_only_multicopy
,beta-glucosidase,beta-glucosidase,3,0,0,0,-3,Other,I6_only_multicopy
fba,"class II fructose-1,6-bisphosphate aldolase",fba,0,3,3,3,3,Other,isolate_only_multicopy
gmk,guanylate kinase,gmk,0,3,3,3,3,Metabolism,isolate_only_multicopy
ccmA,heme ABC exporter ATP-binding protein CcmA,ccmA,0,3,3,3,3,ABC transporter,isolate_only_multicopy
,putative sugar-binding periplasmic protein,putative sugar-binding periplasmic protein,4,1,1,1,-3,Other,I6_only_multicopy
rbsK,ribokinase,rbsK,0,3,3,3,3,Metabolism,isolate_only_multicopy
rpe,ribulose-phosphate 3-epimerase,rpe,0,3,3,3,3,Other,isolate_only_multicopy
,transcriptional regulator,transcriptional regulator,0,3,3,3,3,Regulator,isolate_only_multicopy
,AAA domain protein,AAA,1,3,3,3,2,Other,isolate_only_multicopy
,ABM domain-containing protein,ABM,3,1,1,1,-2,Other,I6_only_multicopy
,ACT domain-containing protein,ACT,1,3,3,3,2,Other,isolate_only_multicopy
,Acetyl-CoA acetyltransferase,Acetyl-CoA acetyltransferase,3,1,1,1,-2,Metabolism,I6_only_multicopy
,Aldo/keto reductase,Aldo/keto reductase,1,3,3,3,2,Metabolism,isolate_only_multicopy
,Alpha-galactosidase,Alpha-galactosidase,6,4,4,4,-2,Other,I6_expanded
,Amidohydrolase,Amidohydrolase,1,3,3,3,2,Metabolism,isolate_only_multicopy
,Amidohydrolase-related domain-containing protein,Amidohydrolase-related,3,1,1,1,-2,Metabolism,I6_only_multicopy
,Aminotransferase class-V family protein,Aminotransferase class-V,1,3,3,3,2,Metabolism,isolate_only_multicopy
,Ascorbate-specific PTS system EIIC component,Ascorbate-specific PTS system EIIC component,4,2,2,2,-2,Other,I6_only_multicopy
,Aspartate ammonia-lyase,Aspartate ammonia-lyase,1,3,3,3,2,Other,isolate_only_multicopy
,BIG2 domain-containing protein,BIG2,1,3,3,3,2,Other,isolate_only_multicopy
,Bacterial PH domain protein,Bacterial PH,1,3,3,3,2,Other,isolate_only_multicopy
,Beta-lactamase family protein,Beta-lactamase,1,3,3,3,2,Other,isolate_only_multicopy
,BlaI/MecI/CopY family transcriptional regulator,BlaI/MecI/CopY family transcriptional regulator,2,4,4,4,2,Regulator,isolate_only_multicopy
pfkB,Carbohydrate kinase PfkB domain-containing protein,pfkB,3,1,1,1,-2,Metabolism,I6_only_multicopy
,Catabolite control protein A,Catabolite control protein A,3,1,1,1,-2,Other,I6_only_multicopy
,Cation diffusion facilitator transporter family protein,Cation diffusion facilitator transporter,1,3,3,3,2,Other,isolate_only_multicopy
dnaK,Chaperone protein DnaK,dnaK,3,1,1,1,-2,Other,I6_only_multicopy
cobW,CobW C-terminal domain-containing protein,cobW,1,3,3,3,2,Other,isolate_only_multicopy
,Copper amine oxidase N-terminal domain-containing protein,Copper amine oxidase N-terminal,2,4,4,4,2,Other,isolate_only_multicopy
,Coproporphyrinogen III oxidase,Coproporphyrinogen III oxidase,3,1,1,1,-2,Other,I6_only_multicopy
,Crp/Fnr family transcriptional regulator,Crp/Fnr family transcriptional regulator,4,2,2,2,-2,Regulator,I6_only_multicopy
,DUF1292 domain-containing protein,DUF1292,1,3,3,3,2,DUF/domain,isolate_only_multicopy
,DUF2313 domain-containing protein,DUF2313,1,3,3,3,2,DUF/domain,isolate_only_multicopy
,DUF2634 domain-containing protein,DUF2634,2,4,4,4,2,DUF/domain,isolate_only_multicopy
,DUF2642 domain-containing protein,DUF2642,1,3,3,3,2,DUF/domain,isolate_only_multicopy
,DUF3502 domain-containing protein,DUF3502,3,1,1,1,-2,DUF/domain,I6_only_multicopy
,DUF4352 domain-containing protein,DUF4352,1,3,3,3,2,DUF/domain,isolate_only_multicopy
,DUF4386 domain-containing protein,DUF4386,1,3,3,3,2,DUF/domain,isolate_only_multicopy
,DUF664 domain-containing protein,DUF664,1,3,3,3,2,DUF/domain,isolate_only_multicopy
,Dihydrodipicolinate synthase family protein,Dihydrodipicolinate synthase,1,3,3,3,2,Metabolism,isolate_only_multicopy
doxX,DoxX family protein,doxX,2,4,4,4,2,Other,isolate_only_multicopy
,FAD-dependent oxidoreductase,FAD-dependent oxidoreductase,4,6,6,6,2,Metabolism,isolate_expanded
,Ferric uptake regulator family protein,Ferric uptake regulator,1,3,3,3,2,Other,isolate_only_multicopy
fliK,Flagellar hook-length control protein FliK,fliK,1,3,3,3,2,Motility,isolate_only_multicopy
,GAF domain-containing protein,GAF,3,1,1,1,-2,Other,I6_only_multicopy
,GGDEF domain-containing protein,GGDEF,3,1,1,1,-2,Other,I6_only_multicopy
,Glucose 1-dehydrogenase,Glucose 1-dehydrogenase,1,3,3,3,2,Metabolism,isolate_only_multicopy
,Glycosidase,Glycosidase,1,3,3,3,2,Other,isolate_only_multicopy
,Glycoside hydrolase family 38 central domain-containing protein,Glycoside hydrolase family 38 central,2,4,4,4,2,Metabolism,isolate_only_multicopy
,Glycosyltransferase,Glycosyltransferase,10,12,12,12,2,Metabolism,isolate_expanded
,HD domain-containing protein,HD,2,4,4,4,2,Other,isolate_only_multicopy
,Hydrolase,Hydrolase,3,1,1,1,-2,Metabolism,I6_only_multicopy
araQ,L-arabinose transport system permease protein AraQ,araQ,3,1,1,1,-2,ABC transporter,I6_only_multicopy
,MATE efflux family protein,MATE efflux,2,4,4,4,2,Drug efflux,isolate_only_multicopy
,Methyl-accepting chemotaxis protein,Methyl-accepting chemotaxis protein,4,2,2,2,-2,Motility,I6_only_multicopy
,Methyl-accepting transducer domain-containing protein,Methyl-accepting transducer,3,1,1,1,-2,Other,I6_only_multicopy
,Mor transcription activator family protein,Mor transcription activator,1,3,3,3,2,Other,isolate_only_multicopy
,MurR/RpiR family transcriptional regulator,MurR/RpiR family transcriptional regulator,1,3,3,3,2,Regulator,isolate_only_multicopy
,NAD dependent epimerase/dehydratase family protein,NAD dependent epimerase/dehydratase,1,3,3,3,2,Other,isolate_only_multicopy
,NUDIX domain-containing protein,NUDIX,1,3,3,3,2,Other,isolate_only_multicopy
nikD,Nickel import system ATP-binding protein NikD,nikD,3,1,1,1,-2,ABC transporter,I6_only_multicopy
,Nucleotidyltransferase family protein,Nucleotidyltransferase,2,4,4,4,2,Metabolism,isolate_only_multicopy
,O-antigen ligase-related domain-containing protein,O-antigen ligase-related,3,1,1,1,-2,Metabolism,I6_only_multicopy
,PDZ domain-containing protein,PDZ,4,2,2,2,-2,Other,I6_only_multicopy
ulaA,PTS sugar transporter subunit IIC,ulaA,1,3,3,3,2,Other,isolate_only_multicopy
,Peptidase,Peptidase,1,3,3,3,2,Other,isolate_only_multicopy
,Phage holin family protein,Phage holin,1,3,3,3,2,Phage,isolate_only_multicopy
,Phage portal protein,Phage portal protein,6,4,4,4,-2,Phage,I6_expanded
,Phage protein,Phage protein,3,5,5,5,2,Phage,isolate_expanded
,Polysaccharide deacetylase,Polysaccharide deacetylase,3,1,1,1,-2,Other,I6_only_multicopy
prgI,PrgI family protein,prgI,1,3,3,3,2,Other,isolate_only_multicopy
,Putative acetyltransferase,Putative acetyltransferase,3,1,1,1,-2,Metabolism,I6_only_multicopy
,Pyrroline-5-carboxylate reductase,Pyrroline-5-carboxylate reductase,3,1,1,1,-2,Metabolism,I6_only_multicopy
,Redoxin domain-containing protein,Redoxin,1,3,3,3,2,Other,isolate_only_multicopy
,SCP domain-containing protein,SCP,1,3,3,3,2,Other,isolate_only_multicopy
,SMI1/KNR4 family protein,SMI1/KNR4,1,3,3,3,2,Other,isolate_only_multicopy
,SnoaL-like domain-containing protein,SnoaL-like,3,1,1,1,-2,Other,I6_only_multicopy
,Spo0E like sporulation regulatory family protein,Spo0E like sporulation regulatory,2,4,4,4,2,Sporulation,isolate_only_multicopy
,Spo0E like sporulation regulatory protein,Spo0E like sporulation regulatory protein,3,1,1,1,-2,Sporulation,I6_only_multicopy
,Spore germination protein KA,Spore germination protein KA,4,2,2,2,-2,Sporulation,I6_only_multicopy
,Spore gernimation protein,Spore gernimation protein,3,1,1,1,-2,Sporulation,I6_only_multicopy
,TetR/AcrR family transcriptional regulator,TetR/AcrR family transcriptional regulator,2,4,4,4,2,Regulator,isolate_only_multicopy
,Thermostable beta-glucosidase B,Thermostable beta-glucosidase B,4,2,2,2,-2,Other,I6_only_multicopy
thiF,ThiF family protein,thiF,1,3,3,3,2,Other,isolate_only_multicopy
,Thioredoxin,Thioredoxin,4,2,2,2,-2,Other,I6_only_multicopy
,Transglutaminase,Transglutaminase,3,1,1,1,-2,Other,I6_only_multicopy
,Transketolase,Transketolase,3,1,1,1,-2,Other,I6_only_multicopy
,Transporter,Transporter,2,4,4,4,2,Other,isolate_only_multicopy
,Transposase,Transposase,14,12,12,12,-2,IS transposase,I6_expanded
murA,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,murA,1,3,3,3,2,Metabolism,isolate_only_multicopy
,UDP-glucose 4-epimerase,UDP-glucose 4-epimerase,3,1,1,1,-2,Other,I6_only_multicopy
yetF,YetF C-terminal domain-containing protein,yetF,3,1,1,1,-2,Other,I6_only_multicopy
,YheC/D like ATP-grasp family protein,YheC/D like ATP-grasp,1,3,3,3,2,Other,isolate_only_multicopy
,Zinc-ribbon domain protein,Zinc-ribbon,1,3,3,3,2,Other,isolate_only_multicopy
,"oligo-1,6-glucosidase","oligo-1,6-glucosidase",1,3,3,3,2,Other,isolate_only_multicopy
dapA,4-hydroxy-tetrahydrodipicolinate synthase,dapA,4,3,3,3,-1,Regulator,shared_same
,6-phospho-beta-glucosidase,6-phospho-beta-glucosidase,5,6,6,6,1,Other,shared_same
,ADP-ribosylglycohydrolase family protein,ADP-ribosylglycohydrolase,2,3,3,3,1,Metabolism,isolate_only_multicopy
,ATPase,ATPase,4,3,3,3,-1,Other,shared_same
,Alpha-amylase,Alpha-amylase,3,2,2,2,-1,Other,I6_only_multicopy
,Alpha/beta hydrolase,Alpha/beta hydrolase,4,3,3,3,-1,Metabolism,shared_same
,Aminopeptidase,Aminopeptidase,4,5,5,5,1,Other,shared_same
,Antitoxin,Antitoxin,3,2,2,2,-1,Other,I6_only_multicopy
arsR,ArsR family transcriptional regulator,arsR,6,5,5,5,-1,Regulator,shared_same
,Asparaginase,Asparaginase,3,2,2,2,-1,Other,I6_only_multicopy
,Beta-galactosidase,Beta-galactosidase,3,4,4,4,1,Other,shared_same
,Beta-xylosidase,Beta-xylosidase,2,3,3,3,1,Other,isolate_only_multicopy
,Copper amine oxidase-like N-terminal domain-containing protein,Copper amine oxidase-like N-terminal,11,12,12,12,1,Other,shared_same
,DNA primase,DNA primase,2,3,3,3,1,Other,isolate_only_multicopy
,DUF1450 domain-containing protein,DUF1450,2,3,3,3,1,DUF/domain,isolate_only_multicopy
,DUF2768 domain-containing protein,DUF2768,3,2,2,2,-1,DUF/domain,I6_only_multicopy
,DUF3139 domain-containing protein,DUF3139,2,3,3,3,1,DUF/domain,isolate_only_multicopy
,DUF4097 domain-containing protein,DUF4097,2,3,3,3,1,DUF/domain,isolate_only_multicopy
,DUF4183 domain-containing protein,DUF4183,2,3,3,3,1,DUF/domain,isolate_only_multicopy
,DUF4190 domain-containing protein,DUF4190,2,3,3,3,1,DUF/domain,isolate_only_multicopy
,DUF4367 domain-containing protein,DUF4367,8,9,9,9,1,DUF/domain,shared_same
,FHA domain-containing protein,FHA,3,2,2,2,-1,Other,I6_only_multicopy
,Fibronectin type-III domain-containing protein,Fibronectin type-III,3,2,2,2,-1,Other,I6_only_multicopy
,GTP cyclohydrolase 1 type 2-like protein,GTP cyclohydrolase 1 type 2-like protein,3,2,2,2,-1,Metabolism,I6_only_multicopy
,GerMN domain-containing protein,GerMN,3,2,2,2,-1,Other,I6_only_multicopy
,Glucanase,Glucanase,2,3,3,3,1,Other,isolate_only_multicopy
,Glutathione peroxidase,Glutathione peroxidase,2,3,3,3,1,Other,isolate_only_multicopy
,Glycerophosphoryl diester phosphodiesterase,Glycerophosphoryl diester phosphodiesterase,2,3,3,3,1,Other,isolate_only_multicopy
,Glycosyl hydrolases 28 family protein,Glycosyl hydrolases 28,3,2,2,2,-1,Metabolism,I6_only_multicopy
,Glycosyl transferase,Glycosyl transferase,4,3,3,3,-1,Metabolism,shared_same
,HAD family hydrolase,HAD family hydrolase,3,2,2,2,-1,Metabolism,I6_only_multicopy
,Helix-turn-helix conjugative transposon-like domain-containing protein,Helix-turn-helix conjugative transposon-like,2,3,3,3,1,Other,isolate_only_multicopy
,Heptaprenyl diphosphate synthase,Heptaprenyl diphosphate synthase,2,3,3,3,1,Metabolism,isolate_only_multicopy
,Histidinol-phosphatase,Histidinol-phosphatase,3,2,2,2,-1,Other,I6_only_multicopy
,IDEAL domain-containing protein,IDEAL,5,4,4,4,-1,Other,shared_same
,Maltodextrin-binding protein,Maltodextrin-binding protein,3,2,2,2,-1,ABC transporter,I6_only_multicopy
ubiE,Methyltransferase domain-containing protein,ubiE,5,6,6,6,1,Metabolism,shared_same
,O-methyltransferase,O-methyltransferase,3,2,2,2,-1,Metabolism,I6_only_multicopy
,OmpR/PhoB-type domain-containing protein,OmpR/PhoB-type,3,4,4,4,1,Other,shared_same
,PTS EIIB type-2 domain-containing protein,PTS EIIB type-2,3,2,2,2,-1,Other,I6_only_multicopy
,PTS glucose transporter subunit IIA,PTS glucose transporter subunit IIA,2,3,3,3,1,Other,isolate_only_multicopy
padR,PadR family transcriptional regulator,padR,2,3,3,3,1,Regulator,isolate_only_multicopy
pucR,PucR family transcriptional regulator,pucR,3,4,4,4,1,Regulator,shared_same
,RNA polymerase sigma factor,RNA polymerase sigma factor,7,6,6,6,-1,Other,shared_same
,RNA-binding protein,RNA-binding protein,3,2,2,2,-1,ABC transporter,I6_only_multicopy
,Radical SAM protein,Radical SAM protein,2,3,3,3,1,Other,isolate_only_multicopy
,SPOR domain-containing protein,SPOR,3,2,2,2,-1,Other,I6_only_multicopy
,Sigma-70 family RNA polymerase sigma factor,Sigma-70 family RNA polymerase sigma factor,6,5,5,5,-1,Other,shared_same
,Spore coat protein,Spore coat protein,4,3,3,3,-1,Sporulation,shared_same
,Sugar ABC transporter ATP-binding protein,Sugar ABC transporter ATP-binding protein,5,4,4,4,-1,ABC transporter,shared_same
,Tetratricopeptide repeat protein,Tetratricopeptide repeat protein,4,5,5,5,1,Regulator,shared_same
,Transporter associated domain protein,Transporter associated,4,3,3,3,-1,Other,shared_same
,VCBS repeat-containing protein,VCBS repeat-containing protein,2,3,3,3,1,Other,isolate_only_multicopy
,VWA domain-containing protein,VWA,3,4,4,4,1,Other,shared_same
,WYL domain-containing protein,WYL,3,2,2,2,-1,Other,I6_only_multicopy
,Xylose isomerase-like TIM barrel domain-containing protein,Xylose isomerase-like TIM barrel,3,2,2,2,-1,Other,I6_only_multicopy
yitT,YitT family protein,yitT,3,4,4,4,1,Other,shared_same
nagZ,beta-N-acetylhexosaminidase,nagZ,3,4,4,4,1,Other,shared_same
,chitinase,chitinase,3,2,2,2,-1,Other,I6_only_multicopy
,cysteine-S-conjugate beta-lyase,cysteine-S-conjugate beta-lyase,2,3,3,3,1,Other,isolate_only_multicopy
,helix-turn-helix transcriptional regulator,helix-turn-helix transcriptional regulator,2,3,3,3,1,Regulator,isolate_only_multicopy
,non-reducing end alpha-L-arabinofuranosidase,non-reducing end alpha-L-arabinofuranosidase,2,3,3,3,1,Other,isolate_only_multicopy
norM,putative multidrug resistance protein NorM,norM,5,4,4,4,-1,Drug efflux,shared_same
,serine-type D-Ala-D-Ala carboxypeptidase,serine-type D-Ala-D-Ala carboxypeptidase,3,2,2,2,-1,Other,I6_only_multicopy
,"ABC transporter, permease protein","ABC transporter, permease protein",3,3,3,3,0,ABC transporter,shared_same
,ABC-2 type transporter transmembrane domain-containing protein,ABC-2 type transporter transmembrane,3,3,3,3,0,Other,shared_same
,Beta-xylanase,Beta-xylanase,4,4,4,4,0,Other,shared_same
,Binding-protein-dependent transport systems inner membrane component,Binding-protein-dependent transport systems inner ,3,3,3,3,0,Other,shared_same
,CBS domain-containing protein,CBS,3,3,3,3,0,Other,shared_same
,Cellobiose phosphorylase,Cellobiose phosphorylase,3,3,3,3,0,Other,shared_same
cheA,Chemotaxis protein CheA,cheA,3,3,3,3,0,Motility,shared_same
,DNA-binding protein,DNA-binding protein,3,3,3,3,0,ABC transporter,shared_same
,DUF5643 domain-containing protein,DUF5643,3,3,3,3,0,DUF/domain,shared_same
,DUF58 domain-containing protein,DUF58,4,4,4,4,0,DUF/domain,shared_same
,Efflux RND transporter periplasmic adaptor subunit,Efflux RND transporter periplasmic adaptor subunit,4,4,4,4,0,Drug efflux,shared_same
,Endospore germination permease,Endospore germination permease,3,3,3,3,0,ABC transporter,shared_same
,Glycoside hydrolase family 2,Glycoside hydrolase family 2,3,3,3,3,0,Metabolism,shared_same
,Glycosyl hydrolase,Glycosyl hydrolase,6,6,6,6,0,Metabolism,shared_same
gntR,GntR family transcriptional regulator,gntR,3,3,3,3,0,Regulator,shared_same
,Gp5/Type VI secretion system Vgr protein OB-fold domain-containing protein,Gp5/Type VI secretion system Vgr protein OB-fold,4,4,4,4,0,Other,shared_same
,Permease IIC component,Permease IIC component,3,3,3,3,0,ABC transporter,shared_same
,Phage tail protein,Phage tail protein,5,5,5,5,0,Phage,shared_same
,Phosphoenolpyruvate-protein phosphotransferase,Phosphoenolpyruvate-protein phosphotransferase,3,3,3,3,0,Metabolism,shared_same
,Pseudouridine synthase,Pseudouridine synthase,6,6,6,6,0,Metabolism,shared_same
,SLH domain-containing protein,SLH,14,14,14,14,0,Other,shared_same
,Sensor histidine kinase,Sensor histidine kinase,3,3,3,3,0,Metabolism,shared_same
,Sucrose-6-phosphate hydrolase,Sucrose-6-phosphate hydrolase,3,3,3,3,0,Metabolism,shared_same
,beta-fructofuranosidase,beta-fructofuranosidase,3,3,3,3,0,Other,shared_same
,fructokinase,fructokinase,3,3,3,3,0,Metabolism,shared_same
,peptidoglycan glycosyltransferase,peptidoglycan glycosyltransferase,3,3,3,3,0,Metabolism,shared_same
