window,lambda_full,lambda_without,delta_lambda,role
1,5.16285648582516e-5,6.806194150599617e-5,-1.6433376647744572e-5,Stabilizing
2,0.041426609047305926,0.04487186952592536,-0.0034452604786194344,Stabilizing
3,0.1615394267022196,0.15246579204196098,0.009073634660258623,Destabilizing
4,0.16015305964316112,0.16168750646669264,-0.0015344468235315156,Stabilizing
5,0.02623624365027387,0.0013247839859396302,0.024911459664334237,Destabilizing
6,0.22909348717160957,0.21465251566627205,0.014440971505337519,Destabilizing
7,0.025057546148215756,3.9877326520408596e-4,0.02465877288301167,Destabilizing
8,0.0023718666861505676,0.0021315028718288534,2.4036381432171417e-4,Destabilizing
9,0.03624271102599802,0.0060255795830439895,0.03021713144295403,Destabilizing
10,0.00700836590472893,-0.12491513962736998,0.13192350553209892,Destabilizing
11,2.9725275640649426e-4,0.001285213825401439,-9.879610689949446e-4,Stabilizing
12,0.0037868139317573453,0.007500450409456694,-0.0037136364776993486,Stabilizing
13,6.868114131164247e-5,8.885233734378704e-5,-2.017119603214457e-5,Stabilizing
14,-0.08974244421718255,-0.07951597849581657,-0.010226465721365985,Stabilizing
15,-0.09701659684250058,-0.07150423910694184,-0.02551235773555874,Stabilizing
