window,kpca1,kpca2
1,-0.6334424708288365,0.06816565544865104
2,-0.5744545739483131,-0.009601330952285297
3,-0.33284273945693477,-0.20087085264025661
4,0.21243459293588438,-0.27422896841985256
5,0.16569714730577062,-0.08663572460451131
6,0.10500208931001315,-0.15267801956521382
7,0.1625221676658639,-0.060597617616654706
8,0.16139296792566712,-0.008106410459727296
9,0.1562736307145524,0.05465482866149527
10,0.14927503365422118,0.1057067055533349
11,0.12333874611984529,0.10073430639001404
12,0.10577251779151858,0.10011876801469279
13,0.09873559191221963,0.10761869755474913
14,0.06236040445649915,0.1204945597192074
15,0.03793489444200906,0.13522540291634327
