changepoint,frequency,score
3,56,1
8,36,0.6428571428571429
9,30,0.5357142857142857
11,21,0.375
13,21,0.375
6,16,0.2857142857142857
10,16,0.2857142857142857
7,11,0.19642857142857142
12,3,0.05357142857142857
