window,rank,R,I,C
1,1,-0.0063548344342404485,0,0.0063548344342404485
1,2,-8.673617379884035e-19,0,8.673617379884035e-19
1,3,3.0360640881776947e-19,0,3.0360640881776947e-19
1,4,-2.0460165541441263e-19,0,2.0460165541441263e-19
1,5,-2.2551526274866607e-21,0,2.2551526274866607e-21
2,1,0.003219661856553343,0,0.003219661856553343
2,2,3.100178373855571e-4,0,3.100178373855571e-4
2,3,1.1926223897340549e-18,0,1.1926223897340549e-18
2,4,-2.1008438964713505e-19,0,2.1008438964713505e-19
2,5,4.41245333231419e-21,0,4.41245333231419e-21
3,1,-0.002427522026885268,0.01438744874360306,0.014590803423417726
3,2,-0.002427522026885268,-0.01438744874360306,0.014590803423417726
3,3,-4.58631601351016e-4,0,4.58631601351016e-4
3,4,6.14577012026512e-19,0,6.14577012026512e-19
3,5,1.9491459242694205e-20,0,1.9491459242694205e-20
4,1,-0.018014939324905103,0.030860573170987775,0.035733919674755844
4,2,-0.018014939324905103,-0.030860573170987775,0.035733919674755844
4,3,-6.358727686048104e-4,0,6.358727686048104e-4
4,4,-3.207775539180234e-5,0,3.207775539180234e-5
4,5,1.936906393606408e-20,0,1.936906393606408e-20
5,1,1.7365970814461982e-4,0.05005437602487309,0.05005467727329408
5,2,1.7365970814461982e-4,-0.05005437602487309,0.05005467727329408
5,3,-0.008477162653132655,0,0.008477162653132655
5,4,4.539950404489219e-6,0,4.539950404489219e-6
5,5,-4.389608979439549e-6,0,4.389608979439549e-6
6,1,0.0020732819340884756,0.035628264312416155,0.035688537598136526
6,2,0.0020732819340884756,-0.035628264312416155,0.035688537598136526
6,3,-0.008728128243726251,0,0.008728128243726251
6,4,-7.438111772918989e-4,0,7.438111772918989e-4
6,5,-3.257489142694529e-6,0,3.257489142694529e-6
