Product,M5_copies,M6_copies,M8_copies,I6_copies,Classification,In_novel_region
S8 family serine peptidase,2,2,2,3,copy_number_variant,yes
SAF domain-containing protein,2,2,2,1,isolate_specific,yes
SAM-dependent methyltransferase,3,3,3,2,copy_number_variant,yes
SCP domain-containing protein,3,3,3,1,isolate_specific,no
SDR family NAD(P)-dependent oxidoreductase,10,10,10,17,copy_number_variant,no
SDR family oxidoreductase,7,7,7,22,copy_number_variant,no
SGNH/GDSL hydrolase family protein,1,1,1,6,I6_specific,no
SHOCT domain-containing protein,2,2,2,1,isolate_specific,yes
SIR2 family protein,1,1,1,2,I6_specific,no
SIS domain protein,7,7,7,1,isolate_specific,no
SIS domain-containing protein,1,1,1,5,I6_specific,no
SLH domain-containing protein,14,14,14,1,isolate_specific,yes
SMI1/KNR4 family protein,3,3,3,2,copy_number_variant,no
SOS response-associated peptidase,1,1,1,2,I6_specific,no
SPFH domain / Band 7 family protein,3,3,3,1,isolate_specific,no
SPFH domain-containing protein,1,1,1,4,I6_specific,no
SPOR domain-containing protein,2,2,2,1,isolate_specific,no
SRPBCC family protein,1,1,1,5,I6_specific,no
SUMF1/EgtB/PvdO family nonheme iron enzyme,2,2,2,1,isolate_specific,no
SWIM zinc finger family protein,1,1,1,2,I6_specific,no
SWIM-type domain-containing protein,2,2,2,1,isolate_specific,yes
Saccharopine dehydrogenase family protein,2,2,2,1,isolate_specific,no
Sec-independent protein translocase protein TatA,2,2,2,1,isolate_specific,no
Secreted protein,2,2,2,1,isolate_specific,no
Sensor histidine kinase,3,3,3,1,isolate_specific,no
Sensory box protein,2,2,2,1,isolate_specific,no
Short chain dehydrogenase family protein,14,14,14,1,isolate_specific,yes
Sigma-70 family RNA polymerase sigma factor,5,5,5,1,isolate_specific,yes
"Sigma-70, region 4 family protein",4,4,4,1,isolate_specific,yes
Small Multidrug Resistance family protein,2,2,2,1,isolate_specific,no
"Small, acid-soluble spore protein C",2,2,2,1,isolate_specific,no
"Small, acid-soluble spore protein, alpha/beta type",2,2,2,1,isolate_specific,no
Sodium/calcium exchanger family protein,2,2,2,1,isolate_specific,no
Sodium:proton antiporter,2,2,2,1,isolate_specific,no
Sorbitol dehydrogenase,2,2,2,1,isolate_specific,no
Sortase,2,2,2,1,isolate_specific,no
Spo0E family sporulation regulatory protein-aspartic acid phosphatase,2,2,2,1,isolate_specific,no
Spo0E like sporulation regulatory family protein,4,4,4,1,isolate_specific,yes
Spore coat protein,3,3,3,1,isolate_specific,no
Spore germination GerAC-like C-terminal domain-containing protein,2,2,2,1,isolate_specific,yes
Spore germination family protein,7,7,7,1,isolate_specific,no
Spore germination gerPA/gerPF family protein,3,3,3,1,isolate_specific,no
Spore germination protein,4,4,4,1,isolate_specific,no
Spore germination protein KA,2,2,2,1,isolate_specific,yes
Stage VI sporulation protein F,2,2,2,1,isolate_specific,no
Stress responsive A/B Barrel domain protein,2,2,2,1,isolate_specific,no
Sucrose-6-phosphate hydrolase,3,3,3,1,isolate_specific,no
Sugar (And other) transporter family protein,14,14,14,1,isolate_specific,yes
Sugar (Glycoside-Pentoside-Hexuronide) transporter domain protein,2,2,2,1,isolate_specific,yes
Sugar ABC transporter ATP-binding protein,4,4,4,1,isolate_specific,yes
Sugar ABC transporter permease,3,3,3,1,isolate_specific,no
Sugar ABC transporter substrate-binding protein,2,2,2,1,isolate_specific,no
SulP family inorganic anion transporter,1,1,1,2,I6_specific,no
Sulfatase-like hydrolase/transferase,10,10,10,1,isolate_specific,no
Sulfatase-modifying factor enzyme 1 family protein,2,2,2,1,isolate_specific,yes
Sulfate adenylyltransferase,2,2,2,1,isolate_specific,no
Superoxide dismutase,2,2,2,1,isolate_specific,no
TIGR01777 family oxidoreductase,1,1,1,2,I6_specific,no
TIM barrel protein,6,6,6,1,isolate_specific,yes
TIM-barrel domain-containing protein,1,1,1,3,I6_specific,no
TM2 domain-containing protein,1,1,1,2,I6_specific,no
TVP38/TMEM64 family membrane protein,2,2,2,1,isolate_specific,no
TVP38/TMEM64 family protein,1,1,1,2,I6_specific,no
TadE/TadG family type IV pilus assembly protein,1,1,1,2,I6_specific,no
TatD family hydrolase,1,1,1,3,I6_specific,no
TerC family protein,1,1,1,4,I6_specific,no
TetR family transcriptional regulator,10,10,10,2,copy_number_variant,yes
TetR/AcrR family transcriptional regulator,4,4,4,44,copy_number_variant,yes
Tetratricopeptide repeat family protein,6,6,6,1,isolate_specific,no
Tetratricopeptide repeat protein,5,5,5,1,isolate_specific,no
Thermostable beta-glucosidase B,2,2,2,1,isolate_specific,no
ThiF family protein,3,3,3,1,isolate_specific,no
Thiamine-binding protein domain-containing protein,2,2,2,1,isolate_specific,no
Thioredoxin,2,2,2,1,isolate_specific,no
Thioredoxin domain-containing protein,2,2,2,1,isolate_specific,no
ThuA domain-containing protein,1,1,1,2,I6_specific,no
TlpA family protein disulfide reductase,1,1,1,2,I6_specific,no
Transcriptional regulator,18,18,18,1,isolate_specific,yes
Transcriptional regulator PadR-like family protein,4,4,4,1,isolate_specific,yes
Transcriptional regulator family protein,2,2,2,1,isolate_specific,no
Transglutaminase-like superfamily protein,3,3,3,1,isolate_specific,no
Transglycosylase SLT domain protein,2,2,2,1,isolate_specific,no
Transport permease protein,2,2,2,1,isolate_specific,yes
Transporter,4,4,4,1,isolate_specific,no
Transporter associated domain protein,3,3,3,1,isolate_specific,no
Transposase,12,12,12,1,isolate_specific,yes
Transposase DDE domain protein,2,2,2,1,isolate_specific,no
Transposase family protein,2,2,2,1,isolate_specific,yes
Transposase zinc-ribbon domain-containing protein,35,35,35,1,isolate_specific,no
TrbL/VirB6 plasmid conjugal transfer protein,2,2,2,1,isolate_specific,yes
TrkA-N domain protein,2,2,2,1,isolate_specific,no
TrkH family potassium uptake protein,1,1,1,2,I6_specific,no
Type I phosphodiesterase / nucleotide pyrophosphatase family protein,3,3,3,1,isolate_specific,no
"Type II secretion system (T2SS), F family protein",2,2,2,1,isolate_specific,no
Type II secretion system protein GspF domain-containing protein,2,2,2,1,isolate_specific,yes
Type II/IV secretion system family protein,2,2,2,1,isolate_specific,no
Type IV leader peptidase family protein,2,2,2,1,isolate_specific,no
Tyrosine protein kinase,2,2,2,1,isolate_specific,no
UDP-N-acetylglucosamine 1-carboxyvinyltransferase,3,3,3,3,ancestral,no
UDP-N-acetylglucosamine--LPS N-acetylglucosamine transferase,1,1,1,2,I6_specific,no
UDP-N-acetylmuramate dehydrogenase,2,2,2,2,ancestral,no
UTRA domain protein,4,4,4,1,isolate_specific,no
UbiA-like polyprenyltransferase,1,1,1,2,I6_specific,no
Universal stress family protein,2,2,2,1,isolate_specific,no
Unsaturated rhamnogalacturonyl hydrolase yteR,2,2,2,1,isolate_specific,no
UxaA family hydrolase,1,1,1,2,I6_specific,no
VCBS repeat-containing protein,3,3,3,1,isolate_specific,no
VOC domain-containing protein,3,3,3,1,isolate_specific,yes
VOC family protein,1,1,1,18,I6_specific,no
VWA domain-containing protein,4,4,4,3,copy_number_variant,no
VanW family protein,1,1,1,2,I6_specific,no
VanW like family protein,2,2,2,1,isolate_specific,no
VanZ family protein,1,1,1,5,I6_specific,no
VanZ like family protein,3,3,3,1,isolate_specific,no
"VirB4-like conjugal transfer ATPase, CD1110 family",2,2,2,1,isolate_specific,yes
"VirD4-like conjugal transfer protein, CD1115 family",3,3,3,1,isolate_specific,yes
WG repeat-containing protein,1,1,1,3,I6_specific,no
WXG100 family type VII secretion target,1,1,1,3,I6_specific,no
WYL domain protein,3,3,3,1,isolate_specific,no
WYL domain-containing protein,2,2,2,1,isolate_specific,yes
XRE family transcriptional regulator,5,5,5,1,isolate_specific,yes
XkdQ/YqbQ family protein,1,1,1,3,I6_specific,no
"Xylan alpha-1,2-glucuronidase",2,2,2,1,isolate_specific,no
"Xylan beta-1,4-xylosidase",3,3,3,1,isolate_specific,yes
Xylose isomerase-like TIM barrel domain-containing protein,2,2,2,1,isolate_specific,no
Xylose isomerase-like TIM barrel family protein,5,5,5,1,isolate_specific,no
YcdB/YcdC domain-containing protein,1,1,1,2,I6_specific,no
YcdB/YcdC repeated domain-containing protein,2,2,2,1,isolate_specific,no
YciI family protein,1,1,1,2,I6_specific,no
YdeI/OmpD-associated family protein,1,1,1,2,I6_specific,no
YdjC-like family protein,2,2,2,1,isolate_specific,yes
YfhD family protein,4,4,4,1,isolate_specific,no
YfhO family protein,2,2,2,1,isolate_specific,yes
YgiT-type zinc finger domain protein,2,2,2,1,isolate_specific,no
YhcN/YlaJ family sporulation lipoprotein,1,1,1,2,I6_specific,no
YheC/D like ATP-grasp family protein,3,3,3,1,isolate_specific,no
YheC/YheD family protein,5,5,5,9,copy_number_variant,no
YhgE/Pip domain-containing protein,1,1,1,2,I6_specific,no
YitT family protein,4,4,4,11,copy_number_variant,no
YlbF family regulator,1,1,1,2,I6_specific,no
YutG/PgpA domain-containing protein,2,2,2,1,isolate_specific,no
YvrJ family protein,2,2,2,1,isolate_specific,no
Zinc ribbon domain-containing protein,2,2,2,1,isolate_specific,no
Zinc-binding dehydrogenase,2,2,2,1,isolate_specific,no
Zinc-ribbon domain protein,3,3,3,1,isolate_specific,no
acetate/propionate family kinase,1,1,1,2,I6_specific,no
acetyl-CoA C-acetyltransferase,2,2,2,2,ancestral,no
acetylxylan esterase,1,1,1,2,I6_specific,no
acyl carrier protein,1,1,1,2,I6_specific,no
acyltransferase,1,1,1,4,I6_specific,no
acyltransferase family protein,1,1,1,3,I6_specific,no
adenosylmethionine decarboxylase,2,2,2,2,ancestral,no
adenylosuccinate lyase,2,2,2,2,ancestral,no
alanine racemase,2,2,2,2,ancestral,no
aldo/keto reductase,1,1,1,14,I6_specific,no
aldose 1-epimerase,1,1,1,2,I6_specific,no
alkaline phosphatase,1,1,1,2,I6_specific,no
alkaline phosphatase family protein,1,1,1,2,I6_specific,no
alpha-L-rhamnosidase,1,1,1,2,I6_specific,no
alpha-L-rhamnosidase C-terminal domain-containing protein,1,1,1,2,I6_specific,no
alpha-N-arabinofuranosidase,1,1,1,2,I6_specific,no
alpha-amylase family glycosyl hydrolase,1,1,1,2,I6_specific,no
alpha-galactosidase,1,1,1,3,I6_specific,no
alpha-glucuronidase family glycosyl hydrolase,1,1,1,2,I6_specific,no
alpha-glycosidase,1,1,1,2,I6_specific,no
alpha-ketoacid dehydrogenase subunit beta,1,1,1,2,I6_specific,no
alpha-mannosidase,1,1,1,4,I6_specific,no
alpha/beta fold hydrolase,1,1,1,7,I6_specific,no
alpha/beta hydrolase,1,1,1,10,I6_specific,no
alpha/beta hydrolase family protein,1,1,1,4,I6_specific,no
alpha/beta-type small acid-soluble spore protein,1,1,1,3,I6_specific,no
amidase family protein,1,1,1,2,I6_specific,no
amidohydrolase,1,1,1,5,I6_specific,no
amidohydrolase family protein,1,1,1,6,I6_specific,no
amino acid ABC transporter ATP-binding protein,1,1,1,5,I6_specific,no
amino acid ABC transporter permease,1,1,1,7,I6_specific,no
amino acid ABC transporter substrate-binding protein,1,1,1,2,I6_specific,no
amino acid permease,1,1,1,6,I6_specific,no
aminoglycoside 6-adenylyltransferase,1,1,1,2,I6_specific,no
aminopeptidase,1,1,1,4,I6_specific,no
aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme,1,1,1,6,I6_specific,no
aminotransferase class V-fold PLP-dependent enzyme,1,1,1,3,I6_specific,no
amylo-alpha-1%2C6-glucosidase,1,1,1,2,I6_specific,no
anaerobic ribonucleoside-triphosphate reductase activating protein,2,2,2,2,ancestral,no
ankyrin repeat domain-containing protein,1,1,1,3,I6_specific,no
anthranilate phosphoribosyltransferase,1,1,1,2,I6_specific,no
antiterminator LoaP,2,2,2,1,isolate_specific,no
arginine--tRNA ligase,2,2,2,2,ancestral,no
asparaginase,1,1,1,3,I6_specific,no
asparagine synthase (glutamine-hydrolyzing),2,2,2,2,ancestral,no
aspartate kinase,2,2,2,2,ancestral,no
aspartyl protease family protein,1,1,1,2,I6_specific,no
aspartyl-phosphate phosphatase Spo0E family protein,1,1,1,6,I6_specific,no
bactofilin family protein,1,1,1,2,I6_specific,no
baseplate J/gp47 family protein,1,1,1,3,I6_specific,no
beta-L-arabinofuranosidase domain-containing protein,1,1,1,2,I6_specific,no
beta-N-acetylhexosaminidase,4,4,4,3,copy_number_variant,no
beta-fructofuranosidase,3,3,3,1,isolate_specific,no
beta-galactosidase,1,1,1,5,I6_specific,no
beta-glucosidase,1,1,1,3,I6_specific,no
beta-glucosidase BglX,2,2,2,2,ancestral,no
beta-glucosidase family protein,1,1,1,2,I6_specific,no
beta-glucoside-specific PTS transporter subunit IIABC,1,1,1,6,I6_specific,no
beta-glucuronidase,2,2,2,2,ancestral,no
beta-ketoacyl-ACP synthase II,2,2,2,2,ancestral,no
beta-ketoacyl-ACP synthase III,1,1,1,2,I6_specific,no
beta-mannosidase,1,1,1,2,I6_specific,no
beta-phosphoglucomutase,6,6,6,6,ancestral,no
bifunctional 2-keto-4-hydroxyglutarate aldolase/2-keto-3-deoxy-6-phosphogluconate aldolase,1,1,1,2,I6_specific,no
bifunctional 3-deoxy-7-phosphoheptulonate synthase/chorismate mutase,2,2,2,1,isolate_specific,no
bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase,1,1,1,2,I6_specific,no
bifunctional metallophosphatase/5'-nucleotidase,1,1,1,2,I6_specific,no
bifunctional transcriptional activator/DNA repair enzyme AdaA,1,1,1,2,I6_specific,no
biosynthetic-type acetolactate synthase large subunit,2,2,2,2,ancestral,no
branched-chain amino acid ABC transporter permease,1,1,1,2,I6_specific,no
cache domain-containing sensor histidine kinase,1,1,1,22,I6_specific,no
carbohydrate ABC transporter permease,1,1,1,147,I6_specific,no
carbohydrate kinase family protein,1,1,1,3,I6_specific,no
carbohydrate-binding protein,1,1,1,3,I6_specific,no
carboxymuconolactone decarboxylase family protein,1,1,1,3,I6_specific,no
cardiolipin synthase,2,2,2,2,ancestral,no
cation diffusion facilitator family transporter,1,1,1,3,I6_specific,no
cation:proton antiporter,1,1,1,2,I6_specific,no
cell wall-active antibiotics response protein LiaF,1,1,1,2,I6_specific,no
cellulase family glycosylhydrolase,1,1,1,2,I6_specific,no
chemotaxis protein CheA,1,1,1,3,I6_specific,no
chemotaxis protein CheW,1,1,1,3,I6_specific,no
chitinase,2,2,2,1,isolate_specific,no
chromate transporter,1,1,1,2,I6_specific,no
class B sortase,1,1,1,2,I6_specific,no
class I SAM-dependent methyltransferase,2,2,2,23,copy_number_variant,no
class II fructose-1%2C6-bisphosphate aldolase,1,1,1,2,I6_specific,no
"class II fructose-1,6-bisphosphate aldolase",3,3,3,1,isolate_specific,no
class II fructose-bisphosphatase,2,2,2,2,ancestral,no
class II fructose-bisphosphate aldolase,1,1,1,2,I6_specific,no
cold-shock protein,1,1,1,4,I6_specific,no
collagen binding domain-containing protein,1,1,1,2,I6_specific,no
contractile injection system protein%2C VgrG/Pvc8 family,1,1,1,2,I6_specific,no
copper amine oxidase N-terminal domain-containing protein,2,2,2,13,copy_number_variant,no
cupin domain-containing protein,1,1,1,5,I6_specific,no
cysteine desulfurase,2,2,2,1,isolate_specific,no
cysteine desulfurase family protein,1,1,1,2,I6_specific,no
cysteine hydrolase family protein,1,1,1,5,I6_specific,no
cysteine synthase A,2,2,2,2,ancestral,no
cysteine-S-conjugate beta-lyase,3,3,3,1,isolate_specific,no
cytochrome d ubiquinol oxidase subunit II,1,1,1,2,I6_specific,no
cytochrome ubiquinol oxidase subunit I,1,1,1,2,I6_specific,no
dTDP-4-dehydrorhamnose reductase,2,2,2,1,isolate_specific,no
dTDP-glucose 4%2C6-dehydratase,1,1,1,2,I6_specific,no
dTMP kinase,2,2,2,3,copy_number_variant,no
deoxynucleoside kinase,1,1,1,2,I6_specific,no
deoxyribonuclease IV,1,1,1,2,I6_specific,no
dihydrodipicolinate synthase family protein,1,1,1,4,I6_specific,no
dihydrolipoamide acetyltransferase family protein,1,1,1,2,I6_specific,no
dihydrolipoyl dehydrogenase,2,2,2,2,ancestral,no
dihydroorotase,1,1,1,2,I6_specific,no
dihydroxyacetone kinase subunit DhaK,2,2,2,3,copy_number_variant,no
dipeptidase,1,1,1,2,I6_specific,no
discoidin domain-containing protein,1,1,1,4,I6_specific,no
efflux RND transporter periplasmic adaptor subunit,1,1,1,6,I6_specific,no
efflux RND transporter permease subunit,1,1,1,2,I6_specific,no
endo-1%2C4-beta-xylanase,1,1,1,4,I6_specific,no
endolytic transglycosylase MltG,1,1,1,2,I6_specific,no
endonuclease MutS2,2,2,2,2,ancestral,no
energy-coupling factor transporter transmembrane component T family protein,1,1,1,3,I6_specific,no
erythromycin esterase family protein,1,1,1,2,I6_specific,no
excinuclease ABC subunit UvrA,2,2,2,1,isolate_specific,no
extracellular solute-binding protein,1,1,1,27,I6_specific,no
family 1 glycosylhydrolase,1,1,1,2,I6_specific,no
family 43 glycosylhydrolase,1,1,1,4,I6_specific,no
fibronectin type III domain-containing protein,1,1,1,2,I6_specific,no
flagellar brake protein,1,1,1,2,I6_specific,no
flagellar hook-basal body protein,1,1,1,2,I6_specific,no
flagellar hook-length control protein FliK,1,1,1,2,I6_specific,no
flagellar motor protein MotB,1,1,1,2,I6_specific,no
flagellin,1,1,1,2,I6_specific,no
flavocytochrome c,1,1,1,2,I6_specific,no
fluoride efflux transporter CrcB,2,2,2,2,ancestral,no
formate/nitrite transporter family protein,1,1,1,4,I6_specific,no
formylglycine-generating enzyme family protein,1,1,1,2,I6_specific,no
fructokinase,3,3,3,1,isolate_specific,no
fructoselysine 6-kinase,1,1,1,3,I6_specific,no
fumarylacetoacetate hydrolase family protein,1,1,1,2,I6_specific,no
gluconate:H+ symporter,1,1,1,2,I6_specific,no
glucose-1-phosphate thymidylyltransferase,2,2,2,1,isolate_specific,yes
glucose-1-phosphate thymidylyltransferase RfbA,1,1,1,2,I6_specific,no
glucose-6-phosphate dehydrogenase,2,2,2,2,ancestral,no
glucuronate isomerase,2,2,2,2,ancestral,no
glutamate racemase,2,2,2,2,ancestral,no
glutamate-1-semialdehyde 2%2C1-aminomutase,1,1,1,3,I6_specific,no
"glutamate-1-semialdehyde 2,1-aminomutase",2,2,2,1,isolate_specific,no
glutathione peroxidase,1,1,1,3,I6_specific,no
glycerate kinase,1,1,1,2,I6_specific,no
glycerol dehydrogenase,1,1,1,2,I6_specific,no
glycerol kinase GlpK,2,2,2,2,ancestral,no
glycerol-3-phosphate responsive antiterminator,1,1,1,2,I6_specific,no
glycerophosphodiester phosphodiesterase,1,1,1,2,I6_specific,no
glycerophosphodiester phosphodiesterase family protein,1,1,1,3,I6_specific,no
glycoside hydrolase 43 family protein,1,1,1,2,I6_specific,no
glycoside hydrolase family 1 protein,1,1,1,8,I6_specific,no
glycoside hydrolase family 125 protein,1,1,1,2,I6_specific,no
glycoside hydrolase family 13 protein,1,1,1,4,I6_specific,no
glycoside hydrolase family 130 protein,1,1,1,5,I6_specific,no
glycoside hydrolase family 172 protein,1,1,1,2,I6_specific,no
glycoside hydrolase family 2 TIM barrel-domain containing protein,1,1,1,2,I6_specific,no
glycoside hydrolase family 2 protein,1,1,1,5,I6_specific,no
glycoside hydrolase family 28 protein,1,1,1,2,I6_specific,no
glycoside hydrolase family 3 C-terminal domain-containing protein,1,1,1,3,I6_specific,no
glycoside hydrolase family 3 protein,1,1,1,3,I6_specific,no
glycoside hydrolase family 30 beta sandwich domain-containing protein,1,1,1,2,I6_specific,no
glycoside hydrolase family 30 protein,1,1,1,2,I6_specific,no
glycoside hydrolase family 32 protein,1,1,1,6,I6_specific,no
glycoside hydrolase family 43 protein,1,1,1,4,I6_specific,no
glycoside hydrolase family 6 protein,1,1,1,2,I6_specific,no
glycoside hydrolase family 65 protein,1,1,1,5,I6_specific,no
glycoside hydrolase family 88 protein,1,1,1,2,I6_specific,no
glycoside hydrolase family 88/105 protein,1,1,1,6,I6_specific,no
glycoside hydrolase family 9 protein,1,1,1,3,I6_specific,no
glycosyl hydrolase,1,1,1,4,I6_specific,no
glycosyl hydrolase family 18 protein,2,2,2,4,copy_number_variant,no
glycosyl hydrolase family 8,1,1,1,2,I6_specific,no
glycosyltransferase,1,1,1,21,I6_specific,no
glycosyltransferase family 2 protein,1,1,1,22,I6_specific,no
glycosyltransferase family 4 protein,1,1,1,13,I6_specific,no
guanylate kinase,3,3,3,3,ancestral,no
heavy metal translocating P-type ATPase,1,1,1,3,I6_specific,no
helix-turn-helix domain-containing protein,5,5,5,71,copy_number_variant,yes
helix-turn-helix transcriptional regulator,3,3,3,36,copy_number_variant,no
heme ABC exporter ATP-binding protein CcmA,3,3,3,1,isolate_specific,yes
hemolysin family protein,1,1,1,5,I6_specific,no
histidine kinase,75,75,75,1,isolate_specific,yes
histidine phosphatase family protein,1,1,1,3,I6_specific,no
hydantoinase B/oxoprolinase family protein,1,1,1,3,I6_specific,no
hydantoinase/oxoprolinase family protein,1,1,1,3,I6_specific,no
imm11 family protein,1,1,1,2,I6_specific,no
inositol monophosphatase family protein,1,1,1,2,I6_specific,no
iron-containing alcohol dehydrogenase,1,1,1,2,I6_specific,no
iron-hydroxamate ABC transporter substrate-binding protein,1,1,1,3,I6_specific,no
iron-sulfur cluster biosynthesis family protein,1,1,1,2,I6_specific,no
ketoacyl-ACP synthase III,1,1,1,2,I6_specific,no
ketopantoate reductase family protein,1,1,1,3,I6_specific,no
lactonase family protein,1,1,1,2,I6_specific,no
lytic transglycosylase domain-containing protein,1,1,1,2,I6_specific,no
macrolide family glycosyltransferase,1,1,1,2,I6_specific,no
magnesium/cobalt transporter CorA,2,2,2,2,ancestral,no
mannonate dehydratase,2,2,2,2,ancestral,no
mechanosensitive ion channel family protein,1,1,1,2,I6_specific,no
metal ABC transporter ATP-binding protein,1,1,1,3,I6_specific,no
metal ABC transporter permease,1,1,1,4,I6_specific,no
metal ABC transporter substrate-binding protein,1,1,1,2,I6_specific,no
metal-dependent hydrolase,1,1,1,2,I6_specific,no
metallophosphoesterase,1,1,1,3,I6_specific,no
metallophosphoesterase family protein,1,1,1,2,I6_specific,no
methionine ABC transporter ATP-binding protein,1,1,1,4,I6_specific,no
methionine ABC transporter permease,1,1,1,4,I6_specific,no
methionine--tRNA ligase,1,1,1,2,I6_specific,no
methyl-accepting chemotaxis protein,2,2,2,18,copy_number_variant,yes
molecular chaperone DnaJ,1,1,1,2,I6_specific,no
nickel ABC transporter permease,2,2,2,1,isolate_specific,yes
nickel ABC transporter substrate-binding protein,2,2,2,1,isolate_specific,yes
nickel transporter permease,2,2,2,1,isolate_specific,yes
nitrate reductase molybdenum cofactor assembly chaperone,2,2,2,2,ancestral,no
nitrate reductase subunit alpha,2,2,2,2,ancestral,no
nitrate reductase subunit beta,2,2,2,2,ancestral,no
nitrate/nitrite transporter,1,1,1,2,I6_specific,no
nitrite reductase large subunit NirB,1,1,1,2,I6_specific,no
nitrite reductase small subunit NirD,1,1,1,2,I6_specific,no
nitroreductase family protein,1,1,1,7,I6_specific,no
non-hydrolyzing UDP-N-acetylglucosamine 2-epimerase,2,2,2,2,ancestral,no
non-reducing end alpha-L-arabinofuranosidase,3,3,3,1,isolate_specific,no
nuclear transport factor 2 family protein,1,1,1,4,I6_specific,no
nucleoside recognition domain-containing protein,1,1,1,2,I6_specific,no
nucleotide pyrophosphohydrolase,1,1,1,3,I6_specific,no
nucleotide sugar dehydrogenase,1,1,1,4,I6_specific,no
nucleotidyltransferase domain-containing protein,1,1,1,3,I6_specific,no
nucleotidyltransferase family protein,1,1,1,5,I6_specific,no
"oligo-1,6-glucosidase",3,3,3,1,isolate_specific,no
oligopeptide ABC transporter permease,2,2,2,1,isolate_specific,no
oligoribonuclease,2,2,2,1,isolate_specific,no
ornithine carbamoyltransferase,2,2,2,2,ancestral,no
pPIWI-RE three-gene island domain-containing protein,2,2,2,1,isolate_specific,yes
patatin-like phospholipase family protein,1,1,1,3,I6_specific,no
pectate lyase,1,1,1,3,I6_specific,no
penicillin-binding protein 1A,1,1,1,2,I6_specific,no
penicillin-binding transpeptidase domain-containing protein,1,1,1,2,I6_specific,no
pentapeptide repeat-containing protein,1,1,1,8,I6_specific,no
peptidase U32 family protein,1,1,1,4,I6_specific,no
peptide ABC transporter substrate-binding protein,1,1,1,2,I6_specific,no
peptide chain release factor 2,1,1,1,2,I6_specific,no
peptide deformylase,2,2,2,2,ancestral,no
peptidoglycan D%2CD-transpeptidase FtsI family protein,1,1,1,3,I6_specific,no
peptidoglycan glycosyltransferase,3,3,3,1,isolate_specific,no
peptidoglycan-binding domain-containing protein,1,1,1,3,I6_specific,no
peptidylprolyl isomerase,1,1,1,3,I6_specific,no
permease,1,1,1,2,I6_specific,no
phage baseplate assembly protein V,1,1,1,3,I6_specific,no
phage tail assembly chaperone,1,1,1,3,I6_specific,no
phage tail protein,2,2,2,5,copy_number_variant,no
phage tail sheath family protein,1,1,1,2,I6_specific,no
phage tail tube protein,1,1,1,2,I6_specific,no
phosphatase PAP2 family protein,1,1,1,3,I6_specific,no
phosphate ABC transporter ATP-binding protein PstB,2,2,2,2,ancestral,no
phosphate propanoyltransferase,1,1,1,2,I6_specific,no
phosphatidate cytidylyltransferase,1,1,1,2,I6_specific,no
phosphatidylglycerophosphatase A,1,1,1,2,I6_specific,no
phosphodiester glycosidase family protein,1,1,1,6,I6_specific,no
phosphoenolpyruvate--protein phosphotransferase,1,1,1,3,I6_specific,no
phosphoglycerate dehydrogenase,1,1,1,2,I6_specific,no
phosphonate ABC transporter ATP-binding protein,1,1,1,2,I6_specific,no
phosphonate ABC transporter%2C permease protein PhnE,1,1,1,2,I6_specific,no
"phosphonate ABC transporter, permease protein PhnE",2,2,2,1,isolate_specific,no
phosphotransferase,1,1,1,5,I6_specific,no
phytoene desaturase family protein,1,1,1,2,I6_specific,no
polyprenyl synthetase family protein,1,1,1,4,I6_specific,no
polysaccharide biosynthesis protein,1,1,1,3,I6_specific,no
polysaccharide deacetylase,1,1,1,2,I6_specific,no
polysaccharide deacetylase family protein,1,1,1,16,I6_specific,no
polysaccharide deacetylase family sporulation protein PdaB,2,2,2,1,isolate_specific,no
potassium channel family protein,1,1,1,2,I6_specific,no
prepilin peptidase,1,1,1,2,I6_specific,no
primosomal protein DnaI,2,2,2,1,isolate_specific,yes
proline racemase family protein,1,1,1,2,I6_specific,no
proline--tRNA ligase,2,2,2,2,ancestral,no
protein-glutamate O-methyltransferase,2,2,2,1,isolate_specific,no
protein-glutamate methylesterase/protein-glutamine glutaminase,1,1,1,2,I6_specific,no
protoporphyrinogen oxidase,2,2,2,2,ancestral,no
pseudouridine synthase,1,1,1,2,I6_specific,no
purine-nucleoside phosphorylase,2,2,2,2,ancestral,no
purine/pyrimidine permease,1,1,1,2,I6_specific,no
putative bifunctional diguanylate cyclase/phosphodiesterase,1,1,1,2,I6_specific,no
putative holin-like toxin,1,1,1,5,I6_specific,no
putative multidrug resistance protein NorM,4,4,4,1,isolate_specific,yes
putative phage tail protein,1,1,1,2,I6_specific,no
putative quinol monooxygenase,1,1,1,2,I6_specific,no
pyridoxal phosphate-dependent aminotransferase,1,1,1,2,I6_specific,no
pyridoxamine 5'-phosphate oxidase family protein,1,1,1,5,I6_specific,no
pyrroline-5-carboxylate reductase,1,1,1,2,I6_specific,no
pyruvate kinase,2,2,2,3,copy_number_variant,no
radical SAM protein,1,1,1,3,I6_specific,no
radical SAM/SPASM domain-containing protein,1,1,1,6,I6_specific,no
respiratory nitrate reductase subunit gamma,2,2,2,2,ancestral,no
response regulator,1,1,1,32,I6_specific,no
response regulator transcription factor,1,1,1,66,I6_specific,no
restriction endonuclease subunit S,2,2,2,1,isolate_specific,yes
retron-type reverse transcriptase,2,2,2,1,isolate_specific,no
rhamnulokinase,1,1,1,2,I6_specific,no
