window,rank,R,I,C
1,1,-0.03350453045143933,0,0.03350453045143933
1,2,-3.469446951953614e-18,0,3.469446951953614e-18
1,3,4.3313451979757755e-19,0,4.3313451979757755e-19
1,4,3.06375667238472e-20,0,3.06375667238472e-20
2,1,-0.04995347734104055,0,0.04995347734104055
2,2,-7.448933745743626e-4,0,7.448933745743626e-4
2,3,3.2561081496535454e-18,0,3.2561081496535454e-18
2,4,-6.24910078145405e-20,0,6.24910078145405e-20
3,1,-0.03397700244871419,0,0.03397700244871419
3,2,-0.004753051830416424,0,0.004753051830416424
3,3,-1.0776093239753186e-4,0,1.0776093239753186e-4
3,4,-7.292679128736201e-20,0,7.292679128736201e-20
4,1,-0.0308360724708216,0,0.0308360724708216
4,2,-0.008515231568310976,0,0.008515231568310976
4,3,5.954625053961688e-4,0,5.954625053961688e-4
4,4,2.953495864950643e-6,0,2.953495864950643e-6
5,1,-0.017827569657372977,0,0.017827569657372977
5,2,-3.2143524141963115e-4,0.0035774759993114215,0.0035918874063750592
5,3,-3.2143524141963115e-4,-0.0035774759993114215,0.0035918874063750592
5,4,-2.2155973839604145e-5,0,2.2155973839604145e-5
6,1,-0.010205228621469234,0.01939498903383627,0.021916028172072693
6,2,-0.010205228621469234,-0.01939498903383627,0.021916028172072693
6,3,-0.0037235592621907604,0,0.0037235592621907604
6,4,-9.39038198087794e-6,0,9.39038198087794e-6
7,1,-0.010285552693523315,0.01283877796535398,0.01645073900634569
7,2,-0.010285552693523315,-0.01283877796535398,0.01645073900634569
7,3,-0.007336167663401035,0,0.007336167663401035
7,4,-1.533577030301922e-5,0,1.533577030301922e-5
