series1,series2,dist,pair_id
C2,C1,0.5037395554749681,C2_C1
C3,C1,0.5037395554749681,C3_C1
C4,C1,0.5983615582730761,C4_C1
C5,C1,0.5037395554749681,C5_C1
Enterobacteriaceae,C1,0.5983615582730761,Enterobacteriaceae_C1
Muribaculaceae,C1,0.5983615582730761,Muribaculaceae_C1
Paenibacillaceae,C1,0.29609850497441237,Paenibacillaceae_C1
C3,C2,0.16759329035622822,C3_C2
C4,C2,0.5983615582730761,C4_C2
C5,C2,0.1458252864616011,C5_C2
Enterobacteriaceae,C2,0.5983615582730761,Enterobacteriaceae_C2
Muribaculaceae,C2,0.5983615582730761,Muribaculaceae_C2
Paenibacillaceae,C2,0.5037395554749681,Paenibacillaceae_C2
C4,C3,0.5983615582730761,C4_C3
C5,C3,0.16759329035622822,C5_C3
Enterobacteriaceae,C3,0.5983615582730761,Enterobacteriaceae_C3
Muribaculaceae,C3,0.5983615582730761,Muribaculaceae_C3
Paenibacillaceae,C3,0.5037395554749681,Paenibacillaceae_C3
C5,C4,0.5983615582730761,C5_C4
Enterobacteriaceae,C4,0.37672945547893005,Enterobacteriaceae_C4
Muribaculaceae,C4,0.2587379357538704,Muribaculaceae_C4
Paenibacillaceae,C4,0.5983615582730761,Paenibacillaceae_C4
Enterobacteriaceae,C5,0.5983615582730761,Enterobacteriaceae_C5
Muribaculaceae,C5,0.5983615582730761,Muribaculaceae_C5
Paenibacillaceae,C5,0.5037395554749681,Paenibacillaceae_C5
Muribaculaceae,Enterobacteriaceae,0.37672945547893005,Muribaculaceae_Enterobacteriaceae
Paenibacillaceae,Enterobacteriaceae,0.5983615582730761,Paenibacillaceae_Enterobacteriaceae
Paenibacillaceae,Muribaculaceae,0.5983615582730761,Paenibacillaceae_Muribaculaceae
