series1,series2,sbd,cogroup1,cogroup2,same_cogroup,pair_type,relationship,overlap
m5.C6,m1.C1,0.5822088814212,5,1,FALSE,clone-clone,between co-clusters,0
m5.C7,m1.C1,0.4622614328062745,5,1,FALSE,clone-clone,between co-clusters,0
m5.C8,m1.C1,0.4908361671088374,5,1,FALSE,clone-clone,between co-clusters,0
m5.C9,m1.C1,0.52259326064237,5,1,FALSE,clone-clone,between co-clusters,0
m5.Enterobacteriaceae,m1.C1,0.5784991159888997,3,1,FALSE,clone-species,between co-clusters,0
m5.Lactobacillaceae,m1.C1,0.3780864971901299,2,1,FALSE,clone-species,between co-clusters,0
m5.Paenibacillaceae,m1.C1,0.2595599074882756,1,1,TRUE,clone-species,within co-cluster,0
m6.C1,m1.C1,0.11723944662198382,1,1,TRUE,clone-clone,within co-cluster,0.02857142857142857
m6.C2,m1.C1,0.17195033354795652,1,1,TRUE,clone-clone,within co-cluster,0
m6.C3,m1.C1,0.4440417018466555,5,1,FALSE,clone-clone,between co-clusters,0
m6.C4,m1.C1,0.43278489870694603,5,1,FALSE,clone-clone,between co-clusters,0
m6.C5,m1.C1,0.3851419488837551,2,1,FALSE,clone-clone,between co-clusters,0
m6.C6,m1.C1,0.4842114003024943,5,1,FALSE,clone-clone,between co-clusters,0
m6.Enterobacteriaceae,m1.C1,0.6342118323894659,3,1,FALSE,clone-species,between co-clusters,0
m6.Lactobacillaceae,m1.C1,0.19427443199537464,1,1,TRUE,clone-species,within co-cluster,0
m6.Paenibacillaceae,m1.C1,0.1833015006836496,1,1,TRUE,clone-species,within co-cluster,0
m7.C1,m1.C1,0.1034717678308944,1,1,TRUE,clone-clone,within co-cluster,0.02857142857142857
m7.C2,m1.C1,0.10662311983617667,1,1,TRUE,clone-clone,within co-cluster,0
m7.C3,m1.C1,0.5346014600048445,3,1,FALSE,clone-clone,between co-clusters,0
m7.C4,m1.C1,0.5036647239206764,3,1,FALSE,clone-clone,between co-clusters,0
m7.C5,m1.C1,0.5870928327975828,3,1,FALSE,clone-clone,between co-clusters,0
m7.C6,m1.C1,0.4132109101538429,5,1,FALSE,clone-clone,between co-clusters,0
m7.C7,m1.C1,0.5041731396327054,5,1,FALSE,clone-clone,between co-clusters,0.05714285714285714
m7.Enterobacteriaceae,m1.C1,0.6145059684011386,3,1,FALSE,clone-species,between co-clusters,0
m7.Lactobacillaceae,m1.C1,0.22845724671433842,1,1,TRUE,clone-species,within co-cluster,0
m7.Paenibacillaceae,m1.C1,0.24014843042578948,1,1,TRUE,clone-species,within co-cluster,0
m8.C1,m1.C1,0.15804904886107285,1,1,TRUE,clone-clone,within co-cluster,0
m8.C2,m1.C1,0.14098030179296506,1,1,TRUE,clone-clone,within co-cluster,0
m8.C3,m1.C1,0.6061917965689763,3,1,FALSE,clone-clone,between co-clusters,0
m8.C4,m1.C1,0.45554057602181164,5,1,FALSE,clone-clone,between co-clusters,0
m8.C5,m1.C1,0.4815977705446557,5,1,FALSE,clone-clone,between co-clusters,0
m8.C6,m1.C1,0.43763330483499874,5,1,FALSE,clone-clone,between co-clusters,0
m8.C7,m1.C1,0.49659644272013703,5,1,FALSE,clone-clone,between co-clusters,0
m8.Enterobacteriaceae,m1.C1,0.6406329205988428,3,1,FALSE,clone-species,between co-clusters,0
m8.Lactobacillaceae,m1.C1,0.1462597731176586,1,1,TRUE,clone-species,within co-cluster,0
m8.Paenibacillaceae,m1.C1,0.06360949640591318,1,1,TRUE,clone-species,within co-cluster,0
m1.C3,m1.C2,0.2142682510174283,2,1,FALSE,clone-clone,between co-clusters,0
m1.C4,m1.C2,0.3549640347017218,2,1,FALSE,clone-clone,between co-clusters,0
