cutoff,n_clusters,dist_spread
0.1,20,2.719449704217195
0.11,16,2.3949451795813452
0.12,15,2.800900022858912
0.13,15,2.800900022858912
0.14,14,3.238315690036997
0.15,11,3.5241403918056173
0.16,11,3.049533916171661
0.17,9,3.049533916171661
0.18,9,3.049533916171661
0.19,9,3.4867637596119785
0.2,10,3.4867637596119785
0.21,10,3.4867637596119785
0.22,8,5.158054527752934
0.23,8,5.158054527752934
0.24,8,5.158054527752934
0.25,8,5.064201660191267
0.26,8,5.064201660191267
0.27,8,5.064201660191267
0.28,7,5.064201660191267
0.29,7,4.87108946536645
0.3,8,4.87108946536645
0.31,8,4.87108946536645
0.32,8,4.87108946536645
0.33,7,6.9354881445311465
0.34,7,6.9354881445311465
0.35,6,8.135456671603594
0.36,6,8.135456671603594
0.37,6,8.135456671603594
0.38,6,8.135456671603594
0.39,6,8.135456671603594
0.4,6,8.135456671603594
0.41,6,8.135456671603594
0.42,6,8.135456671603594
0.43,6,8.135456671603594
0.44,6,8.135456671603594
0.45,6,8.135456671603594
0.46,6,8.135456671603594
0.47,6,8.135456671603594
0.48,6,8.135456671603594
0.49,6,8.135456671603594
0.5,5,8.796492286169151
0.51,5,8.796492286169151
0.52,5,8.796492286169151
0.53,5,8.783230576243819
0.54,5,8.783230576243819
0.55,5,8.783230576243819
0.56,5,8.783230576243819
0.57,5,8.783230576243819
0.58,5,8.783230576243819
0.59,5,8.891983682445316
0.6,5,8.891983682445316
0.61,5,8.891983682445316
0.62,5,8.891983682445316
0.63,5,8.891983682445316
0.64,5,8.891983682445316
0.65,4,8.257051075437735
0.66,4,8.257051075437735
0.67,4,8.257051075437735
0.68,3,15.651418917251242
0.69,3,15.651418917251242
0.7,2,24.714326933025383
0.71,2,24.714326933025383
0.72,2,24.714326933025383
0.73,2,24.714326933025383
0.74,2,24.714326933025383
0.75,2,24.714326933025383
0.76,2,24.7204251734997
0.77,2,24.7204251734997
0.78,2,24.7204251734997
0.79,2,24.7204251734997
0.8,2,24.7204251734997
0.81,2,24.7204251734997
0.82,2,24.7204251734997
0.83,2,24.7204251734997
0.84,2,24.7204251734997
0.85,2,24.7204251734997
0.86,2,24.7204251734997
0.87,2,24.7204251734997
0.88,2,24.708703743977747
0.89,2,24.708703743977747
0.9,2,24.708703743977747
0.91,2,24.708703743977747
0.92,2,24.708703743977747
0.93,2,24.708703743977747
0.94,2,24.708703743977747
0.95,2,24.708703743977747
0.96,2,24.708703743977747
0.97,2,24.708703743977747
0.98,2,24.708703743977747
0.99,2,24.708703743977747
1,2,24.708703743977747
1.01,2,24.708703743977747
1.02,2,24.708703743977747
1.03,2,24.708703743977747
1.04,2,24.708703743977747
1.05,2,24.708703743977747
1.06,2,24.708703743977747
1.07,2,24.708703743977747
1.08,2,24.708703743977747
1.09,2,24.708703743977747
1.1,2,24.708703743977747
1.11,2,24.708703743977747
1.12,2,24.708703743977747
1.13,2,24.708703743977747
1.14,2,24.708703743977747
1.15,2,24.708703743977747
1.16,2,24.708703743977747
1.17,2,24.708703743977747
1.18,2,24.708703743977747
1.19,2,24.708703743977747
1.2,2,24.708703743977747
1.21,2,24.708703743977747
1.22,2,24.708703743977747
1.23,2,24.708703743977747
1.24,2,24.708703743977747
1.25,2,24.708703743977747
1.26,2,24.708703743977747
1.27,2,24.708703743977747
1.28,2,24.708703743977747
1.29,2,24.708703743977747
1.3,2,24.708703743977747
1.31,2,24.708703743977747
1.32,2,24.708703743977747
1.33,2,24.708703743977747
1.34,2,24.708703743977747
1.35,2,24.708703743977747
1.36,2,24.708703743977747
1.37,2,24.708703743977747
1.38,2,24.708703743977747
1.39,2,24.708703743977747
1.4,2,24.708703743977747
