window,species_i,species_j,strength,strength_ji,pair_directional,interaction_type,group,mouse
1,C5,C5,-0.35643546792457503,-0.35643546792457503,C5→C5,competition,C-C,m4
1,C6,C5,-0.22157189781018763,-0.22784272349572743,C6→C5,competition,C-C,m4
1,C7,C5,-0.4843541585514942,-0.5044274200957615,C7→C5,competition,C-C,m4
1,C8,C5,-0.02554016450607377,-0.03912919360439321,C8→C5,competition,C-C,m4
1,C9,C5,-0.3821299163570512,-0.4013606172824359,C9→C5,competition,C-C,m4
1,C10,C5,0.09017503494140132,0.07618455835678813,C10→C5,mutualism,C-C,m4
1,C11,C5,-0.4563714913846622,-0.473406756186136,C11→C5,competition,C-C,m4
1,C12,C5,-0.447118580710172,-0.4679178493071516,C12→C5,competition,C-C,m4
1,C13,C5,-0.5451158943037118,-0.572534349766863,C13→C5,competition,C-C,m4
1,C14,C5,-0.486053288553859,-0.5112001777479644,C14→C5,competition,C-C,m4
1,Enterobacteriaceae,C5,-5.1255011696763265e-5,-5.524379102156116e-5,Enterobacteriaceae→C5,competition,other,m4
1,Paenibacillaceae,C5,0.05914601753587537,0.06493727500918073,Paenibacillaceae→C5,mutualism,C-focal,m4
1,C1,C6,-0.09998458984523208,-0.09698342286152532,C1→C6,competition,C-C,m4
1,C2,C6,0.00916396775561914,0.00887382994358371,C2→C6,mutualism,C-C,m4
1,C3,C6,-0.18549674441872083,-0.1868418016526089,C3→C6,competition,C-C,m4
1,C4,C6,-0.20100958594493215,-0.19900911843648175,C4→C6,competition,C-C,m4
1,C5,C6,-0.22784272349572743,-0.22157189781018763,C5→C6,competition,C-C,m4
1,C6,C6,-0.141634458941872,-0.141634458941872,C6→C6,competition,C-C,m4
1,C7,C6,-0.30961164236384653,-0.31356851614375686,C7→C6,competition,C-C,m4
1,C8,C6,-0.016325930394851,-0.02432398138487805,C8→C6,competition,C-C,m4
1,C9,C6,-0.24426727614662896,-0.2494988340957027,C9→C6,competition,C-C,m4
1,C10,C6,0.05764220287055979,0.04735880320001311,C10→C6,mutualism,C-C,m4
1,C11,C6,-0.2917244014136428,-0.29428506095393225,C11→C6,competition,C-C,m4
1,C12,C6,-0.2858097027990127,-0.2908729776358453,C12→C6,competition,C-C,m4
1,C13,C6,-0.3484521074800804,-0.35590600222256724,C13→C6,competition,C-C,m4
1,C14,C6,-0.3106977699862357,-0.317778682924142,C14→C6,competition,C-C,m4
1,Enterobacteriaceae,C6,-3.276352245693769e-5,-3.434134007524443e-5,Enterobacteriaceae→C6,competition,other,m4
1,Paenibacillaceae,C6,0.03780765645396305,0.04036712548890037,Paenibacillaceae→C6,mutualism,C-focal,m4
1,C1,C7,-0.22135869836505473,-0.21200488255861308,C1→C7,competition,C-C,m4
1,C2,C7,0.02028836621106485,0.0193981117548379,C2→C7,mutualism,C-C,m4
1,C3,C7,-0.41067646483365894,-0.4084344834163965,C3→C7,competition,C-C,m4
1,C4,C7,-0.44502078142785523,-0.4350321275261688,C4→C7,competition,C-C,m4
1,C5,C7,-0.5044274200957615,-0.4843541585514942,C5→C7,competition,C-C,m4
1,C6,C7,-0.31356851614375686,-0.30961164236384653,C6→C7,competition,C-C,m4
1,C7,C7,-0.6854579316514154,-0.6854579316514154,C7→C7,competition,C-C,m4
1,C8,C7,-0.03614443693169817,-0.05317200264443067,C8→C7,competition,C-C,m4
1,C9,C7,-0.5407901996166823,-0.5454021879233396,C9→C7,competition,C-C,m4
1,C10,C7,0.12761569575944004,0.10352591416443371,C10→C7,mutualism,C-C,m4
1,C11,C7,-0.6458568653250129,-0.6433044735425979,C11→C7,competition,C-C,m4
1,C12,C7,-0.632762147543175,-0.635845690363084,C12→C7,competition,C-C,m4
1,C13,C7,-0.7714479308636073,-0.7780072921414123,C13→C7,competition,C-C,m4
1,C14,C7,-0.6878625401728141,-0.6946613180394393,C14→C7,competition,C-C,m4
1,Enterobacteriaceae,C7,-7.253608477214563e-5,-7.506985786584232e-5,Enterobacteriaceae→C7,competition,other,m4
1,Paenibacillaceae,C7,0.08370343503770956,0.0882421701152209,Paenibacillaceae→C7,mutualism,C-focal,m4
1,C1,C8,-0.01717112714193525,-0.01117909174730905,C1→C8,competition,C-C,m4
1,C2,C8,0.00157379907943719,0.00102286923024961,C2→C8,mutualism,C-C,m4
1,C3,C8,-0.03185679100908783,-0.0215368934326988,C3→C8,competition,C-C,m4
1,C4,C8,-0.03452093129902242,-0.0229393965268585,C4→C8,competition,C-C,m4
1,C5,C8,-0.03912919360439321,-0.02554016450607377,C5→C8,competition,C-C,m4
1,C6,C8,-0.02432398138487805,-0.016325930394851,C6→C8,competition,C-C,m4
1,C7,C8,-0.05317200264443067,-0.03614443693169817,C7→C8,competition,C-C,m4
1,C8,C8,-0.00280377833178399,-0.00280377833178399,C8→C8,competition,C-C,m4
1,C9,C8,-0.04194990909919693,-0.02875924848708349,C9→C8,competition,C-C,m4
1,C10,C8,0.00989934144615393,0.0054589577310715,C10→C8,mutualism,C-C,m4
1,C11,C8,-0.05010008837194315,-0.03392167031435607,C11→C8,competition,C-C,m4
1,C12,C8,-0.04908431141996233,-0.03352836606362016,C12→C8,competition,C-C,m4
1,C13,C8,-0.05984237620694777,-0.04102459714115191,C13→C8,competition,C-C,m4
1,C14,C8,-0.05335853174381769,-0.03662973472095646,C14→C8,competition,C-C,m4
1,Enterobacteriaceae,C8,-5.62673318554955e-6,-3.958459910977211e-6,Enterobacteriaceae→C8,competition,other,m4
1,Paenibacillaceae,C8,0.00649300134065176,0.00465304055168153,Paenibacillaceae→C8,mutualism,C-focal,m4
1,C1,C9,-0.1761297270472895,-0.1672606843754317,C1→C9,competition,C-C,m4
1,C2,C9,0.01614295904964728,0.01530408832357092,C2→C9,mutualism,C-C,m4
1,C3,C9,-0.32676526465931294,-0.3222332919614024,C3→C9,competition,C-C,m4
1,C4,C9,-0.3540922012199249,-0.3432174320570662,C4→C9,competition,C-C,m4
1,C5,C9,-0.4013606172824359,-0.3821299163570512,C5→C9,competition,C-C,m4
1,C6,C9,-0.2494988340957027,-0.24426727614662896,C6→C9,competition,C-C,m4
1,C7,C9,-0.5454021879233396,-0.5407901996166823,C7→C9,competition,C-C,m4
1,C8,C9,-0.02875924848708349,-0.04194990909919693,C8→C9,competition,C-C,m4
1,C9,C9,-0.4302935956519528,-0.4302935956519528,C9→C9,competition,C-C,m4
1,C10,C9,0.101540702159317,0.08167649275222742,C10→C9,mutualism,C-C,m4
1,C11,C9,-0.5138925835826591,-0.5075333417227484,C11→C9,competition,C-C,m4
1,C12,C9,-0.5034734354501885,-0.5016487547068408,C12→C9,competition,C-C,m4
1,C13,C9,-0.6138223367672893,-0.6138067697411259,C13→C9,competition,C-C,m4
1,C14,C9,-0.5473154763807512,-0.5480511866621425,C14→C9,competition,C-C,m4
1,Enterobacteriaceae,C9,-5.771519667561406e-5,-5.922616333676063e-5,Enterobacteriaceae→C9,competition,other,m4
1,Paenibacillaceae,C9,0.06660078539944875,0.06961842381231274,Paenibacillaceae→C9,mutualism,C-focal,m4
1,C1,C10,0.03343219262381426,0.03947018386224536,C1→C10,mutualism,C-C,m4
1,C2,C10,-0.00306418754808635,-0.00361145945462909,C2→C10,competition,C-C,m4
1,C3,C10,0.06202518708229564,0.07604062680806134,C3→C10,mutualism,C-C,m4
1,C4,C10,0.06721226948019113,0.08099246513671415,C4→C10,mutualism,C-C,m4
1,C5,C10,0.07618455835678813,0.09017503494140132,C5→C10,mutualism,C-C,m4
1,C6,C10,0.04735880320001311,0.05764220287055979,C6→C10,mutualism,C-C,m4
1,C7,C10,0.10352591416443371,0.12761569575944004,C7→C10,mutualism,C-C,m4
1,C8,C10,0.0054589577310715,0.00989934144615393,C8→C10,mutualism,C-C,m4
1,C9,C10,0.08167649275222742,0.101540702159317,C9→C10,mutualism,C-C,m4
1,C10,C10,-0.01927402245298534,-0.01927402245298534,C10→C10,competition,C-C,m4
1,C11,C10,0.09754489563066308,0.1197677409297936,C11→C10,mutualism,C-C,m4
1,C12,C10,0.09556717742726584,0.1183790958196856,C12→C10,mutualism,C-C,m4
1,C13,C10,0.11651313462885204,0.14484614927912945,C13→C10,mutualism,C-C,m4
1,C14,C10,0.10388908640869624,0.129329143810761,C14→C10,mutualism,C-C,m4
1,Enterobacteriaceae,C10,1.095525215946304e-5,1.3976192702346062e-5,Enterobacteriaceae→C10,mutualism,other,m4
1,Paenibacillaceae,C10,-0.01264187666499851,-0.01642855879929261,Paenibacillaceae→C10,competition,C-focal,m4
1,C1,C11,-0.20774585038753807,-0.19975669192859444,C1→C11,competition,C-C,m4
1,C2,C11,0.01904069694401873,0.01827742166615575,C2→C11,mutualism,C-C,m4
1,C3,C11,-0.385421183134699,-0.3848379352973967,C3→C11,competition,C-C,m4
1,C4,C11,-0.4176534347224527,-0.409898949630372,C4→C11,competition,C-C,m4
1,C5,C11,-0.473406756186136,-0.4563714913846622,C5→C11,competition,C-C,m4
1,C6,C11,-0.29428506095393225,-0.2917244014136428,C6→C11,competition,C-C,m4
1,C7,C11,-0.6433044735425979,-0.6458568653250129,C7→C11,competition,C-C,m4
1,C8,C11,-0.03392167031435607,-0.05010008837194315,C8→C11,competition,C-C,m4
1,C9,C11,-0.5075333417227484,-0.5138925835826591,C9→C11,competition,C-C,m4
1,C10,C11,0.1197677409297936,0.09754489563066308,C10→C11,mutualism,C-C,m4
1,C11,C11,-0.6061387454235054,-0.6061387454235054,C11→C11,competition,C-C,m4
1,C12,C11,-0.5938493106677661,-0.5991108796697985,C12→C11,competition,C-C,m4
1,C13,C11,-0.7240063643790715,-0.7330593574019465,C13→C11,competition,C-C,m4
1,C14,C11,-0.6455612063740462,-0.6545285430582085,C14→C11,competition,C-C,m4
1,Enterobacteriaceae,C11,-6.80753488616956e-5,-7.073283544158265e-5,Enterobacteriaceae→C11,competition,other,m4
1,Paenibacillaceae,C11,0.0785559430042808,0.08314414167297994,Paenibacillaceae→C11,mutualism,C-focal,m4
1,C1,C12,-0.2053371445286291,-0.19570663432872337,C1→C12,competition,C-C,m4
1,C2,C12,0.01881992989523671,0.01790684779546149,C2→C12,mutualism,C-C,m4
1,C3,C12,-0.3809524235410303,-0.3770353641318357,C3→C12,competition,C-C,m4
1,C4,C12,-0.4128109588157968,-0.4015882675696025,C4→C12,competition,C-C,m4
1,C5,C12,-0.4679178493071516,-0.447118580710172,C5→C12,competition,C-C,m4
1,C6,C12,-0.2908729776358453,-0.2858097027990127,C6→C12,competition,C-C,m4
1,C7,C12,-0.635845690363084,-0.632762147543175,C7→C12,competition,C-C,m4
1,C8,C12,-0.03352836606362016,-0.04908431141996233,C8→C12,competition,C-C,m4
1,C9,C12,-0.5016487547068408,-0.5034734354501885,C9→C12,competition,C-C,m4
1,C10,C12,0.1183790958196856,0.09556717742726584,C10→C12,mutualism,C-C,m4
1,C11,C12,-0.5991108796697985,-0.5938493106677661,C11→C12,competition,C-C,m4
1,C12,C12,-0.5869639345640022,-0.5869639345640022,C12→C12,competition,C-C,m4
1,C13,C12,-0.7156118844483579,-0.7181966131657553,C13→C12,competition,C-C,m4
1,C14,C12,-0.6380762575426892,-0.6412580074153125,C14→C12,competition,C-C,m4
1,Enterobacteriaceae,C12,-6.728605034456732e-5,-6.929873050634968e-5,Enterobacteriaceae→C12,competition,other,m4
1,Paenibacillaceae,C12,0.07764512741006532,0.08145839808353474,Paenibacillaceae→C12,mutualism,C-focal,m4
1,C1,C13,-0.25124617216410655,-0.2386006790946241,C1→C13,competition,C-C,m4
1,C2,C13,0.02302766680343992,0.02183158511256512,C2→C13,mutualism,C-C,m4
1,C3,C13,-0.466125300471287,-0.45967217326644055,C3→C13,competition,C-C,m4
1,C4,C13,-0.505106728098105,-0.48960646473330927,C4→C13,competition,C-C,m4
1,C5,C13,-0.572534349766863,-0.5451158943037118,C5→C13,competition,C-C,m4
1,C6,C13,-0.35590600222256724,-0.3484521074800804,C6→C13,competition,C-C,m4
1,C7,C13,-0.7780072921414123,-0.7714479308636073,C7→C13,competition,C-C,m4
1,C8,C13,-0.04102459714115191,-0.05984237620694777,C8→C13,competition,C-C,m4
1,C9,C13,-0.6138067697411259,-0.6138223367672893,C9→C13,competition,C-C,m4
1,C10,C13,0.14484614927912945,0.11651313462885204,C10→C13,mutualism,C-C,m4
1,C11,C13,-0.7330593574019465,-0.7240063643790715,C11→C13,competition,C-C,m4
1,C12,C13,-0.7181966131657553,-0.7156118844483579,C12→C13,competition,C-C,m4
1,C13,C13,-0.8756075143419798,-0.8756075143419798,C13→C13,competition,C-C,m4
1,C14,C13,-0.7807365668029314,-0.7818058726980158,C14→C13,competition,C-C,m4
