window,rank,R,I,C
1,1,-5.0086619427475165,0,5.0086619427475165
1,2,6.065374714232751e-17,1.068164366055001e-16,1.2283577724548425e-16
1,3,6.065374714232751e-17,-1.068164366055001e-16,1.2283577724548425e-16
1,4,1.0941799612129237e-16,0,1.0941799612129237e-16
1,5,-7.804429969437109e-17,3.156175182261473e-17,8.41846594867327e-17
1,6,-7.804429969437109e-17,-3.156175182261473e-17,8.41846594867327e-17
1,7,1.898977805427019e-17,5.4707601325127815e-17,5.790969964781002e-17
1,8,1.898977805427019e-17,-5.4707601325127815e-17,5.790969964781002e-17
1,9,-5.609264891978341e-17,0,5.609264891978341e-17
1,10,-1.413452842847002e-17,1.2579631102074539e-17,1.892173386768528e-17
1,11,-1.413452842847002e-17,-1.2579631102074539e-17,1.892173386768528e-17
1,12,1.116786126840262e-17,0,1.116786126840262e-17
1,13,2.8026732325897775e-18,9.839779668777862e-19,2.9703854780105856e-18
1,14,2.8026732325897775e-18,-9.839779668777862e-19,2.9703854780105856e-18
1,15,-1.604854768254202e-24,0,1.604854768254202e-24
1,16,0,0,0
2,1,-8.891872191851155,0,8.891872191851155
2,2,-0.031965167855472675,0,0.031965167855472675
2,3,-1.822043157071124e-16,2.688920289896967e-16,3.2480969184507565e-16
2,4,-1.822043157071124e-16,-2.688920289896967e-16,3.2480969184507565e-16
2,5,3.115871266141662e-16,0,3.115871266141662e-16
2,6,-2.4369793562536536e-16,0,2.4369793562536536e-16
2,7,2.0981083104743812e-16,9.15840736001432e-17,2.2892843283876526e-16
2,8,2.0981083104743812e-16,-9.15840736001432e-17,2.2892843283876526e-16
2,9,-1.303226720638378e-16,0,1.303226720638378e-16
2,10,-1.5824510508727818e-17,6.375188283836566e-17,6.56865107786792e-17
2,11,-1.5824510508727818e-17,-6.375188283836566e-17,6.56865107786792e-17
2,12,3.7075822247964867e-17,4.978468683114028e-17,6.207359856039764e-17
2,13,3.7075822247964867e-17,-4.978468683114028e-17,6.207359856039764e-17
2,14,-3.752181077485432e-17,0,3.752181077485432e-17
2,15,7.396965549146728e-18,0,7.396965549146728e-18
2,16,-5.812475328512884e-23,0,5.812475328512884e-23
3,1,-6.485992143979122,0,6.485992143979122
3,2,0.20462451974609766,0.30225068088930923,0.3650022851700687
3,3,0.20462451974609766,-0.30225068088930923,0.3650022851700687
3,4,1.8936879756634907e-16,0,1.8936879756634907e-16
3,5,1.5477680147762974e-16,9.040831510724804e-17,1.7924709681380353e-16
3,6,1.5477680147762974e-16,-9.040831510724804e-17,1.7924709681380353e-16
3,7,-1.0963413263508558e-16,1.0685752479315149e-16,1.5309530901881522e-16
3,8,-1.0963413263508558e-16,-1.0685752479315149e-16,1.5309530901881522e-16
3,9,3.6764292449510606e-18,1.3889783443475877e-16,1.3894648085741069e-16
3,10,3.6764292449510606e-18,-1.3889783443475877e-16,1.3894648085741069e-16
3,11,8.419407534310828e-17,0,8.419407534310828e-17
3,12,-4.985801994459322e-17,4.611714330087693e-17,6.791622088300462e-17
3,13,-4.985801994459322e-17,-4.611714330087693e-17,6.791622088300462e-17
3,14,2.0828185067183947e-17,0,2.0828185067183947e-17
3,15,-2.9265527163352744e-18,0,2.9265527163352744e-18
3,16,-1.361986233896264e-21,0,1.361986233896264e-21
4,1,-4.803743856016441,0,4.803743856016441
4,2,0.11985683345236592,1.1222757385270787,1.1286578284899849
4,3,0.11985683345236592,-1.1222757385270787,1.1286578284899849
4,4,-0.057517457618841854,0,0.057517457618841854
4,5,2.351105368162121e-16,0,2.351105368162121e-16
4,6,-5.4556973095687416e-17,1.58386450229496e-16,1.675193449416042e-16
4,7,-5.4556973095687416e-17,-1.58386450229496e-16,1.675193449416042e-16
4,8,8.186749498288657e-17,1.2257837782888716e-16,1.4740334272306845e-16
4,9,8.186749498288657e-17,-1.2257837782888716e-16,1.4740334272306845e-16
4,10,-1.3351347339494923e-16,4.2744219402899857e-17,1.4018885786804547e-16
4,11,-1.3351347339494923e-16,-4.2744219402899857e-17,1.4018885786804547e-16
4,12,1.2678588625301573e-16,0,1.2678588625301573e-16
4,13,4.3463640288373385e-17,3.2658998922247685e-17,5.436633367922183e-17
4,14,4.3463640288373385e-17,-3.2658998922247685e-17,5.436633367922183e-17
4,15,-6.39837721111451e-18,0,6.39837721111451e-18
4,16,2.889956565350875e-24,0,2.889956565350875e-24
5,1,-4.942334073160692,0,4.942334073160692
5,2,-0.12095485194311015,1.2747425274127688,1.2804681126069768
5,3,-0.12095485194311015,-1.2747425274127688,1.2804681126069768
5,4,-0.35684431299518793,0,0.35684431299518793
5,5,-0.009153054282470513,0,0.009153054282470513
5,6,-3.654684624193852e-16,0,3.654684624193852e-16
5,7,1.4421794298757346e-16,5.1245511825344406e-17,1.5305200933607013e-16
5,8,1.4421794298757346e-16,-5.1245511825344406e-17,1.5305200933607013e-16
5,9,9.65499610404721e-17,7.918712822907768e-17,1.248699173303365e-16
5,10,9.65499610404721e-17,-7.918712822907768e-17,1.248699173303365e-16
5,11,4.628575195170547e-18,1.2289736750362974e-16,1.229844975907922e-16
5,12,4.628575195170547e-18,-1.2289736750362974e-16,1.229844975907922e-16
5,13,-9.704987341938925e-17,0,9.704987341938925e-17
5,14,4.115986439360041e-17,3.7911784835778815e-17,5.595925183858307e-17
5,15,4.115986439360041e-17,-3.7911784835778815e-17,5.595925183858307e-17
5,16,4.002631642858289e-22,0,4.002631642858289e-22
6,1,-4.581751329368256,0,4.581751329368256
6,2,-0.2119563809712453,1.1441963774126924,1.163662690610452
6,3,-0.2119563809712453,-1.1441963774126924,1.163662690610452
6,4,-0.33733367052404295,0,0.33733367052404295
6,5,-0.04279011295636817,0,0.04279011295636817
6,6,-0.003116805774227305,0,0.003116805774227305
6,7,-1.7550822648564366e-16,0,1.7550822648564366e-16
6,8,1.1426671373893426e-16,1.2310913756765624e-16,1.679664895785694e-16
6,9,1.1426671373893426e-16,-1.2310913756765624e-16,1.679664895785694e-16
6,10,1.0997261112079845e-16,0,1.0997261112079845e-16
6,11,-9.383291188227828e-17,2.798640545877533e-17,9.791758903695684e-17
6,12,-9.383291188227828e-17,-2.798640545877533e-17,9.791758903695684e-17
6,13,-1.2843032080348776e-18,6.480912331683843e-17,6.482184739597708e-17
6,14,-1.2843032080348776e-18,-6.480912331683843e-17,6.482184739597708e-17
6,15,-5.464475470898694e-17,0,5.464475470898694e-17
6,16,1.841569686343771e-20,0,1.841569686343771e-20
7,1,-4.079257986687145,0,4.079257986687145
7,2,-0.20790318496448473,1.0456040762410859,1.0660729893259426
7,3,-0.20790318496448473,-1.0456040762410859,1.0660729893259426
7,4,-0.2904896038201455,0,0.2904896038201455
7,5,0.17874145213321296,0,0.17874145213321296
7,6,-0.02371634170605838,0,0.02371634170605838
7,7,5.997132363147449e-4,0,5.997132363147449e-4
