window,species_i,species_j,strength,strength_ji,pair_directional,interaction_type,group,mouse,lag_strength,delta_strength
9,C10,C1,-0.31693832431041585,0.06638695596886574,C10→C1,antagonism,C-C,m4,-0.20071353208221557,-0.11622479222820029
2,C10,C13,0.7211030916271987,-0.214236003433438,C10→C13,antagonism,C-C,m4,0.14484614927912945,0.5762569423480692
2,C10,C14,0.6507834983970621,-0.1853447754970336,C10→C14,antagonism,C-C,m4,0.129329143810761,0.5214543545863011
11,C10,C14,0.05550995353781477,-0.202450624460432,C10→C14,antagonism,C-C,m4,0.12566457499515776,-0.070154621457343
9,C10,Paenibacillaceae,-0.39435694799956533,0.17130365186842209,C10→Paenibacillaceae,antagonism,C-focal,m4,-0.14216650345243476,-0.2521904445471306
11,C10,Paenibacillaceae,-0.22101581616369287,0.1599927386603379,C10→Paenibacillaceae,antagonism,C-focal,m4,-0.34061826555668756,0.11960244939299469
8,C11,C1,-0.576086728103408,-0.05055301552109732,C11→C1,competition,C-C,m4,-0.4200572125642395,-0.1560295155391685
5,C11,C13,-0.6112177245895442,-0.7248564413574825,C11→C13,competition,C-C,m4,-0.8249152649253125,0.21369754033576838
6,C11,C13,-0.4648410644690327,-0.6255301794329998,C11→C13,competition,C-C,m4,-0.6112177245895442,0.14637666012051143
8,C11,C13,-0.2491736456805775,-0.4566464373055875,C11→C13,competition,C-C,m4,-0.3782858509805857,0.1291122053000082
8,C11,Paenibacillaceae,-0.35032310444953974,0.10544597356010071,C11→Paenibacillaceae,antagonism,C-focal,m4,0.03459524329959519,-0.3849183477491349
10,C12,C1,-0.49111984590249935,-0.09303778923817678,C12→C1,competition,C-C,m4,-0.371814448411513,-0.11930539749098634
11,C12,C1,-0.3239087820766645,-0.06742986902648689,C12→C1,competition,C-C,m4,-0.49111984590249935,0.16721106382583484
3,C12,C10,-0.7013261330276107,0.39049463756845265,C12→C10,antagonism,C-C,m4,-0.18790785170374927,-0.5134182813238615
11,C12,C12,-0.3251428810366207,-0.3251428810366207,C12→C12,competition,C-C,m4,-0.2362472652357177,-0.088895615800903
5,C12,C13,-0.7321096478617202,-0.5129078576299353,C12→C13,competition,C-C,m4,-0.9715951356062852,0.23948548774456502
6,C12,C13,-0.5711573139308883,-0.4660156574734149,C12→C13,competition,C-C,m4,-0.7321096478617202,0.16095233393083186
10,C12,C13,-0.11241174945034035,-0.23884228148351372,C12→C13,competition,C-C,m4,-0.2801718333694317,0.16776008391909134
11,C12,C13,-0.22177106473001057,-0.27658466001050036,C12→C13,competition,C-C,m4,-0.11241174945034035,-0.10935931527967022
4,C12,C14,-0.767713122300479,-0.4840224690587608,C12→C14,competition,C-C,m4,-1.3277344132432662,0.5600212909427873
10,C12,C14,-0.18508693862501072,-0.1886733731925547,C12→C14,competition,C-C,m4,-0.3451431257015388,0.1600561870765281
11,C12,C14,-0.32331504772101544,-0.26513496091075894,C12→C14,competition,C-C,m4,-0.18508693862501072,-0.13822810909600472
11,C12,C3,-0.243395328463702,-0.21172743004102107,C12→C3,competition,C-C,m4,-0.33376183771149176,0.09036650924778977
3,C12,C4,-1.0292687090471526,-0.6137943661220131,C12→C4,competition,C-C,m4,-0.5679214226308539,-0.46134728641629874
4,C12,C4,0.02877669995457649,-0.4188045885269628,C12→C4,antagonism,C-C,m4,-1.0292687090471526,1.058045409001729
4,C12,C7,-0.5860790382610737,-0.52416925548315,C12→C7,competition,C-C,m4,-1.274065816924518,0.6879867786634444
8,C12,Paenibacillaceae,-0.12893322626082637,0.1387461915618936,C12→Paenibacillaceae,antagonism,C-focal,m4,0.02994171851274725,-0.1588749447735736
9,C12,Paenibacillaceae,-0.28277847853030713,0.1260939571611829,C12→Paenibacillaceae,antagonism,C-focal,m4,-0.12893322626082637,-0.15384525226948076
10,C12,Paenibacillaceae,-0.5522618590209004,0.13055987417977957,C12→Paenibacillaceae,antagonism,C-focal,m4,-0.28277847853030713,-0.2694833804905933
11,C12,Paenibacillaceae,-0.2677144386359159,0.1366969626326273,C12→Paenibacillaceae,antagonism,C-focal,m4,-0.5522618590209004,0.28454742038498454
12,C12,Paenibacillaceae,-0.3118419081331001,0.128501666449141,C12→Paenibacillaceae,antagonism,C-focal,m4,-0.2677144386359159,-0.04412746949718421
11,C13,C1,-0.3802874280339328,-0.01743313229095224,C13→C1,competition,C-C,m4,-0.4911373258974966,0.1108498978635638
3,C13,C10,-0.5659129382598456,0.43716076231283296,C13→C10,antagonism,C-C,m4,-0.214236003433438,-0.3516769348264076
3,C13,C12,-0.7645202439555482,-1.2762093127391063,C13→C12,competition,C-C,m4,-1.2864135419352012,0.521893297979653
5,C13,C13,-0.7322932030917199,-0.7322932030917199,C13→C13,competition,C-C,m4,-0.966137301535278,0.23384409844355813
6,C13,C13,-0.5779601382172075,-0.5779601382172075,C13→C13,competition,C-C,m4,-0.7322932030917199,0.15433306487451237
6,C13,C14,-0.8078873590017386,-0.4367615359498765,C13→C14,competition,C-C,m4,-0.9607708258972898,0.1528834668955512
16,C13,C4,-0.43242637405138623,0.0987792110215426,C13→C4,antagonism,C-C,m4,-0.46295827559614866,0.03053190154476243
6,C13,C7,-0.8636432446057476,-0.4001941489956918,C13→C7,competition,C-C,m4,-1.0182909672335638,0.15464772262781623
8,C13,Paenibacillaceae,-0.07639062554840002,-0.11735822314076703,C13→Paenibacillaceae,competition,C-focal,m4,0.10094540726732976,-0.1773360328157298
9,C13,Paenibacillaceae,-0.16551500841210817,-0.08397743013408737,C13→Paenibacillaceae,competition,C-focal,m4,-0.07639062554840002,-0.08912438286370815
10,C13,Paenibacillaceae,-0.3124686094475337,-0.05478353003443172,C13→Paenibacillaceae,competition,C-focal,m4,-0.16551500841210817,-0.1469536010354255
11,C13,Paenibacillaceae,-0.15782874810432862,-0.02901031442898877,C13→Paenibacillaceae,competition,C-focal,m4,-0.3124686094475337,0.15463986134320507
10,C14,C1,-0.6763548108703669,-0.00226187636825282,C14→C1,competition,C-C,m4,-0.5318722844749387,-0.14448252639542813
11,C14,C1,-0.5107264910434176,0.02319727010810561,C14→C1,antagonism,C-C,m4,-0.6763548108703669,0.16562831982694926
