window,kpca1,kpca2
1,-1.2485266665194104,-0.010292064709211013
2,-3.06243805826651,-1.656245814486934
3,-2.2224252938169773,-0.2875412470300588
4,-1.114533122418846,0.6686717405240463
5,-1.174062465061072,0.7268046859284556
6,-0.9080232753566951,0.7112738101218299
7,-0.5485040676762047,0.6931752821169265
8,-0.14594558892482082,0.6167148326513279
9,0.289848421464562,0.4856244298261103
10,0.9710785127928591,0.10234074790947584
11,0.9076654487948672,0.15451895082069145
12,1.0792394869488446,0.006141688138896262
13,1.2201865894870245,-0.1232241001895806
14,1.3352066357045176,-0.23608850844265045
15,1.4358852449566184,-0.3426555197707669
16,1.534029360193738,-0.45513034099103244
17,1.6513188376975032,-1.0540885724175268
