changepoint,frequency,score
8,39,1
14,27,0.6923076923076923
13,25,0.6410256410256411
4,21,0.5384615384615384
5,19,0.48717948717948717
9,19,0.48717948717948717
12,18,0.46153846153846156
11,14,0.358974358974359
3,13,0.3333333333333333
7,12,0.3076923076923077
2,3,0.07692307692307693
6,3,0.07692307692307693
