ID,11,17,19,9,4,10,12,3,2,1,6,5,8,13,7,mean,points
21,4.126023034733738e-5,1.9188913692336587e-5,3.365612211503928e-5,3.8882085891019914e-5,1.7772986970401089e-6,2.8657002987940326e-5,1.354827437030891e-5,2.3575140603612006e-5,6.929645897587312e-5,0,7.728911653416892e-5,2.4923356734472395e-4,5.442029470721254e-5,6.482849520299524e-6,7.441721121260925e-5,4.877897113330145e-5,14
175,5.140240987405718e-5,5.320562432875145e-5,6.487660381385862e-5,1.86289487465203e-4,3.781202977952832e-4,8.664265747135083e-5,7.568346372379461e-5,2.2796318994385538e-4,7.926717249758148e-5,0,3.6706761973576477e-4,7.427712406547271e-4,1.6401323842634563e-4,5.206538520990555e-5,2.5277846260283077e-4,1.854764569028873e-4,14
180,1.0603187687025249e-5,2.9074111655055436e-6,0,1.0089655199568458e-5,6.109464271075374e-5,4.2537738810223924e-6,2.8030912490294295e-6,4.822379207399563e-4,4.668786606539941e-4,0,9.577613864464736e-6,1.6562990234934186e-5,1.5548655630632156e-5,9.116507137921205e-6,6.001388001016875e-6,7.317836654372163e-5,13
213,2.7890993698479457e-5,2.2968548207493795e-5,9.742561664879791e-6,5.9799663743783786e-5,1.3996227239190858e-4,1.3209087314753745e-5,9.810819371603003e-6,1.9849426418934037e-4,6.979499465195853e-6,0,5.4570125506833964e-5,9.543437230604936e-5,6.470247020488865e-5,3.241424760149762e-5,4.9211381608338374e-5,5.234602048500309e-5,14
308,0,5.814822331011087e-6,0,1.624188397979313e-5,1.501817398998892e-4,0,1.4015456245147149e-5,1.4966004436757266e-4,9.173056439971694e-5,0,5.79111535990891e-6,2.0309380883312155e-5,1.2790023180036129e-5,5.4699042827527235e-6,1.008233184170835e-5,3.2139151118056564e-5,11
330,2.4663936576341337e-5,1.1629644662022174e-5,7.749764960699835e-6,6.52136250703815e-5,3.1324889535331923e-4,3.7388433585828396e-5,2.2658320929654558e-5,0,1.3709731092348999e-5,0,1.6571499337585498e-4,3.1765449129141635e-4,7.799406292139678e-5,0,1.2722942562155774e-4,7.899035502938813e-5,12
372,2.1206375374050497e-5,3.925005073432484e-5,4.6498589764199006e-5,3.666728353013903e-5,8.886493485200544e-7,1.7462861195776136e-5,2.8264503427713415e-5,9.91418859312612e-5,2.4677515966228196e-5,0,1.3742762219476145e-4,2.2123422670947804e-4,5.768049669428058e-5,2.7957288556291698e-5,9.386170833590393e-5,5.681460385086187e-5,14
469,0,7.268527913763859e-6,4.20701526437991e-6,7.62876368747859e-6,6.664870113900409e-7,1.1641907463850758e-5,0,5.809588220175816e-5,1.3261048983872123e-4,0,8.018467421412338e-6,9.661744303711608e-6,6.0188344376640604e-6,1.1344986660524167e-5,3.600832800610125e-6,1.7384262600350988e-5,12
574,1.406074888931609e-4,3.5179675102617076e-5,3.122048169881934e-5,4.5526492973662553e-5,1.3329740227800818e-6,3.134359701805973e-5,6.563905341477248e-5,6.862049854265638e-5,1.847074679896474e-4,0,1.2740453791799602e-4,3.4999175794057355e-4,1.2062747352151721e-4,4.841878235473707e-5,9.290148625574122e-5,8.956811784311606e-5,14
591,3.227057122138119e-5,1.0873717758990732e-4,4.9155652036438954e-5,2.1901934457599823e-4,7.83122238383298e-4,1.4955373434331358e-4,1.2427037870697138e-4,0,7.228767303238562e-6,0,4.889037775000023e-4,9.79976922233606e-4,2.2319844373004224e-4,7.293205710336964e-5,3.147127867733249e-4,2.3687212343339282e-4,13
817,0.005713735138825692,0.003226063429244951,0.003182939180287432,0.010051265291979855,0.03976994645665513,0.007064399002198977,0.005283827004420475,0.0010240451699693965,9.696518899861383e-4,0.023053296146159828,0.02840720272200241,0.05943214971050259,0.014749906143800487,0.0051743268624365665,0.018472512322649983,0.015038351098074661,15
824,1.6273588058782229e-4,5.96891512278288e-4,6.381377890496264e-4,1.134470987073429e-4,4.443246742600272e-6,1.5537468807523896e-4,3.7421268174542884e-4,3.3678772290874293e-6,7.478035141281272e-7,9.844554484686796e-6,3.868910530831453e-4,7.114198662814588e-4,2.0689743379470206e-4,3.841088340777468e-4,2.4677707460181393e-4,2.6635315961687445e-4,15
936,5.575893698894364e-4,2.6748182722651e-4,1.9662260814575582e-4,8.647572773483796e-4,0.0068210502369028085,7.213504970870605e-4,5.031548792007826e-4,5.8937851509030014e-06,1.794728433907505e-5,0,0.0029532460983473937,0.006626379164704741,0.00139461409616041,4.896577278301234e-4,0.0017502447966165615,0.0015446659765966627,14
1016,4.379577522901733e-6,4.942598981359424e-6,6.642655680599859e-6,1.525752737495718e-5,2.221623371300136e-7,2.238828358432838e-7,1.0044410309022123e-5,1.262953960907786e-6,4.461894300964492e-5,0,4.721986370387265e-5,1.1870143001702833e-4,3.260201987068033e-5,9.521685232939925e-6,3.504810592593855e-5,2.2045854450855075e-5,14
1084,1.406074888931609e-5,6.105563447561642e-6,1.173535836905975e-5,6.176837695345568e-5,4.174430314672956e-4,3.8060082093358246e-5,2.2191139054816318e-5,0,1.3410609686697746e-4,0,1.617057596651488e-4,4.572568375572902e-4,8.02511258355208e-5,2.7349521413763615e-5,1.094653171385478e-4,1.027665972501408e-4,13
1242,0,5.233340097909978e-6,0,2.7069806632988548e-6,7.353573359003451e-5,5.820953731925379e-6,1.5417001869661864e-5,0,1.6950212986904215e-5,0,2.4278137470387355e-5,1.892913169706764e-5,1.2288453643564123e-5,3.6466028551684823e-6,1.6083719842725224e-5,1.2992684563243176e-5,11
