window,lambda_full,lambda_without,delta_lambda,role
1,-3.9840521459566465,-3.9840521459566465,0,Destabilizing
2,0.0030360365809902357,0.0030360365809902357,0,Destabilizing
3,0.4391531858791671,0.4391531858791672,-1.1102230246251565e-16,Stabilizing
4,0.3094617307008808,0.3094617307008808,0,Destabilizing
5,0.0028132976234671305,0.0028132976234671323,-1.734723475976807e-18,Stabilizing
6,0.022595902814034296,-3.405762124188136,3.42835802700217,Destabilizing
7,0.05306077501284431,0.019368051793398396,0.033692723219445914,Destabilizing
8,0.06854223387438604,0.023025105948604192,0.04551712792578185,Destabilizing
9,0.044280821101485866,8.844820630206707e-6,0.04427197628085566,Destabilizing
10,0.21765282197296493,0.008592621312864571,0.20906020066010036,Destabilizing
11,0.005994166573752364,2.7780844868266398e-6,0.005991388489265537,Destabilizing
12,4.495683864146901e-4,3.081431217163566e-4,1.414252646983335e-4,Destabilizing
13,-0.16099714361067918,-1.0393569904762332,0.878359846865554,Destabilizing
14,-0.2643229430862972,-0.3882511960106933,0.12392825292439608,Destabilizing
15,-0.25557678776645665,-0.3330071032522945,0.07743031548583784,Destabilizing
16,3.5919188306536933e-4,-0.3294102649266648,0.3297694568097302,Destabilizing
