window,kpca1,kpca2
1,-1.2909945250734667,0.40152221254996706
2,-2.358984681028803,2.5115712066471154
3,-2.2108700253886244,1.5393414046280056
4,-1.7827896410899273,0.14276899825238745
5,-1.578273682618474,-0.29446768675285523
6,-1.0499178879072126,-0.7344436458755103
7,-0.4924952889234926,-1.0645367721230334
8,-0.17969428547315208,-1.1745317579835306
9,0.031303327182115814,-1.2451747147655405
10,0.210005687462924,-1.2627765207493746
11,0.36361344924924205,-1.3567587318762884
12,0.5129607670696431,-1.3837968738345865
13,2.5026768754342332,1.0224288320543493
14,2.4601983925154256,0.9789838009749754
15,2.458360910875661,0.9853446545664847
16,2.404900607713906,0.9345255942874368
