window,species_i,species_j,strength,strength_ji,pair_directional,interaction_type,group,mouse,lag_strength,delta_strength
11,C1,Paenibacillaceae,-0.300966806165983,0.3429402677866513,C1→Paenibacillaceae,antagonism,C-focal,m5,-0.2164012307455228,-0.08456557542046017
5,C2,C2,0.06568009587250091,0.06568009587250091,C2→C2,mutualism,C-C,m5,0.37922528177905857,-0.31354518590655767
4,C2,C6,0.7307370993239047,-0.661260691552927,C2→C6,antagonism,C-C,m5,-0.01879110326205884,0.7495282025859635
8,C2,Paenibacillaceae,-0.26105585426604605,0.4195764082207324,C2→Paenibacillaceae,antagonism,C-focal,m5,-0.1540743324737163,-0.10698152179232975
10,C2,Paenibacillaceae,-0.44490255987795496,0.45163627189802075,C2→Paenibacillaceae,antagonism,C-focal,m5,-0.3537234001559318,-0.09117915972202317
11,C2,Paenibacillaceae,-0.5231751820845331,0.3861560742202416,C2→Paenibacillaceae,antagonism,C-focal,m5,-0.44490255987795496,-0.0782726222065781
12,C2,Paenibacillaceae,-0.5936731236087162,0.3388891948690273,C2→Paenibacillaceae,antagonism,C-focal,m5,-0.5231751820845331,-0.0704979415241831
10,C3,Paenibacillaceae,0.28531705342672264,-0.05322616010924046,C3→Paenibacillaceae,antagonism,C-focal,m5,0.17418746924694367,0.11112958417977897
11,C3,Paenibacillaceae,0.20063755195638033,-0.08902472316453437,C3→Paenibacillaceae,antagonism,C-focal,m5,0.28531705342672264,-0.08467950147034231
13,C3,Paenibacillaceae,0.07984574085298975,-0.13836929367177211,C3→Paenibacillaceae,antagonism,C-focal,m5,0.1496091783186811,-0.06976343746569134
14,C3,Paenibacillaceae,0.03632142780945666,-0.1547946207886619,C3→Paenibacillaceae,antagonism,C-focal,m5,0.07984574085298975,-0.04352431304353309
5,C4,C2,-0.17803751603852414,-0.03739760364525647,C4→C2,competition,C-C,m5,0.17305931604549624,-0.35109683208402037
5,C4,C5,-0.2841837774431747,-0.3170536960053451,C4→C5,competition,C-C,m5,-0.03385006011185938,-0.2503337173313153
4,C4,C6,-0.02200144608578292,-0.6253725222550138,C4→C6,competition,C-C,m5,-0.6550825104925672,0.6330810644067842
9,C4,Paenibacillaceae,-0.19237855451858885,0.3076094430154582,C4→Paenibacillaceae,antagonism,C-focal,m5,0.00502624163289638,-0.19740479615148523
10,C4,Paenibacillaceae,-0.3764254629402975,0.3563066434306799,C4→Paenibacillaceae,antagonism,C-focal,m5,-0.19237855451858885,-0.18404690842170865
11,C4,Paenibacillaceae,-0.5403650864309848,0.3000987313487998,C4→Paenibacillaceae,antagonism,C-focal,m5,-0.3764254629402975,-0.1639396234906873
12,C4,Paenibacillaceae,-0.6401476360868458,0.2647979705195102,C4→Paenibacillaceae,antagonism,C-focal,m5,-0.5403650864309848,-0.09978254965586097
13,C4,Paenibacillaceae,-0.7407968641458395,0.2441263509057671,C4→Paenibacillaceae,antagonism,C-focal,m5,-0.6401476360868458,-0.10064922805899368
15,C4,Paenibacillaceae,-0.8152208054565568,0.23104960433970056,C4→Paenibacillaceae,antagonism,C-focal,m5,-0.7600255654173164,-0.05519524003924048
5,C5,C2,-0.18148237379925977,-0.00709656118503823,C5→C2,competition,C-C,m5,0.21521184227750711,-0.3966942160767669
5,C5,C5,-0.3023844576712748,-0.3023844576712748,C5→C5,competition,C-C,m5,-0.01842191309103933,-0.28396254458023545
4,C5,C6,0.11299649286444322,-0.7225618267033469,C5→C6,antagonism,C-C,m5,-0.6007973159875852,0.7137938088520285
8,C5,Paenibacillaceae,-0.2921054809391179,0.288085137150165,C5→Paenibacillaceae,antagonism,C-focal,m5,-0.17796172698144228,-0.11414375395767565
9,C5,Paenibacillaceae,-0.4096178251553985,0.28562874522869525,C5→Paenibacillaceae,antagonism,C-focal,m5,-0.2921054809391179,-0.1175123442162806
10,C5,Paenibacillaceae,-0.5538709941972408,0.27601064148410215,C5→Paenibacillaceae,antagonism,C-focal,m5,-0.4096178251553985,-0.14425316904184232
11,C5,Paenibacillaceae,-0.6662007883440606,0.2525072489900639,C5→Paenibacillaceae,antagonism,C-focal,m5,-0.5538709941972408,-0.11232979414681976
12,C5,Paenibacillaceae,-0.7321215669482408,0.2391549060231836,C5→Paenibacillaceae,antagonism,C-focal,m5,-0.6662007883440606,-0.06592077860418022
13,C5,Paenibacillaceae,-0.8018498227427047,0.2373200805741292,C5→Paenibacillaceae,antagonism,C-focal,m5,-0.7321215669482408,-0.06972825579446384
15,C5,Paenibacillaceae,-0.8663889521578909,0.2471903133167254,C5→Paenibacillaceae,antagonism,C-focal,m5,-0.7990612647827419,-0.06732768737514905
16,C5,Paenibacillaceae,-0.7782797976531352,0.2556631354081228,C5→Paenibacillaceae,antagonism,C-focal,m5,-0.8663889521578909,0.08810915450475576
14,C6,C1,-0.4960539797214292,0.08369091206355095,C6→C1,antagonism,C-C,m5,-0.5601876738539469,0.06413369413251768
4,C6,C2,-0.661260691552927,0.7307370993239047,C6→C2,antagonism,C-C,m5,-0.10882384224098111,-0.5524368493119459
5,C6,C2,-1.204777806911555,0.5037124660335698,C6→C2,antagonism,C-C,m5,-0.661260691552927,-0.5435171153586279
12,C6,C2,-0.8669393990232658,0.4390495480941235,C6→C2,antagonism,C-C,m5,-0.9452003683482698,0.07826096932500404
16,C6,C2,-0.6210714951221608,0.417869979641545,C6→C2,antagonism,C-C,m5,-0.699317940626062,0.07824644550390125
4,C6,C4,-0.6253725222550138,-0.02200144608578292,C6→C4,competition,C-C,m5,-0.3200726840452136,-0.3052998382098002
5,C6,C4,-0.9678789057853472,-0.1276781901802088,C6→C4,competition,C-C,m5,-0.6253725222550138,-0.34250638353033336
4,C6,C5,-0.7225618267033469,0.11299649286444322,C6→C5,antagonism,C-C,m5,-0.32558462169980285,-0.39697720500354405
5,C6,C5,-1.1328426978845163,-0.03441406867544935,C6→C5,competition,C-C,m5,-0.7225618267033469,-0.4102808711811694
3,C6,C6,-0.217535711624692,-0.217535711624692,C6→C6,competition,C-C,m5,-0.8132655486999332,0.5957298370752412
4,C6,C6,-1.0431430845785818,-1.0431430845785818,C6→C6,competition,C-C,m5,-0.217535711624692,-0.8256073729538899
9,C6,C6,-0.3929322595248174,-0.3929322595248174,C6→C6,competition,C-C,m5,-0.5375511925576645,0.14461893303284706
3,C6,C8,-0.5834165512277439,-1.3937949601963049,C6→C8,competition,C-C,m5,-1.0563592042342922,0.47294265300654825
3,C6,C9,-0.6172482908693119,-1.5145947314406036,C6→C9,competition,C-C,m5,-1.1276736791660058,0.5104253882966939
9,C6,Paenibacillaceae,-0.5102175067617273,-0.20299087074409355,C6→Paenibacillaceae,competition,C-focal,m5,-0.33705780904501087,-0.1731596977167164
13,C6,Paenibacillaceae,-0.6840159082863081,-0.08188419742328511,C6→Paenibacillaceae,competition,C-focal,m5,-0.6048852437302794,-0.07913066455602868
14,C6,Paenibacillaceae,-0.550411214483244,-0.02989270490693853,C6→Paenibacillaceae,competition,C-focal,m5,-0.6840159082863081,0.13360469380306406
15,C6,Paenibacillaceae,-0.6343435717986283,0.0084674398274293,C6→Paenibacillaceae,antagonism,C-focal,m5,-0.550411214483244,-0.08393235731538429
16,C6,Paenibacillaceae,-0.5364258877098703,0.0672522396070476,C6→Paenibacillaceae,antagonism,C-focal,m5,-0.6343435717986283,0.097917684088758
5,C7,C2,-0.3512729773627049,-0.07906039745115338,C7→C2,competition,C-C,m5,-0.00984902960971395,-0.34142394775299095
4,C7,C6,-0.5525231296107798,-0.6345468000554751,C7→C6,competition,C-C,m5,-1.048801928531658,0.49627879892087834
8,C7,Paenibacillaceae,-0.29070420519755813,0.1192184908588757,C7→Paenibacillaceae,antagonism,C-focal,m5,-0.17052042298503517,-0.12018378221252296
9,C7,Paenibacillaceae,-0.39600595108217207,0.09967950502118551,C7→Paenibacillaceae,antagonism,C-focal,m5,-0.29070420519755813,-0.10530174588461394
10,C7,Paenibacillaceae,-0.5578241244150053,0.06204333501221618,C7→Paenibacillaceae,antagonism,C-focal,m5,-0.39600595108217207,-0.16181817333283322
11,C7,Paenibacillaceae,-0.6380339359875358,0.08022799861732022,C7→Paenibacillaceae,antagonism,C-focal,m5,-0.5578241244150053,-0.08020981157253049
12,C7,Paenibacillaceae,-0.6963100716236525,0.0975203333844221,C7→Paenibacillaceae,antagonism,C-focal,m5,-0.6380339359875358,-0.05827613563611678
13,C7,Paenibacillaceae,-0.7688030534243523,0.12431999597153416,C7→Paenibacillaceae,antagonism,C-focal,m5,-0.6963100716236525,-0.07249298180069974
16,C7,Paenibacillaceae,-0.7071003069119767,0.2042461217622192,C7→Paenibacillaceae,antagonism,C-focal,m5,-0.7878974355566073,0.08079712864463062
5,C8,C2,-0.5422017625165051,-0.12099014511145292,C8→C2,competition,C-C,m5,-0.2730189002950726,-0.2691828622214325
8,C8,C2,-0.48892465604477,-0.01747629445975074,C8→C2,competition,C-C,m5,-0.6495631868159447,0.16063853077117474
9,C8,C6,-0.574951545098462,-0.22743525813239585,C8→C6,competition,C-C,m5,-0.7255162908463073,0.15056474574784529
10,C8,C6,-0.4589428025212441,-0.21115562596939755,C8→C6,competition,C-C,m5,-0.574951545098462,0.11600874257721794
11,C8,C6,-0.3511384867508719,-0.19135894099459688,C8→C6,competition,C-C,m5,-0.4589428025212441,0.1078043157703722
12,C8,C6,-0.27327409138287106,-0.17416121497568232,C8→C6,competition,C-C,m5,-0.3511384867508719,0.07786439536800083
13,C8,C6,-0.16967905538342737,-0.1402093711236027,C8→C6,competition,C-C,m5,-0.27327409138287106,0.1035950359994437
16,C8,C6,-0.05257702249177927,-0.10922466840738958,C8→C6,competition,C-C,m5,-0.13508161496031598,0.08250459246853671
16,C8,C7,-0.098552760305665,-0.10089168420844637,C8→C7,competition,C-C,m5,-0.1771672577681719,0.07861449746250691
5,C8,C9,-0.6806762515163718,-0.7896037400057693,C8→C9,competition,C-C,m5,-0.9095181477866248,0.22884189627025298
8,C8,Paenibacillaceae,0.0912768638982959,-0.08724749124300006,C8→Paenibacillaceae,antagonism,C-focal,m5,-0.0731147617532347,0.1643916256515306
9,C8,Paenibacillaceae,-0.0915393646716204,-0.04362523408189455,C8→Paenibacillaceae,competition,C-focal,m5,0.0912768638982959,-0.1828162285699163
10,C8,Paenibacillaceae,-0.23727641966193264,-0.02096984401199681,C8→Paenibacillaceae,competition,C-focal,m5,-0.0915393646716204,-0.14573705499031225
11,C8,Paenibacillaceae,-0.3985754113735858,-0.01772974167967453,C8→Paenibacillaceae,competition,C-focal,m5,-0.23727641966193264,-0.16129899171165318
12,C8,Paenibacillaceae,-0.4944900936030506,-0.00738005890958006,C8→Paenibacillaceae,competition,C-focal,m5,-0.3985754113735858,-0.09591468222946475
13,C8,Paenibacillaceae,-0.6522009994829497,0.01631183589183487,C8→Paenibacillaceae,antagonism,C-focal,m5,-0.4944900936030506,-0.15771090587989917
16,C8,Paenibacillaceae,-0.6468774680850421,0.09569391096066952,C8→Paenibacillaceae,antagonism,C-focal,m5,-0.5876983374697127,-0.05917913061532942
5,C9,C2,-0.6977016481448053,-0.11479498194420595,C9→C2,competition,C-C,m5,-0.4126427822814021,-0.2850588658634032
3,C9,C6,-1.5145947314406036,-0.6172482908693119,C9→C6,competition,C-C,m5,-1.2189883179061063,-0.29560641353449735
9,C9,C6,-0.6577976106036467,0.0732621406960571,C9→C6,antagonism,C-C,m5,-0.7812445224346941,0.12344691183104739
10,C9,C6,-0.5326774851961387,0.09372817443927307,C9→C6,antagonism,C-C,m5,-0.6577976106036467,0.12512012540750805
5,C9,C9,-0.7243457145142487,-0.7243457145142487,C9→C9,competition,C-C,m5,-0.96652889353267,0.24218317901842135
10,C9,Paenibacillaceae,-0.3594194498950485,-0.2701200869922141,C9→Paenibacillaceae,competition,C-focal,m5,-0.22783618415948984,-0.13158326573555865
13,C9,Paenibacillaceae,-0.4682658128487578,-0.11578493135741326,C9→Paenibacillaceae,competition,C-focal,m5,-0.3557146248924374,-0.11255118795632041
7,Lactobacillaceae,C6,0.1082773698294022,0.16564294896510576,Lactobacillaceae→C6,mutualism,other,m5,0.2719553903527929,-0.16367802052339073
7,Lactobacillaceae,C9,0.01145262752519208,0.23308900588581716,Lactobacillaceae→C9,mutualism,other,m5,0.16543873976223175,-0.15398611223703967
7,Lactobacillaceae,Paenibacillaceae,0.28144386093118046,0.03730079115675257,Lactobacillaceae→Paenibacillaceae,mutualism,species-species,m5,0.03523766789982208,0.24620619303135838
10,Lactobacillaceae,Paenibacillaceae,-8.777827524553295e-4,0.20775183348198228,Lactobacillaceae→Paenibacillaceae,antagonism,species-species,m5,0.14116783016139675,-0.1420456129138521
11,Paenibacillaceae,C1,0.3429402677866513,-0.300966806165983,Paenibacillaceae→C1,antagonism,C-focal,m5,0.4294775853151868,-0.0865373175285355
12,Paenibacillaceae,C1,0.2777789144085272,-0.35002795730410863,Paenibacillaceae→C1,antagonism,C-focal,m5,0.3429402677866513,-0.06516135337812412
14,Paenibacillaceae,C1,0.17368867360261034,-0.4170234457161528,Paenibacillaceae→C1,antagonism,C-focal,m5,0.21947023951692016,-0.04578156591430982
6,Paenibacillaceae,C2,0.31232407797489153,-0.055661755939145,Paenibacillaceae→C2,antagonism,C-focal,m5,0.00634691892584471,0.3059771590490468
11,Paenibacillaceae,C2,0.3861560742202416,-0.5231751820845331,Paenibacillaceae→C2,antagonism,C-focal,m5,0.45163627189802075,-0.06548019767777913
10,Paenibacillaceae,C6,-0.3080878062839088,-0.5854805434242782,Paenibacillaceae→C6,competition,C-focal,m5,-0.20299087074409355,-0.10509693553981525
11,Paenibacillaceae,C6,-0.21729610839101185,-0.6468693243152023,Paenibacillaceae→C6,competition,C-focal,m5,-0.3080878062839088,0.09079169789289696
9,Paenibacillaceae,Paenibacillaceae,0.4898763324229441,0.4898763324229441,Paenibacillaceae→Paenibacillaceae,mutualism,species-species,m5,0.3348345243189556,0.1550418081039885
10,Paenibacillaceae,Paenibacillaceae,0.7652956767798639,0.7652956767798639,Paenibacillaceae→Paenibacillaceae,mutualism,species-species,m5,0.4898763324229441,0.2754193443569198
11,Paenibacillaceae,Paenibacillaceae,0.5209555626160509,0.5209555626160509,Paenibacillaceae→Paenibacillaceae,mutualism,species-species,m5,0.7652956767798639,-0.24434011416381296
12,Paenibacillaceae,Paenibacillaceae,0.34508420559835484,0.34508420559835484,Paenibacillaceae→Paenibacillaceae,mutualism,species-species,m5,0.5209555626160509,-0.17587135701769607
13,Paenibacillaceae,Paenibacillaceae,0.1861008081373467,0.1861008081373467,Paenibacillaceae→Paenibacillaceae,mutualism,species-species,m5,0.34508420559835484,-0.15898339746100815
14,Paenibacillaceae,Paenibacillaceae,0.06703870367697594,0.06703870367697594,Paenibacillaceae→Paenibacillaceae,mutualism,species-species,m5,0.1861008081373467,-0.11906210446037076
15,Paenibacillaceae,Paenibacillaceae,-0.01938634550696274,-0.01938634550696274,Paenibacillaceae→Paenibacillaceae,competition,species-species,m5,0.06703870367697594,-0.08642504918393867
16,Paenibacillaceae,Paenibacillaceae,-0.1293992628602982,-0.1293992628602982,Paenibacillaceae→Paenibacillaceae,competition,species-species,m5,-0.01938634550696274,-0.11001291735333547
