series1,series2,dist,pair_id
C2,C1,0.2217188471896647,C2_C1
C3,C1,0.5555160400673361,C3_C1
C4,C1,0.5555160400673361,C4_C1
C5,C1,0.5555160400673361,C5_C1
C6,C1,0.5555160400673361,C6_C1
C7,C1,0.5555160400673361,C7_C1
Enterobacteriaceae,C1,0.5555160400673361,Enterobacteriaceae_C1
Lactobacillaceae,C1,0.15590488710240147,Lactobacillaceae_C1
Paenibacillaceae,C1,0.2217188471896647,Paenibacillaceae_C1
C3,C2,0.5555160400673361,C3_C2
C4,C2,0.5555160400673361,C4_C2
C5,C2,0.5555160400673361,C5_C2
C6,C2,0.5555160400673361,C6_C2
C7,C2,0.5555160400673361,C7_C2
Enterobacteriaceae,C2,0.5555160400673361,Enterobacteriaceae_C2
Lactobacillaceae,C2,0.2217188471896647,Lactobacillaceae_C2
Paenibacillaceae,C2,0.06543414771455336,Paenibacillaceae_C2
C4,C3,0.10823125439521158,C4_C3
C5,C3,0.10823125439521158,C5_C3
C6,C3,0.30393071114132186,C6_C3
C7,C3,0.30393071114132186,C7_C3
Enterobacteriaceae,C3,0.4613487660281416,Enterobacteriaceae_C3
Lactobacillaceae,C3,0.5555160400673361,Lactobacillaceae_C3
Paenibacillaceae,C3,0.5555160400673361,Paenibacillaceae_C3
C5,C4,0.0768896565158389,C5_C4
C6,C4,0.30393071114132186,C6_C4
C7,C4,0.30393071114132186,C7_C4
Enterobacteriaceae,C4,0.4613487660281416,Enterobacteriaceae_C4
Lactobacillaceae,C4,0.5555160400673361,Lactobacillaceae_C4
Paenibacillaceae,C4,0.5555160400673361,Paenibacillaceae_C4
C6,C5,0.30393071114132186,C6_C5
C7,C5,0.30393071114132186,C7_C5
Enterobacteriaceae,C5,0.4613487660281416,Enterobacteriaceae_C5
Lactobacillaceae,C5,0.5555160400673361,Lactobacillaceae_C5
Paenibacillaceae,C5,0.5555160400673361,Paenibacillaceae_C5
C7,C6,0.14822539370122523,C7_C6
Enterobacteriaceae,C6,0.4613487660281416,Enterobacteriaceae_C6
Lactobacillaceae,C6,0.5555160400673361,Lactobacillaceae_C6
Paenibacillaceae,C6,0.5555160400673361,Paenibacillaceae_C6
Enterobacteriaceae,C7,0.4613487660281416,Enterobacteriaceae_C7
Lactobacillaceae,C7,0.5555160400673361,Lactobacillaceae_C7
Paenibacillaceae,C7,0.5555160400673361,Paenibacillaceae_C7
Lactobacillaceae,Enterobacteriaceae,0.5555160400673361,Lactobacillaceae_Enterobacteriaceae
Paenibacillaceae,Enterobacteriaceae,0.5555160400673361,Paenibacillaceae_Enterobacteriaceae
Paenibacillaceae,Lactobacillaceae,0.2217188471896647,Paenibacillaceae_Lactobacillaceae
