cluster,m5.C1,m5.C2,m5.C3,m5.C4,m5.C5,m5.C6,m5.C7,m5.C8,m5.C9,m6.C1,m6.C2,m6.C3,m6.C4,m6.C5,m6.C6,m7.C1,m7.C2,m7.C3,m7.C4,m7.C5,m7.C6,m7.C7,m8.C1,m8.C2,m8.C3,m8.C4,m8.C5,m8.C6,m8.C7
m5.C1,0,0.29145583295813027,0.47402811438152237,0.4569821824266641,0.8295973266885149,1.6604684265115324,1.346518786490162,1.3161161924569913,1.7463236495376537,0.07137121639794197,0.11482420496403822,1.631113263870553,1.3390990951026267,0.49957257927667664,1.9178404970356353,0.050533551688576206,0.032171649598890406,0.831971518384033,1.0367931774413224,0.7389352703457113,1.6351044704074362,1.9397865129235337,0.10316136670125364,0.07737101336670937,1.0651562417470075,1.654864544236764,1.9191704429984315,1.7131295553525627,1.5163630540542437
m5.C2,0.29145583295813027,0,1.1432579143679904,0.13417436215222933,0.2342435215548243,1.087369969305767,0.7102032283211882,0.9678828681502816,1.3802404306857154,0.15659691713807455,0.8120744933034509,0.7956316043686853,0.8311538114269037,0.13267720733362387,1.4256284355407756,0.1810422835687595,0.5855440480725718,0.12194342670621638,0.31524900366575326,0.19158479251301097,0.8337275353272451,1.4264737441041415,0.75783579637374765,0.13769919000135344,0.26120319592087393,0.8300605226430451,1.3317512292599278,1.151335495557711,0.8442726587361371
m5.C3,0.47402811438152237,1.1432579143679904,0,1.1444197195727477,1.546719462311652,1.6234249019089133,1.6875102350371913,1.257107227285672,1.4300334536760118,0.8497924669724108,0.23162123069422458,1.9139588323442127,1.68571305831331,1.4356258802058397,1.5979294961899968,0.8208246577567266,0.37482199936037497,1.7093375695130562,1.7888101034251562,1.5902838367647032,1.8886460914339862,1.616938394099904,0.2552662463443838,0.8750058792032825,1.7961619910344833,1.8852847049343051,1.6858892257599838,1.7226439012046377,1.7707291075721625
m5.C4,0.4569821824266641,0.13417436215222933,1.1444197195727477,0,0.14414540023121536,0.9190270572603995,0.477640484585922,0.5343211730911439,1.0544789570745863,0.42464298317786187,0.9873729105868416,0.596120232802887,0.5097684960360909,0.1526695975902831,1.0685384481387161,0.4535822393905098,0.8517450875585286,0.18054140306958022,0.178262302465358,0.15899423596133944,0.5754546454619742,1.0893959694178128,0.9562432441259973,0.41480626727917935,0.24797633768465954,0.6183191006179363,1.0183547288201205,0.7863652041031197,0.593115474628304
m5.C5,0.8295973266885149,0.2342435215548243,1.546719462311652,0.14414540023121536,0,0.5280740651783099,0.1663554305552647,0.45361237884175587,0.7210907158379897,0.7662295579322013,1.4738972498728493,0.19604701120873158,0.31214601602642544,0.24582844326674835,0.662805184618239,0.794394550803201,1.3118199295600004,0.0771662353410314,0.023537770383132095,0.11253311005356914,0.19848769737931427,0.6688436718446886,1.457712178684536,0.7319491651424339,0.027590084539564907,0.20379326348979587,0.5770889971029904,0.45526336552702806,0.23991256899778468
m5.C6,1.6604684265115324,1.087369969305767,1.6234249019089133,0.9190270572603995,0.5280740651783099,0,0.20785445756026744,0.36461934238868743,0.16089069112351806,1.673984514933803,1.9720833932318915,0.14162168672882636,0.5614244291903496,1.2040963917101548,0.1461650937510729,1.7289161354894993,1.9423128982851023,0.7463655592638581,0.6488111911877891,0.9721913066408485,0.1727716612736495,0.10895699801123038,1.932953996669799,1.6693325551550229,0.5597742493387087,0.1428585719111357,0.08221580101935888,0.2640019058542674,0.37594693191870077
m5.C7,1.346518786490162,0.7102032283211882,1.6875102350371913,0.477640484585922,0.1663554305552647,0.20785445756026744,0,0.20995323198304705,0.2483567950739688,1.3264227145608973,1.80939529944525,0.040482553145361644,0.184362891449253,0.6220091684864488,0.2084488179175339,1.3439783087309647,1.75477595967665,0.3935354479954126,0.17631663881449933,0.38703561026264566,0.016579229016041253,0.21431585547344534,1.8337526799687665,1.2899151007413776,0.21135530792551227,0.020426251999507872,0.1573490445659096,0.1296764049275818,0.0611816706929047
m5.C8,1.3161161924569913,0.9678828681502816,1.257107227285672,0.5343211730911439,0.45361237884175587,0.36461934238868743,0.20995323198304705,0,0.21322793381940508,1.4932138006691185,1.6120029821991664,0.3146208407451512,0.307792222024577,0.8961539358793068,0.2116150437268437,1.5121913199594932,1.694074243136203,0.7943284546544893,0.4967582265517211,0.7155032215900015,0.24300622576494935,0.23109272123948665,1.650219590240853,1.4843161210592866,0.6096196507389496,0.27896461281487883,0.23060950796978663,0.18909969922086722,0.294750478955766
m5.C9,1.7463236495376537,1.3802404306857154,1.4300334536760118,1.0544789570745863,0.7210907158379897,0.16089069112351806,0.2483567950739688,0.21322793381940508,0,1.8570002182555991,1.8656006658221727,0.27410618667379305,0.42670040449832636,1.2634461479735593,0.014426275463588212,1.8611291802026473,1.962319335122019,1.0333345502898525,0.7287762329190381,0.998786359343772,0.23215300781980985,0.01739961030105619,1.9177954665488164,1.8346676675313733,0.7674489974677071,0.22442923981152485,0.023622010418454464,0.14859970194299832,0.27030217099513965
m6.C1,0.07137121639794197,0.15659691713807455,0.8497924669724108,0.42464298317786187,0.7662295579322013,1.673984514933803,1.3264227145608973,1.4932138006691185,1.8570002182555991,0,0.3495306668644391,1.3168556799124067,1.2111585704550585,0.31206252071894636,1.8248827551927151,0.008494977744391452,0.17342033731353257,0.49190571724603427,0.7735792738934484,0.5552165885608094,1.361445735837,1.8283660752281874,0.2896300670266371,0.007196913300795749,0.7452797479730748,1.3715632001757283,1.7722306542797082,1.5747654341610464,1.3689949605811975
m6.C2,0.11482420496403822,0.8120744933034509,0.23162123069422458,0.9873729105868416,1.4738972498728493,1.9720833932318915,1.80939529944525,1.6120029821991664,1.8656006658221727,0.3495306668644391,0,1.8703216545361778,1.4408812124935242,0.8474675014623188,1.8532743002952436,0.3086805959816872,0.047401962625507776,1.2960970862131425,1.4315336976455362,1.1700597003948834,1.8513795768461327,1.8854170097873406,0.02963837541638037,0.3777701735666644,1.5097971061394704,1.8844712945317743,1.9186357001750318,1.7371065993342332,1.7328998179863637
