cluster,m1.C1,m1.C2,m1.C3,m1.C4,m1.C5,m1.C6,m1.C7,m1.C8,m1.C9,m2.C1,m2.C2,m2.C3,m2.C4,m2.C5,m3.C1,m3.C2,m3.C3,m3.C4,m3.C5,m3.C6,m3.C7,m3.C8,m3.C9,m3.C10,m3.C11,m3.C12,m3.C13,m4.C1,m4.C2,m4.C3,m4.C4,m4.C5,m4.C6,m4.C7,m4.C8,m4.C9,m4.C10,m4.C11,m4.C12,m4.C13,m4.C14,m5.C1,m5.C2,m5.C3,m5.C4,m5.C5,m5.C6,m5.C7,m5.C8,m5.C9,m6.C1,m6.C2,m6.C3,m6.C4,m6.C5,m6.C6,m7.C1,m7.C2,m7.C3,m7.C4,m7.C5,m7.C6,m7.C7,m8.C1,m8.C2,m8.C3,m8.C4,m8.C5,m8.C6,m8.C7
m1.C1,26.576521060416642,-0.8725370013797441,-3.244674864851113,-1.2236470392612107,-0.6139773852498492,-3.461902225997456,-0.7176112641669378,-4.522092556027255,-1.5912157395589777,21.810631369442586,-3.9069798475281186,1.0128771616509826,-2.2784515254790754,-0.8670339513634044,27.75323103417476,-4.662015174758502,-1.0752816281739919,-0.6715601006472834,-1.4532890394404288,-1.715783117914999,-0.8137554445786668,-0.7097754426154821,-0.6957647525156422,-0.586810525310198,-0.8125985691081274,-0.517191036967192,-0.43464307406346697,26.14893183606138,5.0289634801030845,4.72668355864472,-2.0748358180320468,-0.6664567081327114,-1.8986078826891024,-1.625742645692806,-0.4872228839185012,-0.7998462164860463,-0.4064024808737863,-0.598325560075015,-0.9392742257217583,-1.3024774598844664,-1.094087502925444,-0.742748729837807,-0.5400476805459565,-0.24773125411199945,-0.3498255560666847,-1.2692954502116076,-0.4932477509378252,-1.684125732815778,-0.23940243842900202,-1.470646833045967,0.5574062039808946,-0.3725231016266467,-2.1597841617482727,-0.44210209656996863,-0.2458833334642288,-1.4144009812091352,1.0796824541192362,-0.3261063799334156,-1.1755675357233708,-0.8810412934202233,-0.6091672193513651,-1.9524120975059598,-0.41692746804643893,-0.323601036216526,-0.6589660832639551,-1.5611139013227786,-1.4022928303291182,-1.6315731801327833,-0.2994820236187552,-0.33708459421615633
m1.C2,-0.871036018426544,28.53886400343201,-2.1691652826912375,-0.8317357355619966,-0.41666819807086003,-2.2357704553181583,-0.5060569928507161,-2.879166130188559,-1.0434235341390865,1.6391094495844305,-2.589786523990564,-0.40188331253924275,0.02136886059421796,-0.57947854403856,3.7221530312223163,-2.98426160701567,-0.6903084849267818,-0.506687580886737,-0.936244990170482,-0.23428638434640175,-0.5627397374719498,-0.4790535905280792,1.6613268761109292,-0.3793250330956319,-0.594112603062062,-0.3383615301263344,-0.31738546966308123,1.012225150818112,-0.11470856424542239,2.3262982592951045,-1.7376092034299322,-0.4764840378603772,-1.251908789491693,0.7820740305332512,-0.33895629845372977,-1.0703398103005934,-0.2552656572474507,-0.4298093107245891,-0.6718919075640812,-0.8841805519369144,-0.7258008121240094,1.6644543473074425,-0.36096927215141716,-0.16649768754817595,-0.24128552504704245,-0.8671930112039021,-0.30781269999794086,-0.19277462446871138,-0.14990794721440492,0.13424096654262777,1.3713100837572076,-0.24128552504704245,0.05993676253928509,-0.3319145851314096,-0.1931503402583301,-0.9568449779224364,2.1288298945873017,-0.23069909235843145,0.5324621514583683,-0.6039078934381426,-0.4178475002458716,-1.259660627401952,0.750160040995542,-0.23170463739081454,1.7171694551244099,-1.0538659769215069,-0.9320564295981852,0.9073385249263831,-0.19864928507683702,-0.25439909022689466
m1.C3,-3.252439297044527,-2.086727466322698,27.997952334960658,-3.0101638404686866,-1.5132514835413329,-8.15150297622329,-1.6977151090510751,-10.917219398274737,-3.5742799340642564,-0.8615821607214625,-2.4100533271553015,-0.7541447816265979,-3.2928179531616943,-0.7443964708928196,-0.5955777443948567,-0.23439367732142175,-0.9509196338104062,-1.595462354880106,-0.11276269940340147,-1.5083204221317559,-0.1440764431036723,-1.03453197660757,0.46376559277970586,1.185211049978857,-1.3472981670877404,-1.0916951670948407,-1.0895505019141403,-2.1482523768356745,-0.41822606743035623,-0.3879680623725107,-1.2096314959681804,-1.6500262328957682,0.29774711679790067,-1.9538113904046501,-0.2249793661044807,-1.5790496213318364,-0.8971394350997034,0.19057449056191322,-0.6166446379571991,-1.435499460933168,-1.996145202374976,-0.8344159914726277,1.4420278196877294,-0.5179303789219056,0.5216210520380785,1.6917588676573865,-0.12700266129561572,-0.40699849263069576,-0.4973332972398717,-1.1953834742643357,-1.1950798718944615,-0.7985358942890953,2.5880742234365766,-1.0969234758139563,-0.5492826316168873,-2.1198420956723414,-0.5642240315892891,-0.7886389537570434,2.7172503035266646,0.8030420981605187,-0.612419556115307,-0.6762858182075814,-1.9547647433342097,-0.7086282628366758,-0.7933093057708654,3.057666824961692,0.037967334033640755,-1.15016655623398,-0.6396527926447568,0.45718012154449567
m1.C4,-1.1942688810675854,-0.8342466710584988,-3.04408701987562,27.894098522599304,-0.5812967676608827,-3.0958905179172858,-0.6931682264068896,-4.162283445109843,-1.3975047492418162,-1.179994312732273,1.351437811905853,-0.5941159848492555,-1.5622544808391816,0.6415013081268184,-1.0114328640290913,0.3652308478857755,0.15534318957822238,-0.6230580163287506,-0.5944903478167062,-0.9397698175403799,-0.792932064392189,-0.696514492145406,0.9151576206760548,1.3740657022036689,-0.8186333685088805,-0.44441843240426326,-0.43284768312364436,-0.8798235423044694,-0.17273173213782306,-0.5613922795250406,0.10271339634811971,-0.6744645205600869,0.7364108477748881,-0.8459914258060264,-0.4782011403089886,1.5001808246045283,-0.3429066759237671,-0.5718919650427742,-0.8987224975817477,-1.2831599576698471,-0.9676223835301804,-0.6171528547309817,-0.4991112146630833,-0.23472106555578762,-0.3483273606931687,3.210780228430723,-0.48239412839739804,0.46031477915650115,-0.19890790943460132,-0.6032068276540665,-0.742497677375763,-0.33287102030746346,2.3577752439421307,-0.4389141957404571,-0.24573347691249503,-1.2821916606554444,-0.5350285427578623,-0.37484538727728955,3.4467372433289354,-0.8236144702733339,-0.6105527330254857,0.09711676096178251,-0.8508426297572362,-0.32600091371755513,-0.6427726692710838,2.1863731007930873,-1.3332143528436238,-0.8386331574127179,-0.24856095256386423,2.734056207610546
m1.C5,-0.6200058847907827,-0.3920460249710294,-1.5170125985778242,-0.5995909807895434,25.685366530610402,-1.61233076154598,-0.3447356117783566,-2.113724402040226,-0.7007018371227302,-0.5991060645181246,0.7245304498722014,3.1216911470739706,1.042997579105823,-0.39609942444388707,-0.48669938222664083,2.5338368796871453,-0.5067464458038653,-0.34623016897963477,-0.634454440522849,-0.8710178739235487,-0.3880066170607692,-0.3407831460140593,-0.32980638054163486,-0.27093579444690546,-0.38244989524964373,-0.19890790943460132,-0.2244320563091638,-0.4499227716666208,-0.0839183893583972,-0.29077559511263734,-0.24603003966359194,-0.361606363748849,-0.8923896243828483,-0.7545123285958552,-0.2678423973892638,0.6885143650363746,6.374408230240897,-0.276738734345018,2.047550801795251,-0.6191465209844238,1.609295134375043,-0.3103484597187089,-0.21186587109636884,-0.1463865061850106,-0.16964014199999297,1.0990095906944355,-0.21442732917682844,-0.8180406348173781,-0.10540978824586653,-0.6453421002916925,-0.3802766516862981,-0.1463865061850106,0.10388218933283408,-0.20135079736722236,-0.0952504797098927,-0.6109471280109616,-0.2552656572474507,-0.15335550846133636,-0.5570241979507086,-0.39110923903760014,3.1413177173470554,-0.8743598663259327,-0.8163716240217557,-0.16649768754817595,-0.31104972963764377,0.7847804173075605,-0.6972024252823007,-0.7506876316597098,-0.1274515689939688,-0.1567340861794007
m1.C6,-3.325324428881842,-2.163455053920542,-8.076540877194496,-3.282326815455454,-1.5530069091343173,28.444804182453538,-1.9049838292309282,-11.405993681083457,-3.872343185427985,-2.6583188670828504,14.412322200757963,-0.02595071642832214,-2.2049342169741974,-1.4997028191248591,-2.1131957536233297,5.172913853795446,7.627424805637804,1.195849427001839,-0.34608674314847476,-0.5608261888920548,-1.451837819781917,-1.0876142320941922,1.0805092125409785,1.0444129733043723,-0.2418883271431226,-1.1657441660453611,3.207436553390938,-2.257507168419337,-0.45234329643681614,-0.5869161233088792,0.08896789879590304,3.2478899921785263,11.288666932877977,1.3492431861370449,0.6919745401370749,4.214597619506569,-0.9254566021997369,0.9566190099186737,0.9181283066848757,-2.024436007218054,1.7208235113246675,-1.5623220511705118,1.3911038912100835,-0.509975931515403,0.36066010080681293,-0.05306110298946434,-1.1265217019261458,-1.8263708269457959,1.4330872293087038,0.6154746218876721,-1.2434003731470658,-0.8119111735772634,-0.8876879519650983,-0.02146081237822789,-0.5944628504057551,2.00635490854629,-0.5969437584523112,-0.7750105024629652,-0.7301927361496808,0.5922459983019069,-0.7354905392912715,-0.3929075665266303,0.43187560845334866,-0.726650028877831,-0.8754894138237932,-1.123157181155794,-0.1902864217038142,1.7756091076168825,-0.7032439899889467,1.4401557398510016
m1.C7,-0.739204180640944,-0.49726901589923767,-1.8511081721337295,-0.6470547520720892,-0.3359936908434424,-1.8749158976954041,28.539296096231524,-2.435969853890857,-0.8444125073110708,3.761936837943026,-0.11668423506379269,-0.3651110652116124,-1.239762440204981,1.7308723953252154,3.274948358780693,-0.40641023059604386,-0.6085515966753432,2.5010363945537883,-0.7709928508419608,-0.9669769058255016,-0.46295190688138044,-0.37675287233405597,-0.37777544350352593,-0.3383615301263344,-0.49823128627859714,-0.2722184789431255,-0.26829914971867097,-0.5223667704533433,-0.0952504797098927,2.565491104090901,0.25377145833887366,-0.3819906416793415,-1.0619885612072482,-0.9017377630538325,3.389866052175539,0.35588329458353046,-0.21463964444623523,-0.34395149596846847,-0.5349150625894751,3.8393206176891863,-0.5605192397962966,-0.375925710960113,-0.287485162893328,-0.11015263609585745,-0.22021613390273645,-0.7493083710249344,-0.27009685297147923,-0.9087096461645499,-0.1390993308869996,1.831067508088678,-0.46172086853520744,-0.19864928507683702,-1.2415961275893033,-0.2788201514776417,-0.13532039373761615,-0.7394227589256297,-0.33128380102073945,-0.19864928507683702,-0.6672469058054435,-0.46831100167949896,-0.35984721602812764,-1.0405142805374838,-0.9593511388487204,-0.16004806970215107,-0.3994180368464707,-0.8786909535201255,-0.7921210142505906,-0.9363305441677848,-0.1637308051674718,-0.1903501001359381
m1.C8,-4.399281345264171,-2.8820681585878365,-10.766274184624013,-4.302395112340342,-2.0469433379375457,-11.15669743147207,-2.3992910625120425,27.682196777478758,-5.330573552992006,-3.5733593090753075,-7.620792358515499,-0.7538324761776418,3.3127663663106968,-0.5202410040856621,-3.1317691027643275,-3.7045720400003055,-2.3489610086505692,-0.2551523829296904,-0.7660441161003552,4.7487070671949505,-1.0539813908054672,0.6456034989136645,-0.3956523660761618,-0.3309397630393836,0.9098335798270099,0.24036708427345987,0.424570680102024,-2.7639153784042496,-0.552428769790193,-1.7463637794972267,-2.5151596217155405,-0.2486319709001881,-3.8541875106104277,0.14476405171980442,-1.641380958008511,-1.5095639161585463,-1.1533940629631316,-0.47852875357967956,-0.6235329702910516,2.855299683488671,0.36568167875098645,-1.3528342849278259,-1.4986316200494147,0.9371562738405773,-1.0062905116806293,-1.50698879525037,0.9550887860028809,0.7251436527397775,0.9541609580008108,6.375437086617035,-1.72453259481615,-0.9910571023813275,-0.10085637677384669,-1.2982247032505563,-0.7136770064339668,5.55444124860181,-0.3532014923936116,-0.9293526073183178,-1.0237827638424977,-1.5548104579865163,-1.077227634424224,0.15881793572225364,5.746405739010619,-0.8738239383445763,-0.747110404857759,-2.402610193808791,0.8945434995872948,3.7085474334538016,0.46966428560334383,-1.0169297139125766
m1.C9,-1.5595705438277803,-1.0203128211011885,-3.691671831964824,-1.4593924248551964,-0.6940551753158315,-4.099254770313899,-0.8826104121139497,-5.2028642307134065,27.20543519492759,-0.7204242103167009,0.20571544113165968,0.5704844695628957,0.0822635489396553,1.2684472787269878,-0.3634440755750435,0.7964649180726124,-1.176571156062004,1.7105732613582565,1.0333978858858477,-0.9174703474945252,0.12077315720885277,-0.8002817102122288,1.692533069340437,-0.6931682264068895,-0.977168548579054,3.068574510849659,-0.5073342334853271,-1.1089040600685307,-0.1931503402583301,0.7877566394717651,2.0721258535508125,0.501027382660276,-1.2083921508039865,-1.8616516707760105,-0.5857237815323924,2.5235720081658526,2.20248252651607,0.8404602452587093,-0.10453445609117686,0.6342491111085492,-0.348314450642509,0.5206613723978006,-0.5932161098294821,-0.2481575946466719,-0.43951882278249527,-1.4703832701917279,-0.5380158266111791,-0.1727549882218821,-0.2658168360137673,-0.9793614055115288,0.34551804774594247,-0.38266594407616195,-2.6355921895584333,-0.49800288364049544,-0.31691108808880475,1.0918539004673173,0.7112646307390509,-0.37593107911197643,-1.3970615764106407,-1.0433169174861863,-0.6945470707062791,-0.10798184241800049,2.1025276949296945,-0.37428974317489383,0.5827821903280695,-1.2677055345870603,-0.30150374937693764,1.0365055427944039,-0.29928932011640674,-0.4221437493894636
m2.C1,21.227932688642873,1.6900067188724837,-0.8692384403365075,-1.1843725914627257,-0.5803879107676694,-2.7339720908689307,3.616632756155144,-3.589767079399726,-0.7116700618221014,22.8672465725585,-8.968052440616152,-0.9228593636646276,-3.3639129652725583,-1.203029586867667,29.11197378673395,-6.452151462986918,-1.2090342926678115,0.3892650921921307,-1.7333068060638546,-2.1806994200954906,-1.0047283319280993,-0.943520084045362,-0.821424075859601,-0.7147132272965945,-0.9989686647396898,-0.570435676524493,-0.5330907769673598,21.63503299785487,4.18341965382389,7.6171776190123985,-3.641862781418522,-0.870381597732138,-2.5286565058079686,-2.2635309715225067,-0.6848549053106036,-2.0415533359664386,-0.4723009401972835,-0.8096757581692788,-1.1959370049008455,-1.0204371586266985,-1.3753038163715394,0.5210523114419332,0.9770517903604631,-0.2736937333322852,-0.42537002432225623,-1.5101690533803496,-0.5864408297634774,-2.0458744096602612,-0.26184184037448216,-0.4228380801919598,2.571439214544408,-0.3968347672675811,-2.1766122140635167,-0.5361256471539592,-0.31373226304644747,-1.597356256855589,3.5961726627671413,-0.3963883998874072,-0.615299684905804,-1.0062575789232286,-0.7025690940372504,-2.399158394850386,-0.9233064734785014,-0.34201288314110984,1.8064663311308613,-1.849905498610893,-1.545899918610354,-1.4114820432617194,-0.33376124730658013,-0.4028071099315843
