label1,label2,overlap,z_score,neg_log_p,correlation,significant
m1.C2,m1.C1,0,-0.871036018426544,0.41596916827962993,0.8399547171784183,FALSE
m1.C3,m1.C1,0,-3.252439297044527,2.9415017280724065,0.6716304050991687,TRUE
m1.C4,m1.C1,0,-1.1942688810675854,0.6338146970501097,0.5344425283658979,FALSE
m1.C5,m1.C1,0,-0.6200058847907827,0.2714401494254422,0.6369545591223926,FALSE
m1.C6,m1.C1,0,-3.325324428881842,3.0539620679066535,0.6876694391497652,TRUE
m1.C7,m1.C1,0,-0.739204180640944,0.3374470689880203,0.595495282851499,FALSE
m1.C8,m1.C1,0,-4.399281345264171,4.964130402123604,0.06391616287727164,TRUE
m1.C9,m1.C1,0,-1.5595705438277803,0.9249591516218504,0.07340849872610278,FALSE
m2.C1,m1.C1,0.7714285714285715,21.227932688642873,99.27792897632288,0.9313188647797128,TRUE
m2.C2,m1.C1,0.05714285714285714,-3.901379641898437,4.019333126881138,0.6209268408923075,TRUE
m2.C3,m1.C1,0.09090909090909091,1.0053480911738923,0.5020628715049769,0.6452419400000066,FALSE
m2.C4,m1.C1,0,-2.2798944236686887,1.645623555590884,-0.3570043967257679,TRUE
m2.C5,m1.C1,0,-0.8831566373923302,0.4234839918486147,0.5279888317824311,FALSE
m3.C1,m1.C1,0.8285714285714286,26.361872059592482,152.42576450512647,0.9688149504484859,TRUE
m3.C2,m1.C1,0.02857142857142857,-4.793517299352571,5.785467895978867,0.5049236336167301,TRUE
m3.C3,m1.C1,0,-1.0487909774471043,0.5312476189753457,0.6324963055739338,FALSE
m3.C4,m1.C1,0,-0.6551988137437995,0.2904419411933821,0.7998692867726241,FALSE
m3.C5,m1.C1,0,-1.4187740792478079,0.8069731512678406,0.045821521642200436,FALSE
m3.C6,m1.C1,0,-1.6453095082535378,1.0004084286701664,-0.8339852292737888,FALSE
m3.C7,m1.C1,0,-0.8748211452199486,0.418310575513096,-0.4631731548329341,FALSE
m3.C8,m1.C1,0,-0.704045963809786,0.31749017033859794,-0.3748114646436702,FALSE
m3.C9,m1.C1,0,-0.6614033835871467,0.29383404820882714,-0.374681331499916,FALSE
m3.C10,m1.C1,0,-0.5637397400466201,0.24189747554330315,0.022744084273242815,FALSE
m3.C11,m1.C1,0,-0.8883651921706602,0.4267287260032025,-0.4282620984667054,FALSE
m3.C12,m1.C1,0,-0.46600935300805507,0.1930005220671266,-0.2688800785348002,FALSE
m3.C13,m1.C1,0,-0.45237001147475764,0.18641737895922228,0.16195549313291058,FALSE
m4.C1,m1.C1,0.96,26.708107017039474,156.4214268685103,0.9924989412892886,TRUE
m4.C2,m1.C1,1,5.172136889139729,6.6355767165420705,0.7097242546542423,TRUE
m4.C3,m1.C1,0.3,4.881838264142951,5.978391315827526,0.8671790536042896,TRUE
m4.C4,m1.C1,0.02857142857142857,-2.218309451129495,1.5762015273283139,0.4236934908161024,TRUE
m4.C5,m1.C1,0,-0.6770169672513615,0.3024261584654937,0.5446056892586155,FALSE
m4.C6,m1.C1,0,-2.00380648625359,1.34591211944949,0.6724620373852676,TRUE
m4.C7,m1.C1,0,-1.6374012239102331,0.9933343451394193,-0.21247933445323874,FALSE
m4.C8,m1.C1,0,-0.5157757239540773,0.21751944999444423,0.7413636990610054,FALSE
m4.C9,m1.C1,0.02857142857142857,-0.8638614091956487,0.4115444955269521,0.3137737916261727,FALSE
m4.C10,m1.C1,0,-0.34215756313755674,0.1353511059477072,0.10682343043958853,FALSE
m4.C11,m1.C1,0,-0.5857493796583748,0.25333159949619166,-0.2565155353407078,FALSE
m4.C12,m1.C1,0,-0.9739581274669108,0.48138430205093713,0.03007078479723002,FALSE
m4.C13,m1.C1,0,-1.354687904249473,0.7556807800241645,-0.6408175401392882,FALSE
m4.C14,m1.C1,0,-1.0623215588493404,0.5404722227317975,-0.3743221089160518,FALSE
m5.C1,m1.C1,0,-0.6804300690773655,0.30431506952251336,0.9524096913886156,FALSE
m5.C2,m1.C1,0,-0.5307430654711277,0.22504761609600163,0.8560816031946885,FALSE
m5.C3,m1.C1,0,-0.22513280379709635,0.08519372137965242,0.251554519405063,FALSE
m5.C4,m1.C1,0,-0.3644628955092545,0.14538284978919158,0.6473583266328665,FALSE
m5.C5,m1.C1,0,-1.3340517598412298,0.7394828682889989,0.36980271103318696,FALSE
m5.C6,m1.C1,0,-0.5013009709129403,0.2103069765426271,-0.5494436424683404,FALSE
m5.C7,m1.C1,0,-1.6813404760383976,1.032935257219039,-0.17637957038400542,FALSE
m5.C8,m1.C1,0,-0.24237218353600834,0.09232438790257419,-0.3053669273622237,FALSE
m5.C9,m1.C1,0,-1.4732189039276613,0.8517305368988553,-0.7225183981434384,FALSE
m6.C1,m1.C1,0.02857142857142857,0.5684714934084194,0.24434245493496237,0.9832593208646034,FALSE
m6.C2,m1.C1,0,-0.36138309520398565,0.14398863014181584,0.6891138499839532,FALSE
m6.C3,m1.C1,0,-2.1138953616755924,1.4618763070888183,-0.3590275951302062,TRUE
m6.C4,m1.C1,0,-0.4648292255505715,0.1924286084627916,-0.14476673227330505,FALSE
m6.C5,m1.C1,0,-0.2370706800004814,0.09012213554980697,0.7162226218679922,FALSE
m6.C6,m1.C1,0,-1.3607283395668026,0.7604513917210944,-0.806633964880825,FALSE
m7.C1,m1.C1,0.02857142857142857,1.1134331378479037,0.5758987541345566,0.9959843611599923,FALSE
m7.C2,m1.C1,0,-0.3393607174706094,0.13410399322651131,0.8409331898291856,FALSE
m7.C3,m1.C1,0,-1.2037370397929177,0.6407504874016657,0.4645779133619501,FALSE
m7.C4,m1.C1,0,-0.8965559907840619,0.4318500532764993,0.25245158892110364,FALSE
m7.C5,m1.C1,0,-0.6141156238111478,0.2682993119854623,0.5179606348209299,FALSE
m7.C6,m1.C1,0,-1.9705928406126356,1.3118430929568257,-0.3764665978439028,TRUE
m7.C7,m1.C1,0.05714285714285714,-0.4053442091586961,0.16416710824455188,-0.8234845770016015,FALSE
m8.C1,m1.C1,0,-0.3092425251102883,0.12082550266292044,0.7101049856025606,FALSE
m8.C2,m1.C1,0,-0.6593118795825813,0.2926891875145764,0.9905102906013227,FALSE
m8.C3,m1.C1,0,-1.5978187416733756,0.9582784716286632,0.24397730176364074,FALSE
m8.C4,m1.C1,0,-1.4000302758335705,0.791816038195031,-0.3907985848145028,FALSE
m8.C5,m1.C1,0,-1.5697596198217776,0.9337820276025041,-0.7709138400217386,FALSE
m8.C6,m1.C1,0,-0.287485162893328,0.11140446760088779,-0.5443375047508845,FALSE
m8.C7,m1.C1,0,-0.40640248087378633,0.16466024099011298,-0.28334471653595816,FALSE
m1.C3,m1.C2,0,-2.086727466322698,1.4328232809851544,0.7857317489825723,TRUE
m1.C4,m1.C2,0,-0.8342466710584988,0.3934660174969689,0.6450359652982784,FALSE
m1.C5,m1.C2,0,-0.3920460249710294,0.15800006891480595,0.38515127401944305,FALSE
m1.C6,m1.C2,0,-2.163455053920542,1.5156119278636377,0.5350858787800958,TRUE
m1.C7,m1.C2,0,-0.49726901589923767,0.20830980128772447,0.37172848641136536,FALSE
m1.C8,m1.C2,0,-2.8820681585878365,2.4033212599144664,0.19804171893805922,TRUE
m1.C9,m1.C2,0,-1.0203128211011885,0.5120417313879265,-0.18148309712915678,FALSE
m2.C1,m1.C2,0.125,1.6900067188724837,1.040831348268359,0.9219836133784869,FALSE
m2.C2,m1.C2,0.0625,-2.6764795076004337,2.1284263907241185,0.7398951238868215,TRUE
m2.C3,m1.C2,0,-0.44865850166849836,0.18463611470509755,0.5860457720842241,FALSE
m2.C4,m1.C2,0.125,-0.053190747481921985,0.018824966000798034,-0.18260694845670367,FALSE
