cluster,m1.C1,m1.C2,m1.C3,m1.C4,m1.C5,m1.C6,m1.C7,m1.C8,m1.C9,m2.C1,m2.C2,m2.C3,m2.C4,m2.C5,m3.C1,m3.C2,m3.C3,m3.C4,m3.C5,m3.C6,m3.C7,m3.C8,m3.C9,m3.C10,m3.C11,m3.C12,m3.C13,m4.C1,m4.C2,m4.C3,m4.C4,m4.C5,m4.C6,m4.C7,m4.C8,m4.C9,m4.C10,m4.C11,m4.C12,m4.C13,m4.C14
m1.C1,28.318439024998167,-0.9692688696380092,-3.2001796597041543,-1.2424778573833657,-0.6502703158736699,-3.3934202189393377,-0.7170987121747473,-4.295874075084042,-1.6112250351973494,21.612179262715156,-3.938713950220476,1.0167278955572228,-2.3290855001489064,-0.8388621740214507,27.195724206266963,-4.605065288145188,-1.0107611901982312,-0.7112446157106934,-1.4805817411106763,-1.705671786172113,-0.838317264209022,-0.7298247480841147,-0.6925594446474872,-0.5966846422672019,-0.8641145288673496,-0.44585356935180265,-0.4694568082874331,26.26627310582086,5.248224189462293,4.839305149877058,-2.103018940444627,-0.692566501689062,-1.864793128670689,-1.7064032838694525,-0.5117678016884858,-0.8390205551245785,-0.3526455191044119,-0.5786381956133804,-0.9845633665086708,-1.316487565519683,-1.0504967398582796
m1.C2,-0.8348213228947893,27.230428940627377,-2.2287650271649206,-0.8562502131733112,-0.4448504371645841,-2.2857409859992357,-0.5256606785143533,-2.9732882256010384,-1.030417513157521,1.5935436244055856,-2.5671144968230766,-0.4532364444383963,-0.015855093691739267,-0.5999635352811795,3.6113131421450158,-2.818834370475218,-0.7181874156550876,-0.451013419693928,-0.93866327816589,-0.2460256319309621,-0.5676873102115517,-0.4821144717461327,1.7431530874623964,-0.398482818282668,-0.569602589978581,-0.3188100651188504,-0.3092425251102883,1.0316928861790715,-0.1274515689939688,2.2932982292353943,-1.6796224834773366,-0.4513228886136643,-1.2234143691324506,0.8995737922472835,-0.34502471926010236,-1.010605187496807,-0.25530587905000673,-0.40368538655701847,-0.6295807341607955,-0.8802244185670698,-0.704615622272876
m1.C3,-3.2669107250763263,-2.2138161603568594,27.11102442478627,-3.0170834699275715,-1.5928808738427767,-8.006865834637063,-1.7661670182141869,-10.548933982887345,-3.629667199266783,-0.8962614304125042,-2.5402780130344746,-0.7926799631798639,-3.286169578671501,-0.6850684883166768,-0.551125002334196,-0.28938776122868065,-0.9687119313371313,-1.541342915125831,-0.10047765613245524,-1.4840293008725791,-0.15022828208264774,-1.0262036782417334,0.42848449641446806,1.2521521778305862,-1.3809399508628089,-1.1015966259827574,-1.0402019199709749,-2.257979824609944,-0.44107639598687914,-0.5104150077553186,-1.1898443459003707,-1.6588253557519885,0.4238363899977338,-1.894543275488308,-0.19670197923143848,-1.6388347200807516,-0.8644524143102975,0.29195967771735,-0.5246338614265051,-1.4649635226380202,-2.0265348586328074
m1.C4,-1.287938870097474,-0.8005209531821108,-3.0829207574081536,27.42961688185025,-0.6228698225409602,-2.9918308876442516,-0.658308331180178,-4.018772425023551,-1.479252936024633,-1.214127291362194,1.273074243191861,-0.6361456801720606,-1.5933043643989675,0.5347730175991702,-1.0300098681630518,0.34055874316369505,0.08496771266264581,-0.6575222098687142,-0.5615006289312544,-0.9723196308057972,-0.7895298311751604,-0.6793491105004001,0.8787540579245092,1.2290459528903113,-0.8142383992023152,-0.4720285238416853,-0.45071179622883034,-0.8983734478672454,-0.1567340861794007,-0.5668702411493761,0.08627126729940095,-0.6298750465429043,0.6831649037489306,-0.8761342713146305,-0.5186202436501572,1.517891517052988,-0.33164738940751354,-0.536538114241099,-0.8874309090493299,-1.2392343455016073,-1.0115699532683002
m1.C5,-0.6309922961415001,-0.4178475002458716,-1.5240178926866408,-0.6001302737775045,30.400286190704822,-1.53373548564704,-0.3590309538277328,-2.0810046843496304,-0.719705321813677,-0.5982409783775368,0.7362295709180714,2.7479198849798214,0.9793851676427908,-0.3873695760207618,-0.5117678016884858,2.681091629403964,-0.48119367216363246,-0.3474022042478565,-0.6572136956861375,-0.8466646863040118,-0.3720270456874267,-0.3286436052465174,-0.32172816100074325,-0.2673718200118101,-0.40504863227843624,-0.222159637247412,-0.2244320563091638,-0.44548160181895274,-0.0897577384569332,-0.30276306851856327,-0.27513054998180647,-0.3116638712937669,-0.8569578715553472,-0.807159111905782,-0.2584969778888394,0.656953902661023,5.683396871590088,-0.29907537527013767,2.02461204701116,-0.6021178036989225,1.6020448446031959
m1.C6,-3.417940715614252,-2.2316288057783824,-8.30593883596988,-3.1157842450422812,-1.5569798834492508,26.630912940817307,-1.9136857478167577,-11.180008060620631,-3.9546225345076245,-2.6916292260345887,14.846170094134731,-0.12451141140903357,-2.1661789508913243,-1.466770675817248,-2.1519614642005145,4.911525967512965,7.6036163851537015,1.1313625835790557,-0.24966179167061403,-0.6217754179387783,-1.488405527396604,-1.0662872839957787,1.1162588302001646,1.06668128450804,-0.2348298136529469,-1.172745564543511,3.0977851179104707,-2.30124898045131,-0.4231619521363529,-0.5738962739780431,0.01149785624850163,3.3459302521080856,11.857089413032623,1.47176607575658,0.6590613552992931,4.135644061705122,-0.8673148561860082,0.8762300425673426,0.9427546374065002,-2.0344639376337437,1.7201488601200083
m1.C7,-0.7634580173663695,-0.47785784204741955,-1.8331559448735595,-0.682942549369861,-0.3738001611733105,-1.87826840185818,28.57056972739578,-2.454632679624687,-0.8611315820127949,3.902894739009949,-0.08318908696656134,-0.3091367343727802,-1.2869468761172367,1.627705244831063,2.7936000544222703,-0.3827361371412377,-0.6005920914953123,2.2514941792709946,-0.7792387819763031,-0.9889510579347025,-0.42474663606958235,-0.4074151340157435,-0.39353523225865766,-0.33895629845372977,-0.45860995781768343,-0.27421442045796346,-0.276738734345018,-0.5479002843637284,-0.11909905196305715,2.623871464523884,0.2111499862035253,-0.38601682175124213,-1.033279428069007,-0.9337727305361881,3.8228928750064175,0.40902364382994416,-0.19591625141905267,-0.3212521358599833,-0.5340416985773744,3.527803416441843,-0.6103687298508444
m1.C8,-4.4201302126538105,-2.9890744603374984,-10.786196655843755,-4.05092833416912,-2.04035578344382,-11.123014211809755,-2.5669620664100194,27.885202355670707,-5.302658981481924,-3.6720671344192506,-7.347344869281006,-0.7691411929103014,3.374765792132322,-0.5386001606476905,-3.3784412007859475,-3.6534509030511146,-2.2899759724123108,-0.26061487332787553,-0.8186046368862387,4.694534008426502,-1.0979901566540635,0.641425097350836,-0.3807837130504202,-0.3257545645993768,0.9642108748772822,0.2407056780690091,0.4284468743995115,-2.887011780118496,-0.5508876326739566,-1.735593349202995,-2.509834926963812,-0.3099647339459522,-3.7717348209280894,0.15905705634586179,-1.5542411780327479,-1.3582878757513641,-1.1299704934270967,-0.4424432013735393,-0.7113538450832178,2.7781880393835223,0.3898738278193056
m1.C9,-1.5595830395742767,-1.0191477873765191,-3.770776095043343,-1.478044037843123,-0.7235943041618477,-3.8836476152882087,-0.8577918172684111,-5.252231026181052,28.63543457252561,-0.6633657969991831,0.21567534165581267,0.6488769128096745,0.11507026144339166,1.2363642177355385,-0.3436994958880563,0.866952495015829,-1.1884878969711046,1.9159138170151273,0.8583846731889713,-0.8781894410909027,0.12470765075414128,-0.8039118291900939,1.7967318549955207,-0.6666144817369073,-0.9802084652042687,3.122580097405591,-0.5181287310707121,-1.0462944530680223,-0.21186587109636884,0.9293808096262237,1.9977314615559214,0.5503602787361784,-1.2225157190228348,-1.9258234989143581,-0.5984116060858692,2.4734561032604896,2.0469153670844875,0.7486826251070157,-0.14905285360820295,0.7091732227344406,-0.3099598987766153
m2.C1,22.17973263874155,1.6580576158088813,-0.9812973683893608,-1.157482988994169,-0.5937805710071484,-2.7392427635507026,3.6991805166882954,-3.6127967887400074,-0.7012902614059949,24.05002681519503,-9.01038578499595,-0.9479770282358181,-3.5659468275756945,-1.1789674975476532,26.864893430785724,-6.582813726360778,-1.2762294223994926,0.4287530176979628,-1.7626575119453156,-2.1764000204970446,-1.03670455662049,-0.8959617613204998,-0.8398088518298992,-0.6957647525156421,-1.0782711107089058,-0.5833407546947104,-0.5871483617802694,20.90852242561393,4.551745962193829,8.01423998958425,-3.6287325850109093,-0.9412504749614258,-2.5415864900675786,-2.2198560743836726,-0.6964465507634916,-2.1232184867714747,-0.4718230370296203,-0.8270575244677257,-1.2295846557224417,-1.0838328257108392,-1.3633066549023813
