mouse,lag,mumax,LOG10N0,LOG10Nmax
m1,7,2.7248640285807717,-3.993160139618816,-0.28919182344314387
m2,3,0.6360277513220188,-3.479242194799915,262.83125473212186
m3,3,0.6363202931200813,-3.59401003085829,109.8736318092482
m4,7,5.342765105347472,-3.439738015173062,-0.31146338664169193
m5,3,1.1461304108548938,-6.151639023876916,37.337257418896996
m6,3,0.5730983235055889,-3.1958358087749152,52.12582068667973
m7,7,1.8825196507867732,-3.394175416868017,-0.25354240858217475
m8,-7,0.3058135833530595,-2.9960038692935806,147.73505396733808
