window,kpca1,kpca2
1,-1.2550450889027305,1.6567462894166
2,-0.9063294106560611,2.1967237916843207
3,-1.7518163004733602,0.13072861407320968
4,-1.890385198783397,-1.1598967286482407
5,-1.7262068092074925,-1.5280177993071868
6,-1.895637413729463,-1.2414074093380212
7,-0.42496107864898,2.947132131064766
8,-0.3378148733036891,2.6612175325599448
9,-1.9903741969188369,-0.7990033234954435
10,-1.9257468060740837,-1.0078765370086393
11,-1.659217099291883,-1.0414166138885386
12,-0.1880396099675582,-0.8879812493315348
13,2.846115033319196,-0.3630708303634331
14,3.2007599850347384,-0.38823756463465614
15,3.3439225900441367,-0.3987931263635366
16,3.3367636237263096,-0.3987336474243427
17,3.224012653833153,-0.3781135289952672
