window,lambda_full,lambda_without,delta_lambda,role
1,-1.7850000789521616,-1.6151679600573974,-0.16983211889476424,Stabilizing
2,-2.6993450144484337,-2.414389466883216,-0.2849555475652177,Stabilizing
3,0.17263290568873174,0.19519893497033447,-0.02256602928160273,Stabilizing
4,-1.3722584210913136,-1.0489364618021002,-0.32332195928921337,Stabilizing
5,-1.8235296245842394,-1.359086821930666,-0.4644428026535734,Stabilizing
6,0.03213227203903002,0.041737461592262035,-0.009605189553232016,Stabilizing
7,-2.053365940910628,-1.3347086064335663,-0.7186573344770617,Stabilizing
8,0.4683896381031772,0.2500654216768604,0.21832421642631678,Destabilizing
9,0.08216061819841385,0.027069787046402245,0.055090831152011605,Destabilizing
10,-1.7629980502759564,-1.0613295213731504,-0.701668528902806,Stabilizing
11,-1.6324689588014736,0.004576723040896631,-1.6370456818423702,Stabilizing
12,0.02045523419446981,4.7306179647059656e-5,0.020407928014822753,Destabilizing
13,0.002684063414594738,5.479991552855607e-7,0.0026835154154394524,Destabilizing
14,1.853660434559981e-6,1.3849770457334875e-6,4.686833888264936e-7,Destabilizing
15,-0.7063317625469627,-0.73131089699883,0.02497913445186728,Destabilizing
16,-0.6276608356219623,-0.6529550019810475,0.025294166359085213,Destabilizing
17,6.555830327301127e-4,6.429797656196104e-4,1.2603267110502365e-5,Destabilizing
