window,species_i,species_j,strength,strength_ji,pair_directional,interaction_type,group,mouse,lag_strength,delta_strength
7,C1,C1,-0.0506844034416308,-0.0506844034416308,C1→C1,competition,C-C,m1,0.07286703700793767,-0.12355144044956848
4,C1,C2,0.28203178831214604,-0.108270505296892,C1→C2,antagonism,C-C,m1,-0.21214473912940096,0.494176527441547
4,C1,C3,0.4597003302348253,-0.11365120276273692,C1→C3,antagonism,C-C,m1,-0.1839767510617739,0.6436770812965993
4,C1,C4,0.31778033985967574,0.00286919531226815,C1→C4,mutualism,C-C,m1,-0.31478376744577946,0.6325641073054552
4,C1,C8,0.1366865076588072,-0.13963727511730692,C1→C8,antagonism,C-C,m1,-0.27031851265733386,0.40700502031614105
17,C1,Lachnospiraceae,0.1553461601263631,0.11418688152260852,C1→Lachnospiraceae,mutualism,other,m1,0.20594466739719905,-0.05059850727083595
9,C1,Paenibacillaceae,-0.21642229357259815,0.05517587230329029,C1→Paenibacillaceae,antagonism,C-focal,m1,-0.10796736733657164,-0.10845492623602651
4,C1,Ruminococcaceae,-0.3850835302552151,0.07534726026353515,C1→Ruminococcaceae,antagonism,other,m1,0.20949624373546477,-0.5945797739906798
3,C2,C4,0.09996659076295852,0.09966878736310376,C2→C4,mutualism,C-C,m1,-0.2339284476513648,0.33389503841432333
17,C2,Lachnospiraceae,0.16904855872414246,0.1654905399861476,C2→Lachnospiraceae,mutualism,other,m1,0.2210527506380743,-0.05200419191393185
3,C3,C2,0.18997703956445997,0.01138537851122392,C3→C2,mutualism,C-C,m1,-0.24179429841381836,0.4317713379782783
3,C3,C3,0.21957993328003267,0.21957993328003267,C3→C3,mutualism,C-C,m1,-0.1779646669778802,0.39754460025791283
5,C3,C3,-0.36305912425434383,-0.36305912425434383,C3→C3,competition,C-C,m1,-0.03952763567396021,-0.3235314885803836
3,C3,C4,0.4748739250473787,0.04811423792587277,C3→C4,mutualism,C-C,m1,-0.25184123249953294,0.7267151575469116
5,C3,C4,-0.19428999889938267,-0.4231636792740146,C3→C4,competition,C-C,m1,0.16255626190433844,-0.3568462608037211
5,C3,C6,-0.5250318778611488,0.16256415357141626,C3→C6,antagonism,C-C,m1,-0.14767461158355918,-0.3773572662775896
3,C3,C8,0.10758417430113848,-0.27731604582297886,C3→C8,antagonism,C-C,m1,-0.3844504699322165,0.49203464423335497
17,C3,Lachnospiraceae,0.2881730794563705,-0.04819064749733617,C3→Lachnospiraceae,antagonism,other,m1,0.3378387834191271,-0.0496657039627566
3,C3,Paenibacillaceae,0.11175864977334277,-0.29007386647458383,C3→Paenibacillaceae,antagonism,C-focal,m1,-0.31999897024946755,0.4317576200228103
9,C3,Paenibacillaceae,-0.42574076371005865,-0.18702929534215065,C3→Paenibacillaceae,competition,C-focal,m1,-0.32465144483302466,-0.10108931887703398
3,C3,Ruminococcaceae,-0.3872931581883067,-0.28217828075158197,C3→Ruminococcaceae,competition,other,m1,0.12647708590652554,-0.5137702440948322
12,C3,Ruminococcaceae,0.12120509609696097,0.3643328545200181,C3→Ruminococcaceae,mutualism,other,m1,0.190165605112175,-0.06896050901521404
5,C4,C1,-0.31824303604188725,0.4509035124863737,C4→C1,antagonism,C-C,m1,0.00286919531226815,-0.3211122313541554
2,C4,C2,0.2111176707997553,-0.2339284476513648,C4→C2,antagonism,C-C,m1,-0.02163919500368,0.2327568658034353
5,C4,C3,-0.4231636792740146,-0.19428999889938267,C4→C3,competition,C-C,m1,-0.09715758003703884,-0.32600609923697577
2,C4,C4,0.2269358407968189,0.2269358407968189,C4→C4,mutualism,C-C,m1,-0.00621352177393753,0.2331493625707564
5,C4,C4,-0.3738951806172798,-0.3738951806172798,C4→C4,competition,C-C,m1,-0.04562897933451809,-0.3282662012827617
2,C4,C6,0.2516514297801105,-0.25105837039531853,C4→C6,antagonism,C-C,m1,-0.02403501618509272,0.27568644596520325
