window,kpca1,kpca2
1,-0.4802795091267375,-0.08771889609375713
2,-0.4995242648047177,-0.3762099474753108
3,0.46122303811369053,-0.6545985012127059
4,0.7487469665996827,-0.04624524493762468
5,0.48483625461093227,0.14587209397853232
6,0.30498940745728975,0.18455778008025744
7,0.15994460019440818,0.17497887767619577
8,0.05326719758884106,0.16910110152702187
9,-0.03130152716823238,0.15640792986577634
10,-0.10931307012623516,0.12459430518174515
11,-0.16086078433653128,0.10203147210463936
12,-0.20877885090607476,0.08048920394092694
13,-0.22802351420423977,0.04230052083309896
14,-0.24724305512743744,0.008842176169394934
15,-0.24768288876462302,-0.024402871638184987
