window,species_i,species_j,strength,strength_ji,pair_directional,interaction_type,group,mouse,lag_strength,delta_strength
5,Lactobacillaceae,C7,-0.19712043319815736,0.2527717009097019,Lactobacillaceae→C7,antagonism,other,m8,-0.3013904581315485,0.10427002493339116
7,Lactobacillaceae,C7,-0.11500916308158789,0.12698208249172813,Lactobacillaceae→C7,antagonism,other,m8,-0.15987001733783335,0.04486085425624546
10,Lactobacillaceae,C7,-0.02795700005966351,0.05124753735200375,Lactobacillaceae→C7,antagonism,other,m8,-0.06388854730993768,0.03593154725027417
12,Lactobacillaceae,C7,0.00666919695858843,0.04137645991010218,Lactobacillaceae→C7,mutualism,other,m8,-0.02420224393373641,0.03087144089232484
2,Lactobacillaceae,Lactobacillaceae,0.05491114260409687,0.05491114260409687,Lactobacillaceae→Lactobacillaceae,mutualism,species-species,m8,9.45011878858716e-5,0.054816641416211
6,Lactobacillaceae,Lactobacillaceae,0.14568478455799386,0.14568478455799386,Lactobacillaceae→Lactobacillaceae,mutualism,species-species,m8,-0.04245823304918338,0.18814301760717722
7,Lactobacillaceae,Lactobacillaceae,-0.10795238542331638,-0.10795238542331638,Lactobacillaceae→Lactobacillaceae,competition,species-species,m8,0.14568478455799386,-0.25363716998131025
2,Lactobacillaceae,Paenibacillaceae,0.07804577601044996,0.13257875414022824,Lactobacillaceae→Paenibacillaceae,mutualism,species-species,m8,-6.676878273996689e-4,0.07871346383784962
4,Lactobacillaceae,Paenibacillaceae,-0.26524403230683524,0.00675883726853577,Lactobacillaceae→Paenibacillaceae,antagonism,species-species,m8,0.09023169674825963,-0.3554757290550949
5,Lactobacillaceae,Paenibacillaceae,-0.0669941409106493,-0.02664831387252601,Lactobacillaceae→Paenibacillaceae,competition,species-species,m8,-0.26524403230683524,0.19824989139618593
6,Lactobacillaceae,Paenibacillaceae,0.05527726410325967,-0.17149535364281668,Lactobacillaceae→Paenibacillaceae,antagonism,species-species,m8,-0.0669941409106493,0.12227140501390897
7,Lactobacillaceae,Paenibacillaceae,-0.05638514215293042,-0.04534850777762957,Lactobacillaceae→Paenibacillaceae,competition,species-species,m8,0.05527726410325967,-0.11166240625619009
9,Lactobacillaceae,Paenibacillaceae,-0.10842161783930272,-0.08784905078634879,Lactobacillaceae→Paenibacillaceae,competition,species-species,m8,-0.06376011207718063,-0.04466150576212209
10,Lactobacillaceae,Paenibacillaceae,-0.13957740642550603,-0.0960290929785376,Lactobacillaceae→Paenibacillaceae,competition,species-species,m8,-0.10842161783930272,-0.031155788586203312
2,Paenibacillaceae,C2,-0.05117644009636298,0.09586221526246289,Paenibacillaceae→C2,antagonism,C-focal,m8,-0.00113374121906632,-0.050042698877296656
5,Paenibacillaceae,C2,-0.2759296444427517,0.23965572243391045,Paenibacillaceae→C2,antagonism,C-focal,m8,-0.1861884725191895,-0.08974117192356221
6,Paenibacillaceae,C2,-0.3621105592192032,0.16221429666348663,Paenibacillaceae→C2,antagonism,C-focal,m8,-0.2759296444427517,-0.08618091477645151
7,Paenibacillaceae,C2,-0.24618221831334453,0.11141377568925498,Paenibacillaceae→C2,antagonism,C-focal,m8,-0.3621105592192032,0.11592834090585868
2,Paenibacillaceae,C3,-0.05746687971197858,0.163008285814682,Paenibacillaceae→C3,antagonism,C-focal,m8,-0.00427286447560348,-0.0531940152363751
7,Paenibacillaceae,C3,-0.20909795092186717,-0.01670778878903329,Paenibacillaceae→C3,competition,C-focal,m8,-0.2599084543044499,0.05081050338258275
15,Paenibacillaceae,C3,-0.03797422386752212,-0.09605761758340198,Paenibacillaceae→C3,competition,C-focal,m8,-0.06311794486523957,0.02514372099771745
6,Paenibacillaceae,C5,0.1331169930445184,-0.09811320140200391,Paenibacillaceae→C5,antagonism,C-focal,m8,0.07465485556917119,0.05846213747534722
7,Paenibacillaceae,C5,0.07300333219778807,-0.08429822922666295,Paenibacillaceae→C5,antagonism,C-focal,m8,0.1331169930445184,-0.06011366084673034
2,Paenibacillaceae,C7,-0.3382094709954923,-0.06366411006794406,Paenibacillaceae→C7,competition,C-focal,m8,-0.00250582058698585,-0.33570365040850647
8,Paenibacillaceae,C7,-0.1388839209360308,0.18587657941608624,Paenibacillaceae→C7,antagonism,C-focal,m8,-0.17032614044263544,0.03144221950660464
11,Paenibacillaceae,C7,-0.05446804105453876,0.10039707854180598,Paenibacillaceae→C7,antagonism,C-focal,m8,-0.08227878578701066,0.0278107447324719
2,Paenibacillaceae,Lactobacillaceae,0.13257875414022824,0.07804577601044996,Paenibacillaceae→Lactobacillaceae,mutualism,species-species,m8,0.00105097291102224,0.131527781229206
6,Paenibacillaceae,Lactobacillaceae,-0.17149535364281668,0.05527726410325967,Paenibacillaceae→Lactobacillaceae,antagonism,species-species,m8,-0.02664831387252601,-0.14484703977029068
7,Paenibacillaceae,Lactobacillaceae,-0.04534850777762957,-0.05638514215293042,Paenibacillaceae→Lactobacillaceae,competition,species-species,m8,-0.17149535364281668,0.1261468458651871
2,Paenibacillaceae,Paenibacillaceae,0.18773843193403195,0.18773843193403195,Paenibacillaceae→Paenibacillaceae,mutualism,species-species,m8,-0.0074255343802005,0.19516396631423244
5,Paenibacillaceae,Paenibacillaceae,-0.1390395815115014,-0.1390395815115014,Paenibacillaceae→Paenibacillaceae,competition,species-species,m8,-0.04866707737797284,-0.09037250413352856
6,Paenibacillaceae,Paenibacillaceae,-0.1992122659007971,-0.1992122659007971,Paenibacillaceae→Paenibacillaceae,competition,species-species,m8,-0.1390395815115014,-0.06017268438929571
7,Paenibacillaceae,Paenibacillaceae,-0.1297874791574331,-0.1297874791574331,Paenibacillaceae→Paenibacillaceae,competition,species-species,m8,-0.1992122659007971,0.069424786743364
