changepoint,frequency,score
2,56,1
4,56,1
9,49,0.875
8,34,0.6071428571428571
10,14,0.25
7,6,0.10714285714285714
6,4,0.07142857142857142
12,3,0.05357142857142857
11,1,0.017857142857142856
