window,lambda_full,lambda_without,delta_lambda,role
1,3.056787372179272e-5,7.237670892446549e-4,-6.931992155228622e-4,Stabilizing
2,0.22176780199984714,0.12265562438343472,0.09911217761641242,Destabilizing
3,0.3923986024838986,0.34034109733293777,0.0520575051509608,Destabilizing
4,0.036430408852534665,0.025889103127250433,0.010541305725284233,Destabilizing
5,0.008215619216200232,0.0226687581897701,-0.014453138973569868,Stabilizing
6,0.0723264770583415,0.1551670324647813,-0.08284055540643981,Stabilizing
7,0.0028959650717122684,0.0010582167694554467,0.0018377483022568217,Destabilizing
8,3.332946207689882e-5,5.386461344560097e-4,-5.05316672379111e-4,Stabilizing
9,0.012395944874677713,0.016834303645720795,-0.004438358771043082,Stabilizing
10,6.32106173876282e-4,0.01177702600196441,-0.011144919828088129,Stabilizing
11,0.002226081649541771,0.004322659793781805,-0.0020965781442400335,Stabilizing
12,-0.153237900432114,0.0030877502211978805,-0.1563256506533119,Stabilizing
13,-0.12151605056469132,-0.08372709460519695,-0.03778895595949437,Stabilizing
14,-0.09414065396029916,-0.06770475786294222,-0.026435896097356942,Stabilizing
15,-0.07068383917807688,-0.053274994024931514,-0.01740884515314537,Stabilizing
