ID,5,15,18,9,8,3,14,13,17,16,2,4,11,7,6,10,12,mean,points
94,7.106353743152511e-5,0,0,8.077767358953768e-6,5.4411752938634744e-6,1.5293641744912762e-5,3.692322151751084e-6,1.6973122042857811e-6,0,0,7.1346542505388725e-6,4.5170657252581213e-5,4.626873498193977e-6,1.5348848297535138e-5,5.774968511903533e-5,6.591850123109966e-6,0,1.4228724983899205e-5,12
240,2.9433032294400326e-5,6.209502401525054e-6,3.3100504385485824e-6,6.731472799128139e-5,8.00172837332864e-5,7.493884455007253e-5,3.1552571114963805e-5,2.7156995268572497e-6,7.077552929640438e-6,5.1540955632752455e-6,1.2924700584630034e-4,1.1320547434906155e-4,3.670652975233888e-5,8.588823621812216e-5,1.2388759265759535e-4,4.814916611662932e-5,2.7066159297443995e-5,5.128667792831427e-5,17
286,3.6406804811001483e-4,4.829612978963931e-6,0,3.3320790355684294e-5,4.6730093700239253e-5,1.0195761163275174e-5,3.3566565015918944e-6,1.2560110311714782e-5,2.895362562125634e-6,0,1.4818128058811505e-5,1.3941560880426299e-5,1.1721412862091408e-5,6.82533892379754e-5,1.887350044393054e-4,1.5476517680345137e-5,3.783441622223354e-6,4.67462288508699e-5,15
347,1.0686046860039037e-4,0,0,4.375457319433291e-6,8.00172837332864e-6,1.8862158152059072e-5,0,0,1.2868278053891704e-6,1.1894066684481336e-6,2.826420722328861e-5,2.648896567280997e-5,2.7761240989163863e-6,1.6328562018654404e-5,5.516869360533542e-5,6.018645764578665e-6,2.037237796581806e-6,1.6332851947012586e-5,13
613,1.877350167967156e-4,0,3.310050438548583e-7,1.6155534717907536e-5,2.2084770310387045e-5,0,2.013993900955137e-6,2.0367746451429376e-6,0,1.1894066684481336e-6,0,1.4220392098034826e-5,6.169164664258636e-6,3.592283644103969e-5,8.259172843839689e-5,1.4043506784016884e-5,3.201373680342838e-6,2.280561789350006e-5,13
886,3.958875424823395e-4,1.4143866581251512e-5,6.620100877097165e-6,5.452492967293793e-5,6.593424179622799e-5,8.666396988783899e-6,7.720309953661357e-6,1.4596884956857718e-5,2.2519486594310483e-6,8.722315568619645e-6,4.9393760196038346e-6,2.78831217608526e-7,2.4059742190608682e-5,1.0156365575603039e-4,2.810054510540769e-4,4.728935957883237e-5,2.4737887529921932e-5,6.252604946375826e-5,17
960,1.6625685809539643e-4,5.174585334604211e-6,6.951105920952023e-6,5.688094515263278e-5,8.417818248741729e-5,2.5489402908187937e-7,1.5440619907322714e-5,1.3239035193429093e-5,9.651208540418779e-7,1.2687004463446757e-5,1.1250800933542068e-5,0,1.850749399277591e-5,1.03849654438642e-4,2.3745121926039108e-4,3.811808984233154e-5,2.1245479878638834e-5,4.6614769987332145e-5,16
1107,3.579693116886526e-5,0,9.930151315645748e-7,2.019441839738442e-6,5.4411752938634744e-6,6.525287144496112e-5,0,3.394624408571562e-7,0,7.929377789654223e-7,3.3203583242892446e-5,1.031675505151546e-5,6.169164664258636e-7,2.9391411633577925e-6,1.355020544692449e-5,5.732043585313014e-6,4.074475593163612e-6,1.0651115038141655e-5,14
1177,4.189566759022749e-5,2.4148064894819654e-6,0,1.8848123837558792e-5,1.3442903667192114e-5,2.803834319900673e-6,6.377647353024599e-6,1.6973122042857811e-6,0,1.1894066684481336e-6,2.0031913857282218e-5,2.9556109066503756e-5,6.169164664258636e-6,3.0697696595070276e-5,6.129854845037269e-5,1.5189915501079487e-5,1.45516985470129e-6,1.488636588937576e-5,15
