Sample,Cohort,Ne,slope,r2,n_tp
m1,colonized,4.5240389982858416,-0.11711905435407187,0.35152731043841445,15
m2,colonized,3.531581031971621,-0.1526613789214487,0.33718793722946283,15
m3,colonized,2.8186847739884864,-0.19527026679101445,0.65374539988636,15
m4,colonized,4.198508021194866,-0.1267997283171066,0.2912371240652008,15
m5,colonized_2,3.2200106339554107,-0.16874887217879414,0.2976935197712136,18
m6,colonized_2,2.156265732457345,-0.2638123884335656,0.7976415516360984,16
m7,colonized_2,2.257147282426654,-0.2504101197703762,0.8485209742387133,16
m8,colonized_2,2.1248373469430493,-0.26828754024875856,0.7681873704838504,17
