ID,10,17,13,3,7,2,6,8,1,4,15,12,5,9,14,18,11,16,mean,points
87,1.1602444557718681e-5,0,3.5461885742513374e-6,1.440984480597144e-5,4.7210433180143614e-5,8.330033714423121e-6,4.978387655408937e-5,3.083006812501278e-5,0,3.5452318404362053e-6,1.5654273491428973e-6,5.157278577769919e-6,8.834253344969562e-5,1.6232169367753756e-5,1.8569129713170081e-6,0,7.267102346754979e-6,0,1.6093308078582264e-5,14
203,3.948698631143591e-4,1.8592956987892987e-5,9.539247264736098e-5,8.00919281076087e-5,0.0020609796002090284,1.288378547830776e-4,0.0021727106124677575,7.789311089544045e-4,4.4603033006244426e-4,2.2638837609642625e-4,3.0682376043200785e-5,1.138285057522075e-4,0.0035002382571356675,6.447417672871792e-4,6.610610177888548e-5,8.303162613134434e-6,1.9102097597184517e-4,1.93684835091535e-5,6.098397074178686e-4,18
238,1.0828948253870769e-5,0,3.191569716826204e-6,1.172894344672094e-5,5.209427109533089e-5,9.996040457307743e-6,3.749954337840498e-5,3.712191876277049e-5,0,2.5323084574544325e-7,0,3.6837704126927993e-6,2.7774357107290667e-5,2.6945401150471236e-5,0,0,5.882892375944507e-6,0,1.2611160389076483e-5,12
239,4.640977823087472e-6,0,3.5461885742513374e-7,2.8484576942036565e-5,6.51178388691636e-5,1.1106711619230827e-5,7.467581483113406e-5,1.5729626594394275e-5,0,1.0382464675563173e-5,3.1308546982857946e-6,1.8418852063463996e-6,1.080857511524685e-4,1.4284309043623306e-5,0,0,0,0,1.8768635017375506e-5,12
295,2.3978385419285273e-5,0,7.801614863352943e-6,4.758599912669638e-5,4.883837915187271e-5,2.138041986701934e-5,8.340415682438349e-5,2.8313327869909697e-5,0,1.6966466664944697e-5,2.5046837586286358e-6,5.157278577769919e-6,1.2950212289784927e-4,3.571077260905826e-5,2.2282955655804097e-6,3.075245412272013e-7,7.267102346754979e-6,5.196422404894841e-6,2.5896830693846003e-5,16
625,9.281955646174944e-6,5.997728060610641e-7,3.191569716826204e-6,7.372478737938876e-6,3.2558919434581806e-6,2.2213423238461653e-6,8.599033222979074e-5,3.712191876277049e-5,0,8.60984875534507e-6,2.5046837586286358e-6,3.6837704126927993e-6,1.5158775626027317e-4,1.785538630452913e-5,1.8569129713170081e-6,0,6.921049854052361e-6,0,1.9003037249094713e-5,15
815,7.850987484056307e-5,7.197273672732769e-6,1.773094287125669e-5,6.367140728219939e-6,3.337289242044635e-4,1.6660067428846242e-5,8.375975594262699e-4,2.167542544707531e-4,0,5.0646169149088646e-6,7.200965806057327e-6,3.0206917384080954e-5,8.12818233898904e-4,1.0940482153866031e-4,9.655947450848442e-6,3.075245412272013e-7,6.367365865728172e-5,1.5589267214684522e-5,1.4269266616943104e-4,17
863,1.8950659444273845e-5,2.3990912242442563e-6,1.7730942871256687e-6,0,1.0256059621893268e-4,0,3.8146087229756794e-5,4.4672139528079745e-5,0,9.3695412925814e-6,0,1.2524819403155517e-5,4.785220561858513e-5,3.0191835024021987e-5,2.971060754107213e-6,0,8.99736481026807e-6,0,1.7800471935285128e-5,12
988,1.6243422380806153e-5,2.9988640303053204e-7,4.255426289101605e-6,2.4798337573067127e-5,1.1070032607757814e-4,1.1662047200192368e-5,1.5129126121632354e-4,4.0582436613537234e-5,0,0,1.8785128189714767e-6,1.0314557155539839e-5,1.6865392749487347e-4,2.7270044537826313e-5,2.599678159843811e-6,5.227917200862422e-6,5.882892375944507e-6,6.141226478512085e-6,3.265566110977837e-5,16
1292,1.4619080142725538e-4,2.8489208287900543e-5,9.078242750083424e-5,1.4744957475877753e-5,6.658299024371979e-4,1.582706405740393e-5,7.212196661829441e-4,2.7212254008302097e-4,0,2.886831641498053e-5,4.3831965776001124e-5,9.209426031731999e-5,0.0011825852773152436,1.7206099529818982e-4,6.68488669674123e-5,2.8599782334129718e-5,2.7407357422047353e-4,2.692691609809145e-5,2.1506091789968206e-4,17
1329,2.707237063467692e-6,0,0,7.674080140854558e-5,8.13972985864545e-6,8.968669632528893e-5,1.0021429695953055e-5,8.179405829085024e-6,0,3.899755024479826e-5,0,7.367540825385598e-7,1.1042816681211952e-5,2.921790486195676e-6,0,0,3.8065774197287986e-6,0,1.4054488283081055e-5,11
1540,2.9006111394296703e-5,0,6.383139433652408e-6,1.0723605437002001e-5,6.51178388691636e-5,2.804444683855784e-5,9.407213037168836e-5,3.838028889032203e-5,0,2.5323084574544325e-7,9.392564094857384e-7,1.1419688279347679e-5,1.3017138451489242e-4,2.402361066427556e-5,1.4483921176272663e-5,3.075245412272013e-6,1.4880257186212576e-5,0,2.616523087351039e-5,15
1552,5.337124496550593e-5,2.3990912242442563e-6,6.028520576227273e-6,8.109726611732764e-5,1.318636237100563e-4,1.1495446525903906e-4,2.308161549325962e-4,1.1168034882019936e-4,0,6.280124974486992e-5,1.2523418793143179e-6,2.5418015847580314e-5,4.273235424820504e-4,7.272011876753683e-5,0,2.152671788590409e-6,4.671708651485344e-5,3.3068142576603534e-6,7.632791982709178e-5,16
1567,1.3536185317338461e-5,0,1.418475429700535e-6,2.9154802281849193e-5,2.4419189575936354e-5,4.359384310548099e-5,1.0667973547304865e-5,2.3279847359703528e-5,0,1.6206774127708368e-5,0,1.4735081650771196e-6,3.011677276694169e-5,1.5258239205688532e-5,0,0,3.4605249270261806e-7,0,1.1637314631968459e-5,12
1579,1.3922933469262418e-5,0,1.0638565722754012e-6,9.048042087470438e-6,9.116497441682905e-5,4.4426846476923306e-6,9.310231459466064e-5,5.442450801660419e-5,0,9.3695412925814e-6,0,3.6837704126927993e-6,1.17120782982551e-4,3.571077260905826e-5,0,0,7.959207332160215e-6,0,2.45007438018799e-5,12
1711,2.9238160285451076e-4,5.99772806061064e-6,5.744825490287167e-5,1.0321470233114427e-4,0.0011867726133905068,1.457755900024046e-4,0.0012578510628049465,5.904901823535611e-4,0,1.6206774127708368e-5,4.351888030617254e-5,1.046190797204755e-4,5.775727755082373e-4,3.6587309754916965e-4,4.122346796323758e-5,2.9522355957811322e-5,2.322012226034567e-4,3.4012946650220776e-5,2.8248235206039144e-4,17
1893,0,0,4.964664003951873e-6,1.6755633495315627e-4,0,1.4522025442144306e-4,2.5861754054072403e-6,1.5729626594394275e-6,0,6.153509551614271e-5,0,3.683770412692799e-7,1.2046709106776676e-5,0,0,1.8451472473632076e-6,2.7684199416209445e-6,3.3068142576603534e-6,2.243171969745728e-5,11
1996,8.895207494250989e-6,0,3.5461885742513374e-7,2.1782323543910314e-5,2.7675081519394535e-5,3.137646032432708e-5,6.40078412838292e-5,1.9819329508936786e-5,0,7.596925372363297e-7,0,6.6307867428470385e-6,1.0239702740760174e-4,1.006394500800733e-5,4.456591131160819e-6,0,1.3842099708104722e-6,0,1.6644617518318766e-5,13
2014,2.451983283197881e-4,4.309367611548745e-4,6.386685622226659e-4,6.869809733079407e-5,2.181447602116981e-4,2.859978241951938e-5,2.712251456420843e-4,2.4286543461744762e-4,0,4.228955123948902e-5,6.950497430194464e-4,4.0889851580890073e-4,3.178992680954956e-4,2.451057574530817e-4,6.502909225552162e-4,5.646150576931416e-4,3.162919783301929e-4,7.03406632808038e-4,3.382324610512152e-4,17
2244,8.315085266365054e-5,4.198409642427449e-6,1.5603229726705885e-5,7.318860710753866e-4,3.23961248374089e-4,6.55018317744138e-4,2.3016961108124437e-4,1.56667080880167e-4,0,2.777942377827512e-4,1.127107691382886e-5,3.2785556672965914e-5,2.954790039245501e-4,1.0648303105246464e-4,0,4.612868118408019e-6,3.391314428485657e-5,9.448040736172438e-6,1.6513565448187815e-4,16
2424,1.8177163140425935e-5,0,3.900807431676471e-6,3.042823042749318e-4,6.023400095397634e-5,2.301865983085589e-4,1.794159187501273e-4,6.73228018240075e-5,0,8.761787262792336e-5,9.392564094857384e-7,7.3675408253855986e-6,2.566618301360475e-4,2.7919331312536462e-5,0,0,8.305259824862833e-6,0,6.957392698999699e-5,13
2450,0.02568974599154878,0.006980455803341694,0.013775524135536746,0.0011306701482638986,0.033351729122813874,0.0011081721518087558,0.03579072797928215,0.028704366387046338,0.001083216515865936,0.0011321951113278767,0.009706901906565276,0.01605350308147395,0.03205595830232421,0.02883579959503984,0.011498005118394914,0.007264344712868949,0.01899032264204157,0.00928978605384155,0.015691190264410352,18
2461,4.459206191683213e-4,5.158046132125151e-5,2.2447373675010967e-4,0,0.001733762459891481,0,0.0014046165170618072,7.974920683357897e-4,0,2.6336007957526097e-5,1.0394437598308838e-4,2.681784860440358e-4,0.0017912787180159873,5.600098431875046e-4,1.140144564388643e-4,5.781461375071384e-5,3.460524927026181e-4,4.96022138649053e-5,4.430598372485558e-4,15
2557,8.933882309443384e-5,8.996592090915961e-7,1.3830135439580217e-5,5.361802718501001e-5,2.181447602116981e-4,1.0190407910644284e-4,4.331843804057127e-4,1.8623877887762822e-4,0,9.268248954283222e-5,1.5654273491428973e-6,2.7259901053926714e-5,5.678684820611116e-4,8.473192409967462e-5,1.5598068959062868e-5,0,3.3221039299451333e-5,0,1.0667144310526665e-4,15
