Family,Time,Abundance,Abundance.family,Sample
Bacteroidaceae,1,0,0,m2
Bacteroidaceae,2,6,6.666666666666667e-5,m2
Bacteroidaceae,3,0,0,m2
Bacteroidaceae,4,0,0,m2
Bacteroidaceae,5,0,0,m2
Bacteroidaceae,6,0,0,m2
Bacteroidaceae,7,0,0,m2
Bacteroidaceae,8,0,0,m2
Bacteroidaceae,9,0,0,m2
Bacteroidaceae,10,0,0,m2
Bacteroidaceae,11,0,0,m2
Bacteroidaceae,12,0,0,m2
Bacteroidaceae,13,0,0,m2
Bacteroidaceae,17,0,0,m2
Bacteroidaceae,19,0,0,m2
Cyclobacteriaceae,1,0,0,m2
Cyclobacteriaceae,2,0,0,m2
Cyclobacteriaceae,3,0,0,m2
Cyclobacteriaceae,4,14,1.5555555555555556e-4,m2
Cyclobacteriaceae,5,0,0,m2
Cyclobacteriaceae,6,0,0,m2
Cyclobacteriaceae,7,0,0,m2
Cyclobacteriaceae,8,0,0,m2
Cyclobacteriaceae,9,0,0,m2
Cyclobacteriaceae,10,0,0,m2
Cyclobacteriaceae,11,0,0,m2
Cyclobacteriaceae,12,0,0,m2
Cyclobacteriaceae,13,0,0,m2
Cyclobacteriaceae,17,0,0,m2
Cyclobacteriaceae,19,0,0,m2
Enterobacteriaceae,1,86083,0.9985268530332908,m2
Enterobacteriaceae,2,89871,0.9985666666666667,m2
Enterobacteriaceae,3,89910,0.999,m2
Enterobacteriaceae,4,89941,0.9993444444444445,m2
Enterobacteriaceae,5,89965,0.9996111111111111,m2
Enterobacteriaceae,6,89971,0.9996777777777778,m2
Enterobacteriaceae,7,89986,0.9998444444444444,m2
Enterobacteriaceae,8,89873,0.9985888888888889,m2
Enterobacteriaceae,9,71717,0.7968555555555555,m2
Enterobacteriaceae,10,53693,0.5965888888888888,m2
Enterobacteriaceae,11,51150,0.5683333333333334,m2
Enterobacteriaceae,12,42281,0.46978888888888887,m2
Enterobacteriaceae,13,39823,0.4424777777777778,m2
Enterobacteriaceae,17,27143,0.39008651662786353,m2
Enterobacteriaceae,19,36968,0.43879973411831735,m2
Erysipelotrichaceae,1,0,0,m2
Erysipelotrichaceae,2,0,0,m2
Erysipelotrichaceae,3,0,0,m2
Erysipelotrichaceae,4,0,0,m2
Erysipelotrichaceae,5,0,0,m2
Erysipelotrichaceae,6,0,0,m2
Erysipelotrichaceae,7,0,0,m2
Erysipelotrichaceae,8,0,0,m2
Erysipelotrichaceae,9,0,0,m2
Erysipelotrichaceae,10,1,1.1111111111111112e-5,m2
Erysipelotrichaceae,11,205,0.002277777777777778,m2
Erysipelotrichaceae,12,634,0.007044444444444444,m2
Erysipelotrichaceae,13,397,0.004411111111111111,m2
Erysipelotrichaceae,17,455,0.006539047454801529,m2
Erysipelotrichaceae,19,763,0.009056594815307187,m2
Lachnospiraceae,1,0,0,m2
Lachnospiraceae,2,0,0,m2
Lachnospiraceae,3,0,0,m2
Lachnospiraceae,4,0,0,m2
Lachnospiraceae,5,0,0,m2
Lachnospiraceae,6,0,0,m2
Lachnospiraceae,7,0,0,m2
Lachnospiraceae,8,0,0,m2
Lachnospiraceae,9,0,0,m2
Lachnospiraceae,10,0,0,m2
Lachnospiraceae,11,0,0,m2
Lachnospiraceae,12,0,0,m2
Lachnospiraceae,13,0,0,m2
Lachnospiraceae,17,87,0.0012503233594895232,m2
Lachnospiraceae,19,225,0.002670686544487703,m2
Muribaculaceae,1,52,6.031782855817191e-4,m2
Muribaculaceae,2,49,5.444444444444444e-4,m2
Muribaculaceae,3,30,3.333333333333333e-4,m2
Muribaculaceae,4,10,1.1111111111111112e-4,m2
Muribaculaceae,5,4,4.4444444444444447e-5,m2
Muribaculaceae,6,4,4.4444444444444447e-5,m2
Muribaculaceae,7,0,0,m2
Muribaculaceae,8,0,0,m2
Muribaculaceae,9,0,0,m2
Muribaculaceae,10,0,0,m2
Muribaculaceae,11,4,4.4444444444444447e-5,m2
Muribaculaceae,12,0,0,m2
Muribaculaceae,13,0,0,m2
Muribaculaceae,17,3,4.311459860308701e-5,m2
Muribaculaceae,19,9,1.0682746177950812e-4,m2
Paenibacillaceae,1,75,8.699686811274794e-4,m2
Paenibacillaceae,2,74,8.222222222222222e-4,m2
Paenibacillaceae,3,60,6.666666666666666e-4,m2
Paenibacillaceae,4,21,2.3333333333333333e-4,m2
Paenibacillaceae,5,31,3.444444444444444e-4,m2
Paenibacillaceae,6,25,2.777777777777778e-4,m2
Paenibacillaceae,7,14,1.5555555555555556e-4,m2
Paenibacillaceae,8,127,0.001411111111111111,m2
Paenibacillaceae,9,18283,0.20314444444444443,m2
Paenibacillaceae,10,36306,0.4034,m2
Paenibacillaceae,11,38641,0.4293444444444444,m2
Paenibacillaceae,12,47085,0.5231666666666667,m2
Paenibacillaceae,13,49635,0.5515,m2
Paenibacillaceae,17,41383,0.5947371446638499,m2
Paenibacillaceae,19,45273,0.5373777419048523,m2
Ruminococcaceae,1,0,0,m2
Ruminococcaceae,2,0,0,m2
Ruminococcaceae,3,0,0,m2
Ruminococcaceae,4,14,1.5555555555555556e-4,m2
Ruminococcaceae,5,0,0,m2
Ruminococcaceae,6,0,0,m2
Ruminococcaceae,7,0,0,m2
Ruminococcaceae,8,0,0,m2
Ruminococcaceae,9,0,0,m2
Ruminococcaceae,10,0,0,m2
Ruminococcaceae,11,0,0,m2
Ruminococcaceae,12,0,0,m2
Ruminococcaceae,13,145,0.0016111111111111111,m2
Ruminococcaceae,17,511,0.0073438532953924865,m2
Ruminococcaceae,19,1010,0.011988415155255911,m2
