Time,Family,Abundance,Abundance.family,Sample
5,Alcaligenaceae,12,5.158184319119669e-4,c_m3
5,Armatimonadaceae,0,0,c_m3
5,Bacillaceae,593,0.025490027510316367,c_m3
5,Bacteroidetes BD2-2,0,0,c_m3
5,Beijerinckiaceae,0,0,c_m3
5,Caulobacteraceae,10,4.2984869325997247e-4,c_m3
5,Chitinophagaceae,0,0,c_m3
5,Chthoniobacteraceae,0,0,c_m3
5,Comamonadaceae,1805,0.07758768913342504,c_m3
5,Corynebacteriaceae,0,0,c_m3
5,Devosiaceae,0,0,c_m3
5,Dietziaceae,0,0,c_m3
5,Enterobacteriaceae,133,0.005716987620357634,c_m3
5,Enterococcaceae,132,0.005674002751031637,c_m3
5,Erwiniaceae,0,0,c_m3
5,Finegoldia,0,0,c_m3
5,Flavobacteriaceae,0,0,c_m3
5,Gemmataceae,0,0,c_m3
5,Hymenobacteraceae,0,0,c_m3
5,Isosphaeraceae,0,0,c_m3
5,Lachnospiraceae,0,0,c_m3
5,Lactobacillaceae,20089,0.8635230398899587,c_m3
5,Microbacteriaceae,0,0,c_m3
5,Micrococcaceae,0,0,c_m3
5,Moraxellaceae,0,0,c_m3
5,Myxococcaceae,0,0,c_m3
5,Nitrosopumilaceae,0,0,c_m3
5,Nocardiaceae,0,0,c_m3
5,Oxalobacteraceae,55,0.002364167812929849,c_m3
5,Paenibacillaceae,28,0.001203576341127923,c_m3
5,Pedosphaeraceae,0,0,c_m3
5,Pirellulaceae,0,0,c_m3
5,Planococcaceae,0,0,c_m3
5,Propionibacteriaceae,0,0,c_m3
5,Pseudomonadaceae,0,0,c_m3
5,Rhizobiaceae,0,0,c_m3
5,Rhodobacteraceae,0,0,c_m3
5,Roseiflexaceae,0,0,c_m3
5,Rubritaleaceae,0,0,c_m3
5,Saccharimonadaceae,0,0,c_m3
5,Sandaracinaceae,0,0,c_m3
5,Saprospiraceae,0,0,c_m3
5,Schlesneriaceae,0,0,c_m3
5,Selenomonadaceae,0,0,c_m3
5,Silvanigrellaceae,0,0,c_m3
5,Sphingomonadaceae,202,0.008682943603851445,c_m3
5,Staphylococcaceae,0,0,c_m3
5,Terrimicrobiaceae,0,0,c_m3
5,Vagococcaceae,0,0,c_m3
5,Veillonellaceae,0,0,c_m3
5,Verrucomicrobiaceae,0,0,c_m3
5,Vicinamibacteraceae,0,0,c_m3
5,Weeksellaceae,185,0.00795220082530949,c_m3
5,Xanthomonadaceae,20,8.596973865199449e-4,c_m3
5,Yersiniaceae,0,0,c_m3
5,NA,0,0,c_m3
7,A4b,0,0,c_m3
7,Alcaligenaceae,0,0,c_m3
7,Armatimonadaceae,17,2.8333333333333335e-4,c_m3
7,Bacillaceae,7226,0.12043333333333334,c_m3
7,Bacteroidetes BD2-2,0,0,c_m3
7,Beijerinckiaceae,0,0,c_m3
7,Caulobacteraceae,2,3.3333333333333335e-5,c_m3
7,Chitinophagaceae,0,0,c_m3
7,Chthoniobacteraceae,21,3.5e-4,c_m3
7,Comamonadaceae,149,0.0024833333333333335,c_m3
7,Corynebacteriaceae,0,0,c_m3
7,Devosiaceae,0,0,c_m3
7,Dietziaceae,0,0,c_m3
7,Enterobacteriaceae,957,0.01595,c_m3
7,Enterococcaceae,1760,0.029333333333333333,c_m3
7,Erwiniaceae,304,0.005066666666666666,c_m3
7,Finegoldia,0,0,c_m3
7,Flavobacteriaceae,0,0,c_m3
7,Gemmataceae,0,0,c_m3
7,Hymenobacteraceae,0,0,c_m3
7,Isosphaeraceae,0,0,c_m3
7,Lachnospiraceae,0,0,c_m3
7,Lactobacillaceae,47817,0.79695,c_m3
7,Microbacteriaceae,0,0,c_m3
7,Micrococcaceae,67,0.0011166666666666666,c_m3
7,Moraxellaceae,0,0,c_m3
7,Myxococcaceae,14,2.3333333333333333e-4,c_m3
7,Nitrosopumilaceae,0,0,c_m3
7,Nocardiaceae,0,0,c_m3
7,Oxalobacteraceae,803,0.013383333333333334,c_m3
7,Paenibacillaceae,0,0,c_m3
7,Pedosphaeraceae,23,3.8333333333333334e-4,c_m3
7,Pirellulaceae,46,7.666666666666667e-4,c_m3
7,Planococcaceae,0,0,c_m3
7,Propionibacteriaceae,0,0,c_m3
7,Pseudomonadaceae,0,0,c_m3
7,Rhizobiaceae,0,0,c_m3
7,Rhodobacteraceae,284,0.004733333333333333,c_m3
7,Roseiflexaceae,0,0,c_m3
7,Rubritaleaceae,6,1e-4,c_m3
7,Saccharimonadaceae,0,0,c_m3
7,Sandaracinaceae,115,0.0019166666666666666,c_m3
7,Saprospiraceae,0,0,c_m3
7,Schlesneriaceae,0,0,c_m3
7,Selenomonadaceae,0,0,c_m3
7,Silvanigrellaceae,0,0,c_m3
7,Sphingomonadaceae,43,7.166666666666667e-4,c_m3
7,Staphylococcaceae,0,0,c_m3
7,Terrimicrobiaceae,61,0.0010166666666666666,c_m3
7,Vagococcaceae,0,0,c_m3
7,Veillonellaceae,0,0,c_m3
7,Verrucomicrobiaceae,82,0.0013666666666666666,c_m3
7,Vicinamibacteraceae,0,0,c_m3
7,Weeksellaceae,127,0.002116666666666667,c_m3
7,Xanthomonadaceae,0,0,c_m3
7,Yersiniaceae,0,0,c_m3
7,NA,76,0.0012666666666666666,c_m3
8,A4b,21,4.737305150127456e-4,c_m3
8,Alcaligenaceae,0,0,c_m3
8,Armatimonadaceae,0,0,c_m3
8,Bacillaceae,3109,0.07013467481783933,c_m3
8,Bacteroidetes BD2-2,0,0,c_m3
8,Beijerinckiaceae,0,0,c_m3
8,Caulobacteraceae,210,0.004737305150127456,c_m3
8,Chitinophagaceae,0,0,c_m3
8,Chthoniobacteraceae,9,2.0302736357689097e-4,c_m3
8,Comamonadaceae,2896,0.06532969387985292,c_m3
8,Corynebacteriaceae,0,0,c_m3
8,Devosiaceae,0,0,c_m3
8,Dietziaceae,14,3.158203433418304e-4,c_m3
8,Enterobacteriaceae,450,0.01015136817884455,c_m3
8,Enterococcaceae,1051,0.02370908434659027,c_m3
8,Erwiniaceae,23,5.188477069187214e-4,c_m3
8,Finegoldia,0,0,c_m3
8,Flavobacteriaceae,12,2.7070315143585465e-4,c_m3
8,Gemmataceae,61,0.001376074353132261,c_m3
8,Hymenobacteraceae,12,2.7070315143585465e-4,c_m3
8,Isosphaeraceae,19,4.2861332310676985e-4,c_m3
8,Lachnospiraceae,76,0.0017144532924270794,c_m3
8,Lactobacillaceae,33981,0.7665636490784814,c_m3
8,Microbacteriaceae,152,0.003428906584854159,c_m3
8,Micrococcaceae,89,0.002007715039815922,c_m3
8,Moraxellaceae,0,0,c_m3
8,Myxococcaceae,0,0,c_m3
8,Nitrosopumilaceae,0,0,c_m3
8,Nocardiaceae,25,5.639648988246972e-4,c_m3
8,Oxalobacteraceae,172,0.0038800785039139166,c_m3
8,Paenibacillaceae,0,0,c_m3
8,Pedosphaeraceae,13,2.932617473888425e-4,c_m3
8,Pirellulaceae,0,0,c_m3
8,Planococcaceae,56,0.0012632813733673216,c_m3
8,Propionibacteriaceae,14,3.158203433418304e-4,c_m3
8,Pseudomonadaceae,16,3.609375352478062e-4,c_m3
8,Rhizobiaceae,25,5.639648988246972e-4,c_m3
8,Rhodobacteraceae,0,0,c_m3
8,Roseiflexaceae,0,0,c_m3
8,Rubritaleaceae,0,0,c_m3
8,Saccharimonadaceae,17,3.834961312007941e-4,c_m3
8,Sandaracinaceae,0,0,c_m3
8,Saprospiraceae,19,4.2861332310676985e-4,c_m3
8,Schlesneriaceae,0,0,c_m3
8,Selenomonadaceae,0,0,c_m3
8,Silvanigrellaceae,42,9.474610300254912e-4,c_m3
8,Sphingomonadaceae,925,0.020866701256513794,c_m3
8,Staphylococcaceae,14,3.158203433418304e-4,c_m3
8,Terrimicrobiaceae,0,0,c_m3
8,Vagococcaceae,23,5.188477069187214e-4,c_m3
8,Veillonellaceae,0,0,c_m3
8,Verrucomicrobiaceae,43,9.700196259784791e-4,c_m3
8,Vicinamibacteraceae,53,0.001195605585508358,c_m3
8,Weeksellaceae,579,0.013061427056779986,c_m3
8,Xanthomonadaceae,108,0.0024363283629226917,c_m3
8,Yersiniaceae,0,0,c_m3
8,NA,0,0,c_m3
9,A4b,0,0,c_m3
9,Alcaligenaceae,0,0,c_m3
9,Armatimonadaceae,0,0,c_m3
9,Bacillaceae,4328,0.07213333333333333,c_m3
9,Bacteroidetes BD2-2,0,0,c_m3
9,Beijerinckiaceae,0,0,c_m3
9,Caulobacteraceae,0,0,c_m3
9,Chitinophagaceae,0,0,c_m3
9,Chthoniobacteraceae,0,0,c_m3
9,Comamonadaceae,1246,0.020766666666666666,c_m3
9,Corynebacteriaceae,29,4.8333333333333334e-4,c_m3
9,Devosiaceae,0,0,c_m3
9,Dietziaceae,0,0,c_m3
9,Enterobacteriaceae,2740,0.04566666666666667,c_m3
9,Enterococcaceae,1416,0.0236,c_m3
9,Erwiniaceae,21,3.5e-4,c_m3
9,Finegoldia,16,2.666666666666667e-4,c_m3
9,Flavobacteriaceae,0,0,c_m3
9,Gemmataceae,0,0,c_m3
9,Hymenobacteraceae,0,0,c_m3
9,Isosphaeraceae,0,0,c_m3
9,Lachnospiraceae,0,0,c_m3
9,Lactobacillaceae,48794,0.8132333333333334,c_m3
9,Microbacteriaceae,176,0.0029333333333333334,c_m3
9,Micrococcaceae,0,0,c_m3
9,Moraxellaceae,0,0,c_m3
9,Myxococcaceae,0,0,c_m3
9,Nitrosopumilaceae,0,0,c_m3
9,Nocardiaceae,0,0,c_m3
9,Oxalobacteraceae,0,0,c_m3
9,Paenibacillaceae,134,0.0022333333333333333,c_m3
9,Pedosphaeraceae,0,0,c_m3
9,Pirellulaceae,0,0,c_m3
9,Planococcaceae,0,0,c_m3
9,Propionibacteriaceae,68,0.0011333333333333334,c_m3
9,Pseudomonadaceae,28,4.6666666666666666e-4,c_m3
9,Rhizobiaceae,38,6.333333333333333e-4,c_m3
9,Rhodobacteraceae,11,1.8333333333333334e-4,c_m3
9,Roseiflexaceae,216,0.0036,c_m3
9,Rubritaleaceae,94,0.0015666666666666667,c_m3
9,Saccharimonadaceae,0,0,c_m3
9,Sandaracinaceae,0,0,c_m3
9,Saprospiraceae,0,0,c_m3
9,Schlesneriaceae,0,0,c_m3
9,Selenomonadaceae,0,0,c_m3
9,Silvanigrellaceae,0,0,c_m3
9,Sphingomonadaceae,124,0.0020666666666666667,c_m3
9,Staphylococcaceae,0,0,c_m3
9,Terrimicrobiaceae,0,0,c_m3
9,Vagococcaceae,0,0,c_m3
9,Veillonellaceae,0,0,c_m3
9,Verrucomicrobiaceae,0,0,c_m3
9,Vicinamibacteraceae,0,0,c_m3
9,Weeksellaceae,449,0.007483333333333333,c_m3
9,Xanthomonadaceae,18,3e-4,c_m3
9,Yersiniaceae,54,9e-4,c_m3
9,NA,0,0,c_m3
10,A4b,0,0,c_m3
10,Alcaligenaceae,0,0,c_m3
10,Armatimonadaceae,0,0,c_m3
10,Bacillaceae,4868,0.1220203032961524,c_m3
10,Bacteroidetes BD2-2,0,0,c_m3
10,Beijerinckiaceae,0,0,c_m3
10,Caulobacteraceae,0,0,c_m3
10,Chitinophagaceae,0,0,c_m3
10,Chthoniobacteraceae,0,0,c_m3
10,Comamonadaceae,487,0.012207043489159042,c_m3
10,Corynebacteriaceae,0,0,c_m3
10,Devosiaceae,0,0,c_m3
10,Dietziaceae,0,0,c_m3
10,Enterobacteriaceae,1368,0.03429001127960897,c_m3
10,Enterococcaceae,1596,0.0400050131595438,c_m3
10,Erwiniaceae,51,0.0012783556836696327,c_m3
10,Finegoldia,0,0,c_m3
10,Flavobacteriaceae,0,0,c_m3
10,Gemmataceae,0,0,c_m3
10,Hymenobacteraceae,0,0,c_m3
10,Isosphaeraceae,0,0,c_m3
10,Lachnospiraceae,0,0,c_m3
10,Lactobacillaceae,30502,0.7645569620253164,c_m3
10,Microbacteriaceae,17,4.2611856122321093e-4,c_m3
10,Micrococcaceae,0,0,c_m3
10,Moraxellaceae,0,0,c_m3
10,Myxococcaceae,0,0,c_m3
10,Nitrosopumilaceae,0,0,c_m3
10,Nocardiaceae,0,0,c_m3
10,Oxalobacteraceae,0,0,c_m3
10,Paenibacillaceae,0,0,c_m3
10,Pedosphaeraceae,0,0,c_m3
10,Pirellulaceae,0,0,c_m3
10,Planococcaceae,0,0,c_m3
10,Propionibacteriaceae,22,5.51447549818273e-4,c_m3
10,Pseudomonadaceae,492,0.012332372477754105,c_m3
10,Rhizobiaceae,0,0,c_m3
10,Rhodobacteraceae,0,0,c_m3
10,Roseiflexaceae,0,0,c_m3
10,Rubritaleaceae,45,0.0011279608973555583,c_m3
10,Saccharimonadaceae,0,0,c_m3
10,Sandaracinaceae,0,0,c_m3
10,Saprospiraceae,0,0,c_m3
10,Schlesneriaceae,0,0,c_m3
10,Selenomonadaceae,0,0,c_m3
10,Silvanigrellaceae,0,0,c_m3
10,Sphingomonadaceae,208,0.005213685925554581,c_m3
10,Staphylococcaceae,13,3.258553703471613e-4,c_m3
10,Terrimicrobiaceae,0,0,c_m3
10,Vagococcaceae,105,0.0026319087604963027,c_m3
10,Veillonellaceae,32,8.02105527008397e-4,c_m3
10,Verrucomicrobiaceae,0,0,c_m3
10,Vicinamibacteraceae,0,0,c_m3
10,Weeksellaceae,89,0.0022308559969921042,c_m3
10,Xanthomonadaceae,0,0,c_m3
10,Yersiniaceae,0,0,c_m3
10,NA,0,0,c_m3
